id,choiceB,cond_beliefs_choice_order,riskTaking,statKnow,regretExAnte,regretExPost,duration,beliefA,beliefB,beliefA_below,beliefA_equal,beliefA_above,beliefB_below,beliefB_equal,beliefB_above,choiceStr,whichFirst,short,round,age,sex,student,df,cond
5e78b5c94d7d442c599a7bfd,0,beliefs_first,3,2,5,3,897,2,1,49,1,50,51,1,48,5,A,0,1,38,Female,No,NoBox,Description
ffaef75eb38c5bea28251642,1,beliefs_first,2,3,5,4,935,1,1,33,34,33,33,34,33,4,B,1,1,31,Female,Yes,NoBox,Description
0e857693c37ed01e98541cb3,0,choice_first,3,4,4,4,907,2,1,10,20,70,30,40,30,7,B,0,1,29,Female,Yes,NoBox,Description
c2475e44f0ed59fb6d51b3f3,1,beliefs_first,5,3,4,4,1005,1,0.5,40,10,50,50,10,40,6,B,1,1,57,Male,No,NoBox,Description
1c26b7873d3225074552c5d4,1,beliefs_first,3,3,5,5,1215,1,1,49,2,49,49,2,49,1,B,0,1,39,Male,No,NoBox,Description
b98a01864dd8c89aea01fb79,1,beliefs_first,3,3,4,4,1253,1.009,1,45.5,9,45.5,45.5,9,45.5,4,B,1,1,37,Male,No,NoBox,Description
8712ed7493ef4b8df6cec11b,0,choice_first,4,2,4,4,1205,1,0.5,30,50,20,80,10,10,5,A,1,1,29,Female,No,NoBox,Description
c8b1819d476c55f9dd00716a,1,beliefs_first,5,5,4,4,1392,2,2,30,40,30,30,30,40,4,B,0,1,51,Female,Yes,NoBox,Description
5f89837a993c2ef153a1f776,1,beliefs_first,5,4,4,3,1048,0.9,0.9,45,10,45,45,10,45,6,B,1,1,32,Female,No,NoBox,Description
9bdad9bb0a228ffd2031e944,1,choice_first,3,3,5,5,1410,1.1,1,49,2,49,51,2,47,7,A,0,1,37,Male,No,NoBox,Description
aa004a6289af5bfbac4d6c76,1,choice_first,3,3,5,5,1869,1,1,45,10,45,45,10,45,5,B,1,1,33,Female,Yes,NoBox,Description
690cbb9068b9c09a192ad7b2,0,beliefs_first,5,4,5,5,1924,1,0.5,30,35,35,25,30,45,7,A,0,1,26,Male,Yes,NoBox,Description
ad366fa349fba9e4635cc888,1,choice_first,4,3,3,3,1868,0.9,1.1,50,1,49,49,1,50,6,B,0,1,26,Male,No,NoBox,Description
4739641062a00be2657f87c4,0,beliefs_first,4,5,1,1,578,2,2,0,0,100,0,0,100,4,A,0,1,48,Female,Yes,NoBox,Description
d5f8bf98f5649839cd223a30,0,choice_first,3,4,4,4,2142,1.25,1,30,40,30,40,30,30,6,A,1,1,25,Female,Yes,NoBox,Description
460395385774c21bfd56cc04,1,beliefs_first,1,1,4,4,1522,1,1,49,2,49,50,4,46,1,A,0,1,48,Male,No,NoBox,Description
d844f56a45bb90aa15e81fa7,0,choice_first,3,4,4,5,1635,1,1,45.5,9.1,45.4,45.5,9.1,45.4,5,B,1,1,32,Male,No,NoBox,Description
71b18cddcdad43de2773f47e,0,beliefs_first,3,4,3,4,693,1.25,0.75,50,25,25,25,25,50,5,A,1,1,43,Male,No,NoBox,Description
cc899fd81a6a13c11a719b97,0,choice_first,4,1,2,2,539,1,1,45,10,45,45,10,45,1,A,1,1,38,Male,No,NoBox,Description
3673f82f806646a732082330,1,beliefs_first,4,1,4,4,710,0.5,0.5,49,2,49,49,2,49,4,A,0,1,34,Male,No,NoBox,Description
2c3d3439ee0ae74b0a35f92f,1,choice_first,4,3,5,5,389,1.6,1.8,30,10,60,20,20,60,6,B,1,1,46,Male,No,NoBox,Description
88573c93e66954fb1ca4156c,0,choice_first,4,3,5,5,910,2,1.8,25,50,25,25,50,25,7,B,1,1,24,Male,No,NoBox,Description
0106bf49abc1ffd8cd202835,1,beliefs_first,3,5,4,4,940,1,1,45.5,9,45.5,45.5,9,45.5,6,A,1,1,35,Male,Yes,NoBox,Description
4b25ac32174bb71fae9dab30,0,choice_first,4,2,4,3,572,1,1,40,10,50,50,10,40,4,A,0,1,33,Male,DATA_EXPIRED,NoBox,Description
5c4ff92dd79d7612a5d0b873,0,beliefs_first,3,2,5,4,396,0.2,0.18,25,50,25,25,50,25,6,A,1,1,45,Female,Yes,NoBox,Description
8a3177ddc41ba6c930e2473d,0,beliefs_first,3,2,4,4,676,0.81,1,40,10,50,50,10,40,5,B,1,1,27,Male,No,NoBox,Description
2c9d02a9a876bae2954532c8,0,beliefs_first,1,1,4,5,317,1,0.9,20,30,50,50,30,20,4,A,1,1,45,Male,No,NoBox,Description
61fbc39cf573adebf45149f3,1,beliefs_first,4,3,5,4,1086,1,1,25,50,25,25,50,25,7,A,0,1,42,Male,Yes,NoBox,Description
f52be4b38ac70f1eb7b9f471,0,beliefs_first,2,3,4,5,497,1,1,46,9,45,46,9,45,4,A,1,1,40,Male,No,NoBox,Description
b163dbf137e73eda989741a3,1,beliefs_first,3,2,4,2,648,1,0.96,48,4,48,50,2,48,5,B,0,1,26,Male,DATA_EXPIRED,NoBox,Description
583c2115adfdfeaaa52d506e,0,choice_first,2,3,5,4,741,1,0.9,49,2,49,52,2,46,7,A,0,1,32,Male,No,NoBox,Description
9de65bd37de4acc6c31cb3f2,0,choice_first,4,2,5,5,491,1,1,30,40,30,30,40,30,7,B,1,1,39,Male,DATA_EXPIRED,NoBox,Description
ec2d21c0f2a6c55528774a50,1,beliefs_first,4,4,3,3,851,0,0.5,20,30,50,25,25,50,4,B,1,1,34,Male,No,NoBox,Description
c0eddad7d3e61a29e7fd83ee,0,choice_first,5,3,5,5,842,1,1,50,0,50,50,0,50,7,A,1,1,40,Male,DATA_EXPIRED,NoBox,Description
92f8b534cad13a3682fb389b,0,beliefs_first,4,3,4,4,622,1,1,45,10,45,45,10,45,1,A,1,1,37,Male,No,NoBox,Description
f553d1bc206fd8b36cefb5a8,0,choice_first,2,2,5,5,544,1.5,1.2,45,10,45,45,10,45,5,B,1,1,24,Male,Yes,NoBox,Description
3e6989a2668a549d802b15a3,0,beliefs_first,2,3,5,4,578,1,0.75,45,10,45,55,10,35,6,A,1,1,21,Male,Yes,NoBox,Description
e8478439f0a9d11d36523d72,1,beliefs_first,1,1,4,5,618,0,2,70,25,5,60,35,5,3,A,0,1,35,Female,No,NoBox,Description
a6b70a4dae309e3777bbafe6,0,choice_first,3,4,5,2,718,1,1,45,10,45,45,10,45,4,A,1,1,41,Male,No,NoBox,Description
81b0fd6bb9f4581df0b99f26,1,choice_first,4,2,4,4,606,1,1.2,40,20,40,25,20,55,6,A,0,1,33,Male,Yes,NoBox,Description
b1e8a94e86abaaafa4fa6717,1,choice_first,3,2,4,4,588,1,1,45,10,45,45,10,45,1,B,1,1,22,Male,No,NoBox,Description
3ba76a8bc28dd88fc02e8453,0,choice_first,4,2,4,5,549,2,0,0,50,50,40,30,30,7,B,0,1,25,Female,No,NoBox,Description
7a522ac42c3d3176a5e4aef7,0,beliefs_first,4,5,1,4,579,1,1,0,100,0,0,100,0,1,A,1,1,25,Male,Yes,NoBox,Description
0f42841ac0f57a47802a602a,0,choice_first,1,3,5,5,1452,1.25,1.25,40,10,50,40,20,40,7,A,0,1,34,Male,No,NoBox,Description
07e57b40d0580dd9381e2115,1,beliefs_first,4,3,5,5,995,1,1,45.4,9.2,45.4,45.4,9.2,45.4,7,B,1,1,34,Male,No,NoBox,Description
260e411d2d373895728e5fc4,0,choice_first,4,3,3,2,709,1.25,0.75,40,10,50,60,10,30,5,B,1,1,48,Male,No,NoBox,Description
26a2bc48b516f29d3c87ddac,0,beliefs_first,4,4,2,3,464,1,1,49,2,49,49,2,49,1,A,0,1,26,Male,No,NoBox,Description
a8b4f02fed3d7bf77c00ca6d,1,beliefs_first,4,4,3,4,1259,2,2,20,60,20,50,25,25,6,B,0,1,58,Male,Yes,NoBox,Description
5e1c45b7deda6fe8226b275d,1,choice_first,4,3,5,4,2738,2,0,30,30,40,15,30,55,6,B,1,1,23,Male,No,NoBox,Description
73265371825fe204c4dbecef,1,choice_first,4,3,3,4,689,1,1.2,30,20,50,40,20,40,5,A,1,1,40,Male,Yes,NoBox,Description
0b20227aa994398a48fa8697,1,beliefs_first,3,4,4,4,645,0.2,0.25,80,5,15,75,5,20,4,B,0,1,35,Male,No,NoBox,Description
96a9253c8153bb8607f490e9,0,choice_first,4,5,5,5,1090,0.81,0.81,47,6,47,47,6,47,1,B,1,1,23,Male,DATA_EXPIRED,NoBox,Description
5bcc7dda2085a65a21e1ec90,0,choice_first,4,2,2,3,2248,2,1,50,20,30,20,20,60,4,B,1,1,32,Male,Yes,NoBox,Description
d7db347c44efd3a3184d69f6,0,beliefs_first,3,3,4,4,804,1,1,33.4,33.3,33.3,33.3,33.3,33.4,6,A,0,1,50,Female,Yes,NoBox,Description
b0a9ce7ba0ffc57613395627,0,choice_first,5,3,4,5,1717,1,1,49,2,49,49,2,49,4,B,0,1,53,Female,No,NoBox,Description
1ea1d8e315b498d23f7d54b2,1,beliefs_first,2,1,5,4,431,2,2,40,20,40,40,20,40,6,A,1,1,44,Female,No,NoBox,Description
164b9efa6f75264568dc6306,1,choice_first,3,2,4,2,972,1,1,45.5,9,45.5,45.5,9,45.5,7,A,1,1,50,Female,No,NoBox,Description
28b6d3c4757c291fe7a37ea7,1,choice_first,3,2,4,4,1260,1,1,45.5,9,45.5,45.5,9,45.5,4,B,1,1,56,Male,No,NoBox,Description
81465bc86b03ba7f710d07fb,0,beliefs_first,1,5,5,5,1378,1,0.98,49,2,49,51,2,47,7,B,0,1,30,Male,No,NoBox,Description
d480336f7c0f2b4caef12074,0,choice_first,4,1,4,3,689,1,0.95,50,1,49,51,1,48,7,B,0,1,49,Female,No,NoBox,Description
8cc23a4893cc4fae161801a0,1,beliefs_first,3,2,4,4,626,1,1,49,2,49,49,2,49,6,A,0,1,30,Male,No,NoBox,Description
f3ed01b027c5ce4d1f5f88c2,0,choice_first,2,3,3,3,705,0.6,0.6,45,10,45,45,10,45,1,B,1,1,28,Female,DATA_EXPIRED,NoBox,Description
4b05948e6d84e115c20e0eef,0,choice_first,3,4,4,4,1749,2,1,30,20,50,50,40,10,7,B,1,1,28,Female,Yes,NoBox,Description
758dc06cd5a12761f000cd2d,0,beliefs_first,1,3,4,4,354,1,0.95,49,2,49,52,2,46,7,A,0,1,29,Female,No,NoBox,Description
aa3b7ea322717e575661c793,1,choice_first,2,2,4,4,347,2,1.99,0,100,0,0,1,99,7,A,0,1,28,Female,No,NoBox,Description
acc3c3da68e270397ed475ee,0,beliefs_first,3,2,4,4,476,1,1.3,45,10,45,35,10,55,6,B,0,1,23,Female,Yes,NoBox,Description
65ba9446ef49a7d694d2d5dd,1,beliefs_first,4,2,4,3,910,1,0.75,50,2,48,55,2,43,6,A,0,1,24,Female,Yes,NoBox,Description
98bbf8265f68f96c89abbe78,0,choice_first,4,3,4,4,542,1,1,50,10,40,45,10,45,1,B,1,1,21,Female,DATA_EXPIRED,NoBox,Description
9ea47e9ce896f36f25de7cb2,1,beliefs_first,2,2,2,2,429,0.2,1,30,30,40,50,20,30,4,A,1,1,37,Female,No,NoBox,Description
c74437c1eee521ad78008b0b,1,choice_first,3,1,5,5,499,1,1,40,20,40,40,20,40,1,B,1,1,26,Female,No,NoBox,Description
69b468bc4e7e4abffece6429,0,beliefs_first,5,3,5,2,568,1,1,45,10,45,45,10,45,7,A,1,1,42,Female,No,NoBox,Description
faaa320257ce75113b487842,1,beliefs_first,3,1,3,4,738,1,1,35,45,20,35,45,20,4,A,1,1,50,Female,No,NoBox,Description
1cdc7404675c46438f00647a,0,beliefs_first,4,2,4,4,941,0.75,1,25,50,25,30,50,20,7,B,1,1,71,Female,No,NoBox,Description
acbd1f8149c49cc33bccea00,0,choice_first,4,1,5,5,635,1,1,50,0,50,50,0,50,5,B,1,1,63,Female,No,NoBox,Description
44062296c9e2acad30941d03,1,choice_first,2,2,4,3,1672,1,2,45,11,44,36,15,49,7,A,1,1,41,Female,No,NoBox,Description
07c537c83a8d55445613bbf2,1,beliefs_first,2,1,2,3,689,1,1,40,20,40,40,20,40,1,A,1,1,24,Female,No,NoBox,Description
88e985a762f492099921c8ff,1,choice_first,4,3,4,4,1244,1,2,10,10,80,30,50,20,5,B,1,1,48,Female,No,NoBox,Description
41a1613360851d03c8dcfebc,0,beliefs_first,5,2,5,5,1672,1,0.5,10,50,40,50,40,10,5,B,1,1,56,Female,No,NoBox,Description
8d81aed6df119b2cd342da76,0,choice_first,4,3,5,2,913,1,1,49,2,49,49,2,49,6,B,0,1,20,Female,Yes,NoBox,Description
3968d198e405c911a73efd1d,1,beliefs_first,3,3,4,4,714,1,1,49,2,49,49,2,49,2,A,0,1,22,Female,Yes,NoBox,Description
94219acc2fb03d07a274b11c,0,choice_first,4,3,2,2,869,1,1,5,70,25,5,70,25,7,A,0,1,35,Female,No,NoBox,Description
48b395f2df3c4e0f98fd14e1,0,choice_first,4,1,3,4,1456,1,1,75,15,10,30,25,45,7,B,1,1,53,Female,No,NoBox,Description
63ceac16a30fb9c461f44cc6,1,beliefs_first,3,2,1,5,1339,1.25,1,60,10,30,25,25,50,7,B,1,1,37,Female,No,NoBox,Description
b6f7a2931440dee97b141475,0,beliefs_first,2,1,4,2,757,1,0.8,49,2,49,59,2,39,5,A,1,1,37,Female,No,NoBox,Description
a565e3557954685c390a1d20,0,choice_first,2,1,4,5,924,0.04,0.039,100,0,0,100,0,0,6,B,0,1,22,Female,No,NoBox,Description
016cc4047da2f18f529e5e81,1,choice_first,4,2,4,4,763,1,1,45.5,9,45.5,45.5,9,45.5,5,A,1,1,29,Female,No,NoBox,Description
ae151dd14c5e3684c1e97a01,0,beliefs_first,3,1,4,4,1586,2,1.6,33,33,34,33,34,33,4,B,1,1,44,Female,No,NoBox,Description
e4582e4776d51ae378be07b6,1,choice_first,3,3,5,4,805,2,2,50,40,10,30,60,10,5,B,0,1,49,Female,No,NoBox,Description
434f0c7705c314d474694a39,0,beliefs_first,3,2,3,2,528,1,0.8,44,8,48,50,8,42,6,A,1,2,33,Female,Yes,NoBox,Description
96ec9cc108ae7ec3675e6741,0,choice_first,3,2,3,3,687,1,1,49.9,0.2,49.9,49.9,0.2,49.9,1,A,1,2,32,Male,No,NoBox,Description
2c66b7df7bdf587d2a89dc15,1,choice_first,4,1,5,5,675,0.75,1,35,50,15,25,50,25,7,A,1,2,39,Male,No,NoBox,Description
3791bd5c6de9692a1d200ce3,1,choice_first,4,3,4,5,669,1,1,50,10,40,50,10,40,5,A,0,2,33,Female,No,NoBox,Description
5d404ebeb701aaffdaa8ebd1,1,choice_first,3,4,5,4,675,1,1.2,49,2,49,48,2,50,7,A,1,2,26,Female,No,NoBox,Description
463eb737b9b44b76d12b60e1,0,beliefs_first,3,2,3,3,728,1,1,49,2,49,49,2,49,1,A,0,2,25,Female,DATA_EXPIRED,NoBox,Description
ad06ce4c23d96448fc58565b,1,choice_first,5,4,4,4,769,1,1.1,40,10,50,30,10,60,6,B,0,2,42,Male,No,NoBox,Description
9d9c225f1d4691d69c524339,0,beliefs_first,3,2,5,5,683,1,1,45,10,45,45,10,45,1,A,0,2,32,Female,No,NoBox,Description
fea840aea6deb1414257608e,0,beliefs_first,2,4,3,4,834,1,1,45.5,9,45.5,45.5,9,45.5,1,A,1,2,40,Male,No,NoBox,Description
f75a5cd63fcd80af75488d2e,0,beliefs_first,3,1,4,2,704,1,0.9,40,20,40,40,20,40,5,A,1,2,38,Male,No,NoBox,Description
c191ca3643c1b5a0c8df2ed6,1,choice_first,4,4,4,3,845,1,1.1,48,2,50,50,2,48,7,A,0,2,52,Male,No,NoBox,Description
b47ab392be16fae9e977bc08,1,choice_first,2,2,4,4,722,0.68,0.53,0,9,91,0,9,91,5,A,0,2,32,Female,No,NoBox,Description
5e78b5c94d7d442c599a7bfd,0,beliefs_first,3,2,5,3,897,1.5,0.75,48,1,51,51,1,48,6,A,1,2,38,Female,No,NoBox,Description
ffaef75eb38c5bea28251642,0,beliefs_first,2,3,5,4,935,1,1,33,34,33,33,34,33,4,A,0,2,31,Female,Yes,NoBox,Description
0e857693c37ed01e98541cb3,1,choice_first,3,4,4,4,907,2,1,60,30,10,10,20,70,7,A,1,2,29,Female,Yes,NoBox,Description
c2475e44f0ed59fb6d51b3f3,0,beliefs_first,5,3,4,4,1005,1,0.95,49,2,49,50,2,48,5,A,0,2,57,Male,No,NoBox,Description
1c26b7873d3225074552c5d4,1,beliefs_first,3,3,5,5,1215,0.82,0.82,45,9,46,45,9,46,1,B,1,2,39,Male,No,NoBox,Description
b98a01864dd8c89aea01fb79,0,beliefs_first,3,3,4,4,1253,1,1,49,2,49,49,2,49,4,A,0,2,37,Male,No,NoBox,Description
8712ed7493ef4b8df6cec11b,0,choice_first,4,2,4,4,1205,1,1,50,50,0,49,51,0,3,A,0,2,29,Female,No,NoBox,Description
c8b1819d476c55f9dd00716a,0,beliefs_first,5,5,4,4,1392,2,2,50,20,30,40,40,20,6,B,1,2,51,Female,Yes,NoBox,Description
5f89837a993c2ef153a1f776,1,beliefs_first,5,4,4,3,1048,0.9,0.9,45,10,45,45,10,45,6,A,0,2,32,Female,No,NoBox,Description
9bdad9bb0a228ffd2031e944,1,choice_first,3,3,5,5,1410,1.1,0.9,40,20,40,55,15,30,5,A,1,2,37,Male,No,NoBox,Description
aa004a6289af5bfbac4d6c76,0,choice_first,3,3,5,5,1869,1,1,45,10,45,45,10,45,5,B,0,2,33,Female,Yes,NoBox,Description
690cbb9068b9c09a192ad7b2,0,beliefs_first,5,4,5,5,1924,1,0.5,30,20,50,40,30,30,7,A,1,2,26,Male,Yes,NoBox,Description
ad366fa349fba9e4635cc888,1,choice_first,4,3,3,3,1868,1,1,48,4,48,48,4,48,7,B,1,2,26,Male,No,NoBox,Description
4739641062a00be2657f87c4,0,beliefs_first,4,5,1,1,578,2,2,0,0,100,0,0,100,4,B,1,2,48,Female,Yes,NoBox,Description
d5f8bf98f5649839cd223a30,0,choice_first,3,4,4,4,2142,1.25,1,30,40,30,40,30,30,6,A,0,2,25,Female,Yes,NoBox,Description
460395385774c21bfd56cc04,1,beliefs_first,1,1,4,4,1522,1,1,45.5,9,45.5,45.5,9,45.5,1,B,1,2,48,Male,No,NoBox,Description
d844f56a45bb90aa15e81fa7,1,choice_first,3,4,4,5,1635,1,1,45.5,9.1,45.4,45.5,9.1,45.4,7,A,0,2,32,Male,No,NoBox,Description
71b18cddcdad43de2773f47e,1,beliefs_first,3,4,3,4,693,1,2,50,25,25,50,25,25,5,A,0,2,43,Male,No,NoBox,Description
cc899fd81a6a13c11a719b97,1,choice_first,4,1,2,2,539,1,1,45,10,45,45,10,45,1,B,0,2,38,Male,No,NoBox,Description
3673f82f806646a732082330,0,beliefs_first,4,1,4,4,710,0.18,0.18,49,2,49,49,2,49,4,B,1,2,34,Male,No,NoBox,Description
2c3d3439ee0ae74b0a35f92f,1,choice_first,4,3,5,5,389,1.4,1.6,30,15,55,25,15,60,6,B,0,2,46,Male,No,NoBox,Description
88573c93e66954fb1ca4156c,0,choice_first,4,3,5,5,910,2,1.8,45,10,45,45,10,45,6,B,0,2,24,Male,No,NoBox,Description
0106bf49abc1ffd8cd202835,1,beliefs_first,3,5,4,4,940,1,1,49,2,49,49,2,49,7,B,0,2,35,Male,Yes,NoBox,Description
4b25ac32174bb71fae9dab30,1,choice_first,4,2,4,3,572,1,0.75,50,5,45,45,5,50,4,B,1,2,33,Male,DATA_EXPIRED,NoBox,Description
5c4ff92dd79d7612a5d0b873,0,beliefs_first,3,2,5,4,396,0.2,0.18,25,50,25,25,50,25,5,B,0,2,45,Female,Yes,NoBox,Description
8a3177ddc41ba6c930e2473d,1,beliefs_first,3,2,4,4,676,1,0.8,48,4,48,52,4,44,5,B,0,2,27,Male,No,NoBox,Description
2c9d02a9a876bae2954532c8,0,beliefs_first,1,1,4,5,317,1.7,1.3,40,40,20,20,20,60,3,B,0,2,45,Male,No,NoBox,Description
61fbc39cf573adebf45149f3,1,beliefs_first,4,3,5,4,1086,1,1,50,0,50,50,0,50,7,A,1,2,42,Male,Yes,NoBox,Description
f52be4b38ac70f1eb7b9f471,0,beliefs_first,2,3,4,5,497,1,1,46,9,45,46,9,45,4,A,0,2,40,Male,No,NoBox,Description
b163dbf137e73eda989741a3,1,beliefs_first,3,2,4,2,648,1,0.8,48,4,48,50,2,48,5,A,1,2,26,Male,DATA_EXPIRED,NoBox,Description
583c2115adfdfeaaa52d506e,0,choice_first,2,3,5,4,741,1,0.8,52,9,39,45,9,46,7,A,1,2,32,Male,No,NoBox,Description
9de65bd37de4acc6c31cb3f2,0,choice_first,4,2,5,5,491,1,1,30,40,30,30,40,30,4,A,0,2,39,Male,DATA_EXPIRED,NoBox,Description
ec2d21c0f2a6c55528774a50,0,beliefs_first,4,4,3,3,851,1.6,1.5,40,10,50,30,20,50,5,B,0,2,34,Male,No,NoBox,Description
c0eddad7d3e61a29e7fd83ee,0,choice_first,5,3,5,5,842,0.5,1.5,70,0,30,0,0,100,7,B,0,2,40,Male,DATA_EXPIRED,NoBox,Description
92f8b534cad13a3682fb389b,1,beliefs_first,4,3,4,4,622,1,1,45,10,45,45,10,45,1,B,0,2,37,Male,No,NoBox,Description
f553d1bc206fd8b36cefb5a8,0,choice_first,2,2,5,5,544,1.5,1.3,45,10,45,55,5,40,6,B,0,2,24,Male,Yes,NoBox,Description
3e6989a2668a549d802b15a3,1,beliefs_first,2,3,5,4,578,0.9,1,45,10,45,45,10,45,4,A,0,2,21,Male,Yes,NoBox,Description
e8478439f0a9d11d36523d72,1,beliefs_first,1,1,4,5,618,1,2,30,50,20,35,45,20,2,A,1,2,35,Female,No,NoBox,Description
a6b70a4dae309e3777bbafe6,1,choice_first,3,4,5,2,718,1,1,49,2,49,49,2,49,4,B,0,2,41,Male,No,NoBox,Description
81b0fd6bb9f4581df0b99f26,1,choice_first,4,2,4,4,606,1,1.3,40,20,40,20,10,70,5,A,1,2,33,Male,Yes,NoBox,Description
b1e8a94e86abaaafa4fa6717,0,choice_first,3,2,4,4,588,1,1,49,2,49,49,2,49,1,A,0,2,22,Male,No,NoBox,Description
3ba76a8bc28dd88fc02e8453,0,choice_first,4,2,4,5,549,2,0,50,25,25,40,30,30,7,A,1,2,25,Female,No,NoBox,Description
7a522ac42c3d3176a5e4aef7,1,beliefs_first,4,5,1,4,579,1,1,0,100,0,0,100,0,1,B,0,2,25,Male,Yes,NoBox,Description
0f42841ac0f57a47802a602a,0,choice_first,1,3,5,5,1452,2,1,30,20,50,30,20,50,7,A,1,2,34,Male,No,NoBox,Description
07e57b40d0580dd9381e2115,1,beliefs_first,4,3,5,5,995,1,1,49,2,49,49,2,49,7,B,0,2,34,Male,No,NoBox,Description
260e411d2d373895728e5fc4,0,choice_first,4,3,3,2,709,1,0.9,50,2,48,50,2,48,6,A,0,2,48,Male,No,NoBox,Description
26a2bc48b516f29d3c87ddac,0,beliefs_first,4,4,2,3,464,1,1,45,10,45,45,10,45,1,B,1,2,26,Male,No,NoBox,Description
a8b4f02fed3d7bf77c00ca6d,1,beliefs_first,4,4,3,4,1259,2,2,20,30,50,50,30,20,5,A,1,2,58,Male,Yes,NoBox,Description
5e1c45b7deda6fe8226b275d,0,choice_first,4,3,5,4,2738,2,0.5,30,30,40,70,20,10,6,B,0,2,23,Male,No,NoBox,Description
73265371825fe204c4dbecef,0,choice_first,4,3,3,4,689,0.08,0.4,25,15,60,30,20,50,5,A,0,2,40,Male,Yes,NoBox,Description
0b20227aa994398a48fa8697,1,beliefs_first,3,4,4,4,645,0.5,1,50,10,40,45,10,45,5,A,1,2,35,Male,No,NoBox,Description
96a9253c8153bb8607f490e9,0,choice_first,4,5,5,5,1090,0.81,0.81,47,6,47,47,6,47,1,B,0,2,23,Male,DATA_EXPIRED,NoBox,Description
5bcc7dda2085a65a21e1ec90,0,choice_first,4,2,2,3,2248,1,1,100,0,0,20,30,50,5,B,0,2,32,Male,Yes,NoBox,Description
d7db347c44efd3a3184d69f6,0,beliefs_first,3,3,4,4,804,1.25,1,33.4,33.3,33.3,33.3,33.4,33.3,5,A,1,2,50,Female,Yes,NoBox,Description
b0a9ce7ba0ffc57613395627,0,choice_first,5,3,4,5,1717,1,1,49,2,49,49,2,49,5,A,1,2,53,Female,No,NoBox,Description
1ea1d8e315b498d23f7d54b2,1,beliefs_first,2,1,5,4,431,1,1,40,20,40,40,20,40,5,B,0,2,44,Female,No,NoBox,Description
164b9efa6f75264568dc6306,1,choice_first,3,2,4,2,972,1,1,49,2,49,49,2,49,7,A,0,2,50,Female,No,NoBox,Description
28b6d3c4757c291fe7a37ea7,1,choice_first,3,2,4,4,1260,1,1,49,2,49,49,2,49,5,B,0,2,56,Male,No,NoBox,Description
81465bc86b03ba7f710d07fb,0,beliefs_first,1,5,5,5,1378,1,1,45.5,9,45.5,45.5,9,45.5,7,B,1,2,30,Male,No,NoBox,Description
d480336f7c0f2b4caef12074,0,choice_first,4,1,4,3,689,1,0.95,50,1,49,50,1,49,7,B,1,2,49,Female,No,NoBox,Description
8cc23a4893cc4fae161801a0,1,beliefs_first,3,2,4,4,626,1,1,49,2,49,49,2,49,6,B,1,2,30,Male,No,NoBox,Description
f3ed01b027c5ce4d1f5f88c2,1,choice_first,2,3,3,3,705,0.6,0.6,45,10,45,45,10,45,1,A,0,2,28,Female,DATA_EXPIRED,NoBox,Description
4b05948e6d84e115c20e0eef,0,choice_first,3,4,4,4,1749,1,2,30,50,20,30,50,20,5,A,0,2,28,Female,Yes,NoBox,Description
758dc06cd5a12761f000cd2d,0,beliefs_first,1,3,4,4,354,1,1,49,2,49,49,2,49,1,A,1,2,29,Female,No,NoBox,Description
