id,bonus_payment,choiceB,rand_long_short_order,cond_beliefs_choice_order,riskTaking,statKnow,regretExAnte,regretExPost,duration,beliefA,beliefB,beliefA_below,beliefA_equal,beliefA_above,beliefB_below,beliefB_equal,beliefB_above,choiceStr,whichFirst,short,round,view1,view2,view3,view4,view5,view6,view7,view8,view9,view10,view11,age,sex,student,df
22e4d842ae4ded9d3876b0a3,0.00,0,short_first,beliefs_first,4,2,5,5,1278,1,1,50,0,50,50,0,50,1,B,1,1,24.523,34.136,30.217,29.96,19.299,32.428,21.857,21.724,20.849,20.698,16.325,52,Male,No,v17
14a563f9e399522169e6f696,0.00,1,short_first,choice_first,2,3,4,3,1298,1,1,45,9,46,45,9,46,6,B,1,1,14.399,10.266,7.944,7.363,8.568,7.776,6.683,10.195,6.077,7.035,9.494,57,Male,No,v17
a00bf8d1cb65396ab1fdb35d,1.40,1,short_first,choice_first,4,2,3,4,1297,1,1,45.5,9,45.5,45.5,9,45.5,7,B,1,1,27.9,14.377,19.1,12.607,10.5,13.8,9.878,20.5,8.501,10,8.385,46,Female,No,v17
d2222f5b39833312196f82ab,2.00,0,short_first,beliefs_first,3,3,5,4,1321,1,0.98,44,12,44,44,12,44,5,A,1,1,11.602,7.958,10.992,5.778,6.313,1.545,10.526,6.421,5.203,8.844,6.548,62,Male,No,v17
84c22ee696a7413e28a5fb58,1.20,0,short_first,choice_first,2,5,5,5,1326,1,1,46,8,46,46,8,46,1,A,1,1,10.659,26.567,35.998,27.825,8.566,91.401,5.701,6.601,12.776,6.201,84.079,28,Male,No,v17
fe38139aee8c7774a9d50613,2.00,1,short_first,beliefs_first,4,3,4,3,1338,1,1,45.5,9,45.5,45.5,9,45.5,7,B,1,1,43.252,18.02,11.449,11.029,19.589,12.537,15.121,11.963,14.233,15.02,11.634,57,Male,No,v17
da4b1a6c5488ce5b35ab51b9,0.00,1,short_first,choice_first,4,4,3,4,1002,1,1,45.45,18.1,36.45,36.36,18.19,45.45,6,B,1,1,7.882,5.087,5.096,5.72,5.322,5.567,4.196,12.052,4.444,4.198,4.992,32,Female,No,v17
3d16b20a797663a68f23c819,2.00,1,short_first,beliefs_first,3,3,2,2,1427,1,1,45,0,55,45,5,50,2,A,1,1,28.264,12.75,8.935,8.3,8.8,6.16,9.176,10.059,6.06,9.237,11.122,56,Female,DATA_EXPIRED,v17
80d92f046f632c122851b295,1.40,0,short_first,choice_first,2,2,4,3,1306,2,2,45,5,50,45,1,54,4,A,1,1,19.034,6.7,5.344,4.753,5.903,4.636,7.771,4.962,7.917,6.706,5.851,48,Female,Yes,v17
818e104648f527601a73ed81,1.60,1,short_first,choice_first,4,2,4,4,1513,1,1,100,0,0,100,0,0,6,A,1,1,58.985,34.556,18.92,69.474,15.237,8.799,7.945,10.918,11.101,9.235,11.258,27,Male,Yes,v17
463d30eabebfbb2bd140145a,1.40,1,short_first,choice_first,4,1,1,5,1700,1.1,1.4,70,20,10,0,0,100,4,A,1,1,65.928,38.669,26.78,8.484,8.533,15.329,6.744,21.54,9.508,7.155,9.136,45,Female,Yes,v17
d9f78f3150196835117d6222,0.00,0,short_first,beliefs_first,2,1,2,2,1476,1,1,50,10,40,70,5,25,5,A,1,1,13.778,11.977,11.1,16.574,8.4,14.807,7.968,9.664,12.811,15.522,6.81,45,Male,No,v17
b15328baaf6c5248d87fe42d,2.00,0,short_first,beliefs_first,3,2,4,4,2134,0.8,1.2,45.46,9.09,45.45,36,9,55,5,B,1,1,2.891,12.411,10.307,7.197,9.01,6.81,6.859,7.904,7.188,8.984,5.671,61,Female,No,v17
90844498c7ef3d295a97a6c3,1.00,0,short_first,choice_first,3,3,4,3,809,2,1,20,30,50,25,50,25,6,A,1,1,2.549,3.948,108.512,3.08,1.394,1.542,0.885,5.563,1.675,1.324,51.79,51,Female,Yes,v17
056d2f7c1bb47aea1a431fde,2.00,1,short_first,beliefs_first,4,2,4,4,653,0.6,0.82,80,10,10,10,10,80,7,B,1,1,8.266,5.532,4.879,5.159,4.952,8.023,4.668,4.47,3.633,4.765,1.371,55,Female,No,v17
93fa0a00e82f60f8bbfab65f,0.00,1,short_first,beliefs_first,4,5,5,5,591,1,1,0,100,0,0,100,0,4,B,1,1,11.316,3.487,3.856,3.036,2.007,2.132,2.631,2.093,2.382,2.888,2.394,30,Male,Yes,v17
33892e12c5bb8719625dade0,0.00,1,short_first,beliefs_first,3,3,4,4,545,110,1,45,5,50,45,5,50,3,A,1,1,12.202,6.98,7.668,9.528,8.55,7.574,6.415,6.127,7.585,7.36,6.334,59,Female,No,v17
d3de3ecc0b9f3707659135cc,0.00,0,short_first,beliefs_first,5,2,2,3,674,1,1,0,100,0,0,100,0,4,A,1,1,41.216,8.862,7.101,7.812,7.264,9.394,6.901,7.568,7.565,5.504,8.163,24,Male,No,v17
fcb172b58d57c02a661bfc0d,0.80,1,short_first,choice_first,5,4,4,4,757,1,1.2,40,20,40,50,10,40,7,A,1,1,10.742,4.849,6.063,4.22,2.574,2.296,2.555,2.462,3.683,4.002,2.821,40,Male,No,v17
22056caf33e71a9386fbb297,2.00,1,short_first,beliefs_first,4,2,5,5,947,1,1,45,10,45,45,10,45,4,B,1,1,95.813,10.473,8.454,5.469,9.115,4.776,9.323,7.306,6.618,5.735,9.342,22,Male,No,v17
e7248b68ad481327b1a3e195,2.00,1,short_first,choice_first,3,2,4,4,731,0.81,1,50,0,50,45,5,50,7,A,1,1,35.944,11.935,18.266,10.256,6.92,8.423,6.709,6.672,12.336,6.468,8.418,24,Male,No,v17
0baa4190c130aad20b7a71c2,2.00,1,short_first,beliefs_first,4,4,5,4,432,1,1.1,15,35,50,20,35,45,6,A,1,1,11.192,2.293,1.744,1.266,1.642,1.582,1.683,0.615,1.274,1.68,2.051,32,Male,No,v17
8524f9c97d9d3ddf96f8a58e,1.20,1,short_first,choice_first,2,3,5,4,832,0.8,1.1,40,30,30,20,30,50,6,B,1,1,12.762,7,5.477,5.795,7.243,5.919,6.791,4.9,5.581,6.218,6.534,56,Male,No,v17
4bd4ab6527f4f1b2b059b14b,2.00,1,short_first,beliefs_first,2,3,4,5,797,1,1,0,100,0,0,100,0,5,A,1,1,23.033,11.029,8.68,8.775,8.183,10.393,7.75,8.671,7.185,9.054,101.078,50,Female,No,v17
122f61b0e5c87b49ba0d3728,0.00,1,short_first,beliefs_first,3,4,2,3,829,1,1,45,10,45,45,10,45,1,A,1,1,27.817,6.538,14.142,9.263,8.427,9.337,17.924,4.756,8.443,19.81,4.724,24,Male,No,v17
ed2979d4c2fce4790c7562ed,2.00,1,short_first,beliefs_first,3,4,4,4,889,1,1,50,10,40,50,10,40,5,A,1,1,27.532,12.4,33.267,6.718,7.455,5.33,5.739,4.665,3.888,4.516,6.056,52,Male,No,v17
45c00761b8b57b16c321162d,1.00,0,short_first,choice_first,5,3,4,4,647,1.04,1.06,25,10,65,25,10,65,7,A,1,1,20.301,12.666,13.314,12.745,16.642,9.729,15.493,18.048,8.829,0.09,11.881,42,Male,No,v17
ada417d5e9baac4cb94a06b5,0.20,1,short_first,choice_first,2,5,3,3,949,1,1,45,10,45,45,10,45,2,B,1,1,18.978,22.299,18.028,26.558,20.149,19.992,38.941,16.919,22.165,25.681,21.287,62,Female,No,v17
612405c649f9b0d53e9aa912,2.00,1,short_first,beliefs_first,2,3,5,4,774,1,1,46,9,45,45,9,46,7,B,1,1,16.362,10.786,8.682,9.279,8.117,10.356,8.151,8.492,30.572,8.946,16.264,50,Female,No,v17
4acebd239195093f3a24c5cf,2.00,0,short_first,choice_first,4,1,5,2,810,1.1,1,20,10,70,10,50,40,5,A,1,1,13.051,5.464,5.501,5.035,5.247,5.177,5.472,6.521,5.924,5.642,8.798,69,Female,No,v17
9afb6f10dadacc6e4becabc3,0.00,0,short_first,beliefs_first,3,4,3,4,1072,1,1,20,40,40,40,20,40,6,A,1,1,28.815,4.647,24.131,37.015,7.678,6.99,8.893,22.028,8.442,8.694,9.634,21,Male,DATA_EXPIRED,v17
e8cf3333205a2e375e4a875f,1.20,1,short_first,choice_first,4,4,3,4,1278,1,1,45,9,46,45,9,46,2,B,1,1,15.254,6.968,8.179,3.704,4.298,4.661,10.495,4.494,12.599,18.351,3.745,60,Male,No,v17
a26bfbc5ac557c33683c3981,0.00,0,short_first,beliefs_first,4,3,4,3,1335,1,1,20,30,50,30,40,30,4,A,1,1,10.84,2.506,1.287,1.026,1.174,1.043,0.779,0.828,0.852,0.86,0.927,31,Female,No,v17
b3832a1b3e52b46294cd730a,2.00,0,short_first,choice_first,4,1,3,3,1260,1,1,0,100,0,0,0,100,4,B,1,1,225.749,13.081,28.727,14.427,22.627,13.929,6.126,5.461,5.35,4.788,7.113,50,Female,No,v17
8211d8df08ac178319f8650a,0.00,1,short_first,beliefs_first,4,2,4,5,1380,0.98,1,30,15,55,5,15,80,6,B,1,1,21.496,23.215,14.309,12.63,13.225,20.514,12.111,17.724,12.129,8.984,11.803,61,Female,No,v17
3d14a5f3a41a252ae88f4c36,0.80,1,short_first,choice_first,5,3,4,2,971,1,1,55,9,36,45,9,46,6,B,1,1,13.784,5.822,3.589,5.69,5.022,5.302,7.402,4.7,6.345,4.531,4.541,25,Male,Yes,v17
4f7b80d4befe1eaece7822c5,2.00,1,short_first,beliefs_first,3,3,3,4,1619,0.8,1,45,10,45,45,10,45,5,A,1,1,20.742,17.727,15.132,17.745,12.752,15.233,16.4,11.803,14.649,11.274,16.821,42,Female,DATA_EXPIRED,v17
97fbbb54b81235e979c2b9f4,1.60,1,short_first,choice_first,4,2,4,3,1094,1,1,40,10,50,50,10,40,4,B,1,1,16.47,12.698,10.481,8.989,7.826,9.168,11.154,18.455,9.759,8.964,9.844,33,Male,No,v17
d59f527d7a26a82972a91f6a,1.80,0,short_first,choice_first,2,2,4,4,995,0.8,0.8,60,0,40,60,8,32,2,A,1,1,53.276,19.588,14.439,22.733,11.294,22.569,40.301,1.136,29.1,13.244,10.071,38,Male,No,v17
57a20d98e8cfea472bf3667d,0.00,1,short_first,beliefs_first,5,3,3,4,750,1,1,40,10,50,40,10,50,4,A,1,1,13.545,11.57,7.387,6.456,5.673,4.565,6.628,5.424,5.773,6.089,5.532,41,Female,No,v17
3a6fa723afc4d1aa8b15ee71,0.00,0,short_first,beliefs_first,3,1,4,4,2383,1,1,49.25,1.5,49.25,49.25,1.5,49.25,4,B,1,1,28.043,19.638,18.83,21.041,16.85,17.101,15.944,60.22,15.766,12.243,17.676,40,Female,No,v17
14fa96ea527c5401d64ef798,0.00,1,short_first,beliefs_first,4,4,4,4,2527,0.96,0.92,80,10,10,90,5,5,4,B,1,1,21.418,9.175,16.504,9.074,50,15.087,6.849,6.785,7.296,5.644,8.016,50,Female,No,v17
bb5f5f3f1026fc2ce5dbca2f,2.00,1,short_first,beliefs_first,3,3,4,5,680,1,1,45,9,46,36,9,55,6,A,1,1,19.355,12.828,8.682,9.299,10.248,8.922,9.228,9.07,8.507,8.286,17.186,24,Female,DATA_EXPIRED,v17
b8999287792d0bc819a1765b,0.00,1,short_first,beliefs_first,3,2,4,4,296,2,1,40,20,40,60,20,20,6,B,1,1,3.024,2.347,1.519,0.941,1.045,1.012,1.03,1.261,0.774,0.613,0.875,28,Female,No,v17
7ef8c098b2f0ba210caa0d41,0.00,1,short_first,beliefs_first,4,2,3,4,387,0.6,1.2,55,30,15,15,25,60,6,A,1,1,3.65,1.248,0.726,1.081,1.857,1.087,1.294,1.066,0.831,0.796,0.801,26,Female,No,v17
87e868bb72f43b6644a4507b,1.80,0,short_first,choice_first,1,1,4,4,681,1,0.5,25,5,70,40,10,50,6,A,1,1,25.112,13.703,13.778,20.013,14.193,14.607,15.613,13.04,11.595,12.669,7.534,31,Female,No,v17
bc7da92397d01d5feafbb756,0.60,1,short_first,choice_first,4,4,4,4,671,1,1,45,10,45,45,10,45,5,A,1,1,9.437,23.817,0.274,9.654,1.156,9.825,0.839,8.309,0.822,7.468,6.068,25,Male,No,v17
0a61546923a96f3fa94216a9,0.00,0,short_first,beliefs_first,2,2,4,3,716,1.1,1,50,1,49,50,1,49,4,A,1,1,6.345,5.35,2.046,1.8,2.787,1.301,0.976,1.058,0.576,0.579,0.644,56,Male,No,v17
688960843dbc28b8c9ccfaa0,1.60,1,short_first,choice_first,4,5,1,1,583,1.3,1.1,30,20,50,25,15,60,6,A,1,1,14.791,4.2,1.937,1.759,1.784,1.687,1.659,1.829,1.631,3.293,2.486,21,Male,DATA_EXPIRED,v17
c17337e8005b85605ddd44c1,1.20,1,short_first,choice_first,2,5,4,2,1152,1,1,50,10,40,50,10,40,5,B,1,1,46.458,8.466,37.355,10.187,9.905,20.926,10.322,8.048,7.861,11.016,8.438,39,Female,Yes,v17
c5ccb523242f2d8908037053,2.00,0,short_first,beliefs_first,4,2,4,3,694,1.6,1.4,40,10,50,50,5,45,5,B,1,1,4.846,1.582,2.081,1.488,1.668,1.83,1.597,1.736,1.732,1.831,1.638,29,Female,No,v17
c20b537fc04d012b1b811166,2.00,1,short_first,beliefs_first,4,3,3,3,552,1.6,1.4,30,10,60,20,10,70,6,B,1,1,3.567,1.634,1.199,1.101,1.087,0.966,0.9,0.869,0.7,0.779,0.957,32,Male,Yes,v17
6c417e53a2dd4cbd53207769,0.00,0,short_first,beliefs_first,3,3,4,5,1214,1,1,45.5,9,45.5,45.5,9,45.5,4,B,1,1,13.875,11.442,6.875,8.309,7.094,6.256,6.686,6.196,7.465,7.102,8.07,30,Male,No,v17
0099ac7b73bfa84c1d7205a9,0.00,1,short_first,beliefs_first,2,2,4,3,972,1.5,1.6,30,10,60,55,35,10,5,B,1,1,14.803,11.687,7.404,7.055,9.708,5.1,5.904,4.888,6.301,5.292,19.087,22,Female,No,v17
a658c8fe481508e966808916,1.00,0,short_first,choice_first,5,5,5,5,1196,1.09,1,0,0,100,0,100,0,5,A,1,1,17.145,4.894,6.581,5.285,5.687,17.294,2.722,2.878,3.588,2.664,5.658,25,Male,Yes,v17
