duration,id,riskTaking,statKnow,regretExAnte,regretExPost,bonus_payment,cond_beliefs_choice_order,beliefA,beliefB,beliefA_below,beliefA_equal,beliefA_above,beliefB_below,beliefB_equal,beliefB_above,choiceStr,whichFirst,choiceB,round,short,age,sex,student,df
1452,0f42841ac0f57a47802a602a,1,3,5,5,1.64,choice_first,1.25,1.25,40,10,50,40,20,40,7,A,0,1,0,34,Male,No,v5
972,164b9efa6f75264568dc6306,3,2,4,2,1.16,choice_first,1,1,49,2,49,49,2,49,7,A,1,2,0,50,Female,No,v5
972,164b9efa6f75264568dc6306,3,2,4,2,1.16,choice_first,1,1,45.5,9,45.5,45.5,9,45.5,7,A,1,1,1,50,Female,No,v5
1215,1c26b7873d3225074552c5d4,3,3,5,5,2.00,beliefs_first,1,1,49,2,49,49,2,49,1,B,1,1,0,39,Male,No,v5
1215,1c26b7873d3225074552c5d4,3,3,5,5,2.00,beliefs_first,.82,.82,45,9,46,45,9,46,1,B,1,2,1,39,Male,No,v5
941,1cdc7404675c46438f00647a,4,2,4,4,2.00,beliefs_first,.75,1,25,50,25,30,50,20,7,B,0,1,1,71,Female,No,v5
941,1cdc7404675c46438f00647a,4,2,4,4,2.00,beliefs_first,1,1,25,50,25,30,50,20,7,B,0,2,0,71,Female,No,v5
431,1ea1d8e315b498d23f7d54b2,2,1,5,4,0.00,beliefs_first,1,1,40,20,40,40,20,40,5,B,1,2,0,44,Female,No,v5
431,1ea1d8e315b498d23f7d54b2,2,1,5,4,0.00,beliefs_first,2,2,40,20,40,40,20,40,6,A,1,1,1,44,Female,No,v5
709,260e411d2d373895728e5fc4,4,3,3,2,1.84,choice_first,1,.9,50,2,48,50,2,48,6,A,0,2,0,48,Male,No,v5
709,260e411d2d373895728e5fc4,4,3,3,2,1.84,choice_first,1.25,.75,40,10,50,60,10,30,5,B,0,1,1,48,Male,No,v5
464,26a2bc48b516f29d3c87ddac,4,4,2,3,2.00,beliefs_first,1,1,45,10,45,45,10,45,1,B,0,2,1,26,Male,No,v5
464,26a2bc48b516f29d3c87ddac,4,4,2,3,2.00,beliefs_first,1,1,49,2,49,49,2,49,1,A,0,1,0,26,Male,No,v5
1260,28b6d3c4757c291fe7a37ea7,3,2,4,4,0.80,choice_first,1,1,45.5,9,45.5,45.5,9,45.5,4,B,1,1,1,56,Male,No,v5
1260,28b6d3c4757c291fe7a37ea7,3,2,4,4,0.80,choice_first,1,1,49,2,49,49,2,49,5,B,1,2,0,56,Male,No,v5
389,2c3d3439ee0ae74b0a35f92f,4,3,5,5,2.00,choice_first,1.6,1.8,30,10,60,20,20,60,6,B,1,1,1,46,Male,No,v5
389,2c3d3439ee0ae74b0a35f92f,4,3,5,5,2.00,choice_first,1.4,1.6,30,15,55,25,15,60,6,B,1,2,0,46,Male,No,v5
675,2c66b7df7bdf587d2a89dc15,4,1,5,5,0.60,choice_first,.75,1,35,50,15,25,50,25,7,A,1,2,1,39,Male,No,v5
675,2c66b7df7bdf587d2a89dc15,4,1,5,5,0.60,choice_first,.5,1,25,50,25,25,50,25,7,B,1,1,0,39,Male,No,v5
317,2c9d02a9a876bae2954532c8,1,1,4,5,0.00,beliefs_first,1.7,1.3,40,40,20,20,20,60,3,B,0,2,0,45,Male,No,v5
317,2c9d02a9a876bae2954532c8,1,1,4,5,0.00,beliefs_first,1,.9,20,30,50,50,30,20,4,A,0,1,1,45,Male,No,v5
710,3673f82f806646a732082330,4,1,4,4,0.00,beliefs_first,.18,.18,49,2,49,49,2,49,4,B,0,2,1,34,Male,No,v5
710,3673f82f806646a732082330,4,1,4,4,0.00,beliefs_first,.5,.5,49,2,49,49,2,49,4,A,1,1,0,34,Male,No,v5
669,3791bd5c6de9692a1d200ce3,4,3,4,5,0.60,choice_first,1,1,50,10,40,60,10,30,4,A,1,1,1,33,Female,No,v5
669,3791bd5c6de9692a1d200ce3,4,3,4,5,0.60,choice_first,1,1,50,10,40,50,10,40,5,A,1,2,0,33,Female,No,v5
714,3968d198e405c911a73efd1d,3,3,4,4,2.00,beliefs_first,1,1,49,2,49,49,2,49,2,A,1,1,0,22,Female,Yes,v5
714,3968d198e405c911a73efd1d,3,3,4,4,2.00,beliefs_first,1,1,45.5,9,45.5,45.5,9,45.5,2,A,1,2,1,22,Female,Yes,v5
549,3ba76a8bc28dd88fc02e8453,4,2,4,5,0.20,choice_first,2,0,0,50,50,40,30,30,7,B,0,1,0,25,Female,No,v5
549,3ba76a8bc28dd88fc02e8453,4,2,4,5,0.20,choice_first,2,0,50,25,25,40,30,30,7,A,0,2,1,25,Female,No,v5
578,3e6989a2668a549d802b15a3,2,3,5,4,0.00,beliefs_first,1,.75,45,10,45,55,10,35,6,A,0,1,1,21,Male,Yes,v5
578,3e6989a2668a549d802b15a3,2,3,5,4,0.00,beliefs_first,.9,1,45,10,45,45,10,45,4,A,1,2,0,21,Male,Yes,v5
1672,41a1613360851d03c8dcfebc,5,2,5,5,0.00,beliefs_first,1,.5,10,50,40,50,40,10,5,B,0,1,1,56,Female,No,v5
1672,41a1613360851d03c8dcfebc,5,2,5,5,0.00,beliefs_first,1.1,.5,10,10,80,90,0,10,7,A,1,2,0,56,Female,No,v5
528,434f0c7705c314d474694a39,3,2,3,2,0.00,beliefs_first,1,.8,44,8,48,50,8,42,6,A,0,2,1,33,Female,Yes,v5
528,434f0c7705c314d474694a39,3,2,3,2,0.00,beliefs_first,.9,1,48,2,50,50,2,48,6,A,0,1,0,33,Female,Yes,v5
1672,44062296c9e2acad30941d03,2,2,4,3,1.88,choice_first,1,2,45,11,44,36,15,49,7,A,1,1,1,41,Female,No,v5
1672,44062296c9e2acad30941d03,2,2,4,3,1.88,choice_first,1.1,1.25,30,10,60,35,15,50,6,B,1,2,0,41,Female,No,v5
1522,460395385774c21bfd56cc04,1,1,4,4,2.00,beliefs_first,1,1,45.5,9,45.5,45.5,9,45.5,1,B,1,2,1,48,Male,No,v5
1522,460395385774c21bfd56cc04,1,1,4,4,2.00,beliefs_first,1,1,49,2,49,50,4,46,1,A,1,1,0,48,Male,No,v5
728,463eb737b9b44b76d12b60e1,3,2,3,3,2.00,beliefs_first,.75,.75,46,9,45,46,9,45,1,A,0,1,1,25,Female,DATA_EXPIRED,v5
728,463eb737b9b44b76d12b60e1,3,2,3,3,2.00,beliefs_first,1,1,49,2,49,49,2,49,1,A,0,2,0,25,Female,DATA_EXPIRED,v5
578,4739641062a00be2657f87c4,4,5,1,1,0.00,beliefs_first,2,2,0,0,100,0,0,100,4,B,0,2,1,48,Female,Yes,v5
578,4739641062a00be2657f87c4,4,5,1,1,0.00,beliefs_first,2,2,0,0,100,0,0,100,4,A,0,1,0,48,Female,Yes,v5
1456,48b395f2df3c4e0f98fd14e1,4,1,3,4,1.20,choice_first,1,1,75,15,10,30,25,45,7,B,0,1,1,53,Female,No,v5
1456,48b395f2df3c4e0f98fd14e1,4,1,3,4,1.20,choice_first,1,1,25,15,60,75,10,15,7,B,0,2,0,53,Female,No,v5
1749,4b05948e6d84e115c20e0eef,3,4,4,4,1.52,choice_first,1,2,30,50,20,30,50,20,5,A,0,2,0,28,Female,Yes,v5
1749,4b05948e6d84e115c20e0eef,3,4,4,4,1.52,choice_first,2,1,30,20,50,50,40,10,7,B,0,1,1,28,Female,Yes,v5
572,4b25ac32174bb71fae9dab30,4,2,4,3,1.00,choice_first,1,.75,50,5,45,45,5,50,4,B,1,2,1,33,Male,DATA_EXPIRED,v5
572,4b25ac32174bb71fae9dab30,4,2,4,3,1.00,choice_first,1,1,40,10,50,50,10,40,4,A,0,1,0,33,Male,DATA_EXPIRED,v5
741,583c2115adfdfeaaa52d506e,2,3,5,4,0.20,choice_first,1,.9,49,2,49,52,2,46,7,A,0,1,0,32,Male,No,v5
741,583c2115adfdfeaaa52d506e,2,3,5,4,0.20,choice_first,1,.8,52,9,39,45,9,46,7,A,0,2,1,32,Male,No,v5
2248,5bcc7dda2085a65a21e1ec90,4,2,2,3,1.24,choice_first,1,1,100,0,0,20,30,50,5,B,0,2,0,32,Male,Yes,v5
2248,5bcc7dda2085a65a21e1ec90,4,2,2,3,1.24,choice_first,2,1,50,20,30,20,20,60,4,B,0,1,1,32,Male,Yes,v5
396,5c4ff92dd79d7612a5d0b873,3,2,5,4,0.00,beliefs_first,.2,.18,25,50,25,25,50,25,5,B,0,2,0,45,Female,Yes,v5
396,5c4ff92dd79d7612a5d0b873,3,2,5,4,0.00,beliefs_first,.2,.18,25,50,25,25,50,25,6,A,0,1,1,45,Female,Yes,v5
675,5d404ebeb701aaffdaa8ebd1,3,4,5,4,0.20,choice_first,1,1.1,49,2,49,48,1,51,6,A,0,1,0,26,Female,No,v5
675,5d404ebeb701aaffdaa8ebd1,3,4,5,4,0.20,choice_first,1,1.2,49,2,49,48,2,50,7,A,1,2,1,26,Female,No,v5
2738,5e1c45b7deda6fe8226b275d,4,3,5,4,0.60,choice_first,2,.5,30,30,40,70,20,10,6,B,0,2,0,23,Male,No,v5
2738,5e1c45b7deda6fe8226b275d,4,3,5,4,0.60,choice_first,2,0,30,30,40,15,30,55,6,B,1,1,1,23,Male,No,v5
897,5e78b5c94d7d442c599a7bfd,3,2,5,3,0.00,beliefs_first,2,1,49,1,50,51,1,48,5,A,0,1,0,38,Female,No,v5
897,5e78b5c94d7d442c599a7bfd,3,2,5,3,0.00,beliefs_first,1.5,.75,48,1,51,51,1,48,6,A,0,2,1,38,Female,No,v5
1048,5f89837a993c2ef153a1f776,5,4,4,3,2.00,beliefs_first,.9,.9,45,10,45,45,10,45,6,B,1,1,1,32,Female,No,v5
1048,5f89837a993c2ef153a1f776,5,4,4,3,2.00,beliefs_first,.9,.9,45,10,45,45,10,45,6,A,1,2,0,32,Female,No,v5
1086,61fbc39cf573adebf45149f3,4,3,5,4,0.00,beliefs_first,1,1,50,0,50,50,0,50,7,A,1,2,1,42,Male,Yes,v5
1086,61fbc39cf573adebf45149f3,4,3,5,4,0.00,beliefs_first,1,1,25,50,25,25,50,25,7,A,1,1,0,42,Male,Yes,v5
1339,63ceac16a30fb9c461f44cc6,3,2,1,5,0.00,beliefs_first,1.75,2,10,30,60,65,25,10,7,A,1,2,0,37,Female,No,v5
1339,63ceac16a30fb9c461f44cc6,3,2,1,5,0.00,beliefs_first,1.25,1,60,10,30,25,25,50,7,B,1,1,1,37,Female,No,v5
910,65ba9446ef49a7d694d2d5dd,4,2,4,3,0.00,beliefs_first,1,.75,50,2,48,55,2,43,6,A,1,1,0,24,Female,Yes,v5
910,65ba9446ef49a7d694d2d5dd,4,2,4,3,0.00,beliefs_first,1,.75,41,9,50,50,9,41,6,B,1,2,1,24,Female,Yes,v5
1924,690cbb9068b9c09a192ad7b2,5,4,5,5,2.00,beliefs_first,1,.5,30,35,35,25,30,45,7,A,0,1,0,26,Male,Yes,v5
1924,690cbb9068b9c09a192ad7b2,5,4,5,5,2.00,beliefs_first,1,.5,30,20,50,40,30,30,7,A,0,2,1,26,Male,Yes,v5
568,69b468bc4e7e4abffece6429,5,3,5,2,2.00,beliefs_first,1,1,45,10,45,45,10,45,7,A,0,1,1,42,Female,No,v5
568,69b468bc4e7e4abffece6429,5,3,5,2,2.00,beliefs_first,1,.98,49,2,49,52,2,46,7,B,0,2,0,42,Female,No,v5
693,71b18cddcdad43de2773f47e,3,4,3,4,2.00,beliefs_first,1.25,.75,50,25,25,25,25,50,5,A,0,1,1,43,Male,No,v5
693,71b18cddcdad43de2773f47e,3,4,3,4,2.00,beliefs_first,1,2,50,25,25,50,25,25,5,A,1,2,0,43,Male,No,v5
689,73265371825fe204c4dbecef,4,3,3,4,1.20,choice_first,.08,.4,25,15,60,30,20,50,5,A,0,2,0,40,Male,Yes,v5
689,73265371825fe204c4dbecef,4,3,3,4,1.20,choice_first,1,1.2,30,20,50,40,20,40,5,A,1,1,1,40,Male,Yes,v5
354,758dc06cd5a12761f000cd2d,1,3,4,4,0.00,beliefs_first,1,1,49,2,49,49,2,49,1,A,0,2,1,29,Female,No,v5
354,758dc06cd5a12761f000cd2d,1,3,4,4,0.00,beliefs_first,1,.95,49,2,49,52,2,46,7,A,0,1,0,29,Female,No,v5
579,7a522ac42c3d3176a5e4aef7,4,5,1,4,2.00,beliefs_first,1,1,0,100,0,0,100,0,1,A,0,1,1,25,Male,Yes,v5
579,7a522ac42c3d3176a5e4aef7,4,5,1,4,2.00,beliefs_first,1,1,0,100,0,0,100,0,1,B,1,2,0,25,Male,Yes,v5
1378,81465bc86b03ba7f710d07fb,1,5,5,5,2.00,beliefs_first,1,1,45.5,9,45.5,45.5,9,45.5,7,B,0,2,1,30,Male,No,v5
1378,81465bc86b03ba7f710d07fb,1,5,5,5,2.00,beliefs_first,1,.98,49,2,49,51,2,47,7,B,0,1,0,30,Male,No,v5
606,81b0fd6bb9f4581df0b99f26,4,2,4,4,1.60,choice_first,1,1.2,40,20,40,25,20,55,6,A,1,1,0,33,Male,Yes,v5
606,81b0fd6bb9f4581df0b99f26,4,2,4,4,1.60,choice_first,1,1.3,40,20,40,20,10,70,5,A,1,2,1,33,Male,Yes,v5
1205,8712ed7493ef4b8df6cec11b,4,2,4,4,1.76,choice_first,1,1,50,50,0,49,51,0,3,A,0,2,0,29,Female,No,v5
1205,8712ed7493ef4b8df6cec11b,4,2,4,4,1.76,choice_first,1,.5,30,50,20,80,10,10,5,A,0,1,1,29,Female,No,v5
910,88573c93e66954fb1ca4156c,4,3,5,5,0.84,choice_first,2,1.8,45,10,45,45,10,45,6,B,0,2,0,24,Male,No,v5
910,88573c93e66954fb1ca4156c,4,3,5,5,0.84,choice_first,2,1.8,25,50,25,25,50,25,7,B,0,1,1,24,Male,No,v5
1244,88e985a762f492099921c8ff,4,3,4,4,0.40,choice_first,1.5,2,10,50,40,10,20,70,5,B,1,2,0,48,Female,No,v5
1244,88e985a762f492099921c8ff,4,3,4,4,0.40,choice_first,1,2,10,10,80,30,50,20,5,B,1,1,1,48,Female,No,v5
676,8a3177ddc41ba6c930e2473d,3,2,4,4,2.00,beliefs_first,1,.8,48,4,48,52,4,44,5,B,1,2,0,27,Male,No,v5
676,8a3177ddc41ba6c930e2473d,3,2,4,4,2.00,beliefs_first,.8100000000000001,1,40,10,50,50,10,40,5,B,0,1,1,27,Male,No,v5
626,8cc23a4893cc4fae161801a0,3,2,4,4,2.00,beliefs_first,1,1,49,2,49,49,2,49,6,A,1,1,0,30,Male,No,v5
626,8cc23a4893cc4fae161801a0,3,2,4,4,2.00,beliefs_first,1,1,49,2,49,49,2,49,6,B,1,2,1,30,Male,No,v5
913,8d81aed6df119b2cd342da76,4,3,5,2,0.00,choice_first,1,1,49,2,49,49,2,49,6,B,0,1,0,20,Female,Yes,v5
913,8d81aed6df119b2cd342da76,4,3,5,2,0.00,choice_first,1,1,46,8,46,46,8,46,1,B,0,2,1,20,Female,Yes,v5
622,92f8b534cad13a3682fb389b,4,3,4,4,2.00,beliefs_first,1,1,45,10,45,45,10,45,1,A,0,1,1,37,Male,No,v5
622,92f8b534cad13a3682fb389b,4,3,4,4,2.00,beliefs_first,1,1,45,10,45,45,10,45,1,B,1,2,0,37,Male,No,v5
869,94219acc2fb03d07a274b11c,4,3,2,2,1.64,choice_first,1,1,5,70,25,5,70,25,7,A,0,1,0,35,Female,No,v5
869,94219acc2fb03d07a274b11c,4,3,2,2,1.64,choice_first,1,1,25,50,25,25,50,25,7,A,0,2,1,35,Female,No,v5
1090,96a9253c8153bb8607f490e9,4,5,5,5,0.20,choice_first,.8100000000000001,.8100000000000001,47,6,47,47,6,47,1,B,0,1,1,23,Male,DATA_EXPIRED,v5
1090,96a9253c8153bb8607f490e9,4,5,5,5,0.20,choice_first,.8100000000000001,.8100000000000001,47,6,47,47,6,47,1,B,0,2,0,23,Male,DATA_EXPIRED,v5
687,96ec9cc108ae7ec3675e6741,3,2,3,3,0.00,choice_first,1,1,49.9,.2,49.9,49.9,.2,49.9,1,A,0,2,1,32,Male,No,v5
687,96ec9cc108ae7ec3675e6741,3,2,3,3,0.00,choice_first,1,1,49.8,.4,49.8,49.8,.4,49.8,6,A,1,1,0,32,Male,No,v5
542,98bbf8265f68f96c89abbe78,4,3,4,4,1.28,choice_first,1,1,50,10,40,45,10,45,1,B,0,1,1,21,Female,DATA_EXPIRED,v5
542,98bbf8265f68f96c89abbe78,4,3,4,4,1.28,choice_first,1,1,44,12,44,45,10,45,1,B,0,2,0,21,Female,DATA_EXPIRED,v5
1410,9bdad9bb0a228ffd2031e944,3,3,5,5,1.00,choice_first,1.1,.9,40,20,40,55,15,30,5,A,1,2,1,37,Male,No,v5
1410,9bdad9bb0a228ffd2031e944,3,3,5,5,1.00,choice_first,1.1,1,49,2,49,51,2,47,7,A,1,1,0,37,Male,No,v5
683,9d9c225f1d4691d69c524339,3,2,5,5,2.00,beliefs_first,1,.75,45,10,45,50,10,40,1,B,1,1,1,32,Female,No,v5
683,9d9c225f1d4691d69c524339,3,2,5,5,2.00,beliefs_first,1,1,45,10,45,45,10,45,1,A,0,2,0,32,Female,No,v5
491,9de65bd37de4acc6c31cb3f2,4,2,5,5,1.40,choice_first,1,1,30,40,30,30,40,30,7,B,0,1,1,39,Male,DATA_EXPIRED,v5
491,9de65bd37de4acc6c31cb3f2,4,2,5,5,1.40,choice_first,1,1,30,40,30,30,40,30,4,A,0,2,0,39,Male,DATA_EXPIRED,v5
429,9ea47e9ce896f36f25de7cb2,2,2,2,2,0.00,beliefs_first,.2,1,30,30,40,50,20,30,4,A,1,1,1,37,Female,No,v5
429,9ea47e9ce896f36f25de7cb2,2,2,2,2,0.00,beliefs_first,.5,.4,20,50,30,40,60,0,5,B,0,2,0,37,Female,No,v5
924,a565e3557954685c390a1d20,2,1,4,5,0.40,choice_first,.2,.18,100,0,0,100,0,0,5,A,0,2,1,22,Female,No,v5
924,a565e3557954685c390a1d20,2,1,4,5,0.40,choice_first,.04,.039,100,0,0,100,0,0,6,B,0,1,0,22,Female,No,v5
718,a6b70a4dae309e3777bbafe6,3,4,5,2,1.24,choice_first,1,1,45,10,45,45,10,45,4,A,0,1,1,41,Male,No,v5
718,a6b70a4dae309e3777bbafe6,3,4,5,2,1.24,choice_first,1,1,49,2,49,49,2,49,4,B,1,2,0,41,Male,No,v5
1259,a8b4f02fed3d7bf77c00ca6d,4,4,3,4,0.00,beliefs_first,2,2,20,60,20,50,25,25,6,B,1,1,0,58,Male,Yes,v5
1259,a8b4f02fed3d7bf77c00ca6d,4,4,3,4,0.00,beliefs_first,2,2,20,30,50,50,30,20,5,A,1,2,1,58,Male,Yes,v5
1869,aa004a6289af5bfbac4d6c76,3,3,5,5,1.20,choice_first,1,1,45,10,45,45,10,45,5,B,1,1,1,33,Female,Yes,v5
1869,aa004a6289af5bfbac4d6c76,3,3,5,5,1.20,choice_first,1,1,45,10,45,45,10,45,5,B,0,2,0,33,Female,Yes,v5
347,aa3b7ea322717e575661c793,2,2,4,4,1.60,choice_first,1.99,2,0,20,80,10,30,60,7,A,0,2,1,28,Female,No,v5
347,aa3b7ea322717e575661c793,2,2,4,4,1.60,choice_first,2,1.99,0,100,0,0,1,99,7,A,1,1,0,28,Female,No,v5
635,acbd1f8149c49cc33bccea00,4,1,5,5,2.00,choice_first,1,1,50,0,50,50,0,50,5,A,1,2,0,63,Female,No,v5
635,acbd1f8149c49cc33bccea00,4,1,5,5,2.00,choice_first,1,1,50,0,50,50,0,50,5,B,0,1,1,63,Female,No,v5
476,acc3c3da68e270397ed475ee,3,2,4,4,0.00,beliefs_first,1.3,1,45,10,45,45,11,44,5,B,0,2,1,23,Female,Yes,v5
476,acc3c3da68e270397ed475ee,3,2,4,4,0.00,beliefs_first,1,1.3,45,10,45,35,10,55,6,B,0,1,0,23,Female,Yes,v5
769,ad06ce4c23d96448fc58565b,5,4,4,4,0.20,choice_first,1,1.25,45,10,45,40,10,50,6,B,1,1,1,42,Male,No,v5
769,ad06ce4c23d96448fc58565b,5,4,4,4,0.20,choice_first,1,1.1,40,10,50,30,10,60,6,B,1,2,0,42,Male,No,v5
1868,ad366fa349fba9e4635cc888,4,3,3,3,1.08,choice_first,1,1,48,4,48,48,4,48,7,B,1,2,1,26,Male,No,v5
1868,ad366fa349fba9e4635cc888,4,3,3,3,1.08,choice_first,.9,1.1,50,1,49,49,1,50,6,B,1,1,0,26,Male,No,v5
1586,ae151dd14c5e3684c1e97a01,3,1,4,4,0.00,beliefs_first,2,1.6,33,33,34,33,34,33,4,B,0,1,1,44,Female,No,v5
1586,ae151dd14c5e3684c1e97a01,3,1,4,4,0.00,beliefs_first,1.6,1.2,33,34,33,33,33,34,4,B,1,2,0,44,Female,No,v5
1717,b0a9ce7ba0ffc57613395627,5,3,4,5,1.00,choice_first,1,1,49,2,49,49,2,49,5,A,0,2,1,53,Female,No,v5
1717,b0a9ce7ba0ffc57613395627,5,3,4,5,1.00,choice_first,1,1,49,2,49,49,2,49,4,B,0,1,0,53,Female,No,v5
648,b163dbf137e73eda989741a3,3,2,4,2,0.00,beliefs_first,1,.96,48,4,48,50,2,48,5,B,1,1,0,26,Male,DATA_EXPIRED,v5
648,b163dbf137e73eda989741a3,3,2,4,2,0.00,beliefs_first,1,.8,48,4,48,50,2,48,5,A,1,2,1,26,Male,DATA_EXPIRED,v5
588,b1e8a94e86abaaafa4fa6717,3,2,4,4,0.40,choice_first,1,1,45,10,45,45,10,45,1,B,1,1,1,22,Male,No,v5
588,b1e8a94e86abaaafa4fa6717,3,2,4,4,0.40,choice_first,1,1,49,2,49,49,2,49,1,A,0,2,0,22,Male,No,v5
722,b47ab392be16fae9e977bc08,2,2,4,4,0.56,choice_first,.68,.53,0,9,91,0,9,91,5,A,1,2,0,32,Female,No,v5
722,b47ab392be16fae9e977bc08,2,2,4,4,0.56,choice_first,.73,.65,0,9.1,90.90000000000001,0,9.1,90.90000000000001,7,A,1,1,1,32,Female,No,v5
757,b6f7a2931440dee97b141475,2,1,4,2,0.00,beliefs_first,1,.8,49,1,50,59,1,40,5,B,0,2,0,37,Female,No,v5
757,b6f7a2931440dee97b141475,2,1,4,2,0.00,beliefs_first,1,.8,49,2,49,59,2,39,5,A,0,1,1,37,Female,No,v5
1253,b98a01864dd8c89aea01fb79,3,3,4,4,2.00,beliefs_first,1,1,49,2,49,49,2,49,4,A,0,2,0,37,Male,No,v5
1253,b98a01864dd8c89aea01fb79,3,3,4,4,2.00,beliefs_first,1.009,1,45.5,9,45.5,45.5,9,45.5,4,B,1,1,1,37,Male,No,v5
842,c0eddad7d3e61a29e7fd83ee,5,3,5,5,0.00,choice_first,.5,1.5,70,0,30,0,0,100,7,B,0,2,0,40,Male,DATA_EXPIRED,v5
842,c0eddad7d3e61a29e7fd83ee,5,3,5,5,0.00,choice_first,1,1,50,0,50,50,0,50,7,A,0,1,1,40,Male,DATA_EXPIRED,v5
845,c191ca3643c1b5a0c8df2ed6,4,4,4,3,1.00,choice_first,1,1.1,48,2,50,50,2,48,7,A,1,2,0,52,Male,No,v5
845,c191ca3643c1b5a0c8df2ed6,4,4,4,3,1.00,choice_first,1,.8,45,10,45,50,10,40,6,A,0,1,1,52,Male,No,v5
1005,c2475e44f0ed59fb6d51b3f3,5,3,4,4,0.00,beliefs_first,1,.5,40,10,50,50,10,40,6,B,1,1,1,57,Male,No,v5
1005,c2475e44f0ed59fb6d51b3f3,5,3,4,4,0.00,beliefs_first,1,.95,49,2,49,50,2,48,5,A,0,2,0,57,Male,No,v5
499,c74437c1eee521ad78008b0b,3,1,5,5,1.08,choice_first,1,1,45,10,45,45,10,45,1,B,1,2,0,26,Female,No,v5
499,c74437c1eee521ad78008b0b,3,1,5,5,1.08,choice_first,1,1,40,20,40,40,20,40,1,B,1,1,1,26,Female,No,v5
1392,c8b1819d476c55f9dd00716a,5,5,4,4,0.00,beliefs_first,2,2,50,20,30,40,40,20,6,B,0,2,1,51,Female,Yes,v5
1392,c8b1819d476c55f9dd00716a,5,5,4,4,0.00,beliefs_first,2,2,30,40,30,30,30,40,4,B,1,1,0,51,Female,Yes,v5
539,cc899fd81a6a13c11a719b97,4,1,2,2,0.96,choice_first,1,1,45,10,45,45,10,45,1,B,1,2,0,38,Male,No,v5
539,cc899fd81a6a13c11a719b97,4,1,2,2,0.96,choice_first,1,1,45,10,45,45,10,45,1,A,0,1,1,38,Male,No,v5
689,d480336f7c0f2b4caef12074,4,1,4,3,1.00,choice_first,1,.95,50,1,49,51,1,48,7,B,0,1,0,49,Female,No,v5
689,d480336f7c0f2b4caef12074,4,1,4,3,1.00,choice_first,1,.95,50,1,49,50,1,49,7,B,0,2,1,49,Female,No,v5
2142,d5f8bf98f5649839cd223a30,3,4,4,4,0.04,choice_first,1.25,1,30,40,30,40,30,30,6,A,0,2,0,25,Female,Yes,v5
2142,d5f8bf98f5649839cd223a30,3,4,4,4,0.04,choice_first,1.25,1,30,40,30,40,30,30,6,A,0,1,1,25,Female,Yes,v5
804,d7db347c44efd3a3184d69f6,3,3,4,4,0.00,beliefs_first,1.25,1,33.4,33.3,33.3,33.3,33.4,33.3,5,A,0,2,1,50,Female,Yes,v5
804,d7db347c44efd3a3184d69f6,3,3,4,4,0.00,beliefs_first,1,1,33.4,33.3,33.3,33.3,33.3,33.4,6,A,0,1,0,50,Female,Yes,v5
1635,d844f56a45bb90aa15e81fa7,3,4,4,5,0.40,choice_first,1,1,45.5,9.1,45.4,45.5,9.1,45.4,5,B,0,1,1,32,Male,No,v5
