duration,id,riskTaking,statKnow,regretExAnte,regretExPost,cond_presentation,cond_beliefs_choice_order,whichFirst,beliefA,beliefB,beliefA_below,beliefA_equal,beliefA_above,beliefB_below,beliefB_equal,beliefB_above,choiceStr,choiceB,round,short,age,sex,student,df
1501,03cfad7ea419a4b3906bd394,2,2,3,4,description_noiseless,beliefs_first,A,1,2,0,50,50,20,30,50,5,1,1,0,31,Female,DATA_EXPIRED,prereg
1501,03cfad7ea419a4b3906bd394,2,2,3,4,description_noiseless,beliefs_first,B,.2,.2,25,25,50,25,25,50,2,1,2,1,31,Female,DATA_EXPIRED,prereg
609,03eded04d509ccb95eaa2f69,3,1,5,4,description_noiseless,beliefs_first,A,2,0,0,30,70,1,1,98,7,0,2,0,25,Female,No,prereg
609,03eded04d509ccb95eaa2f69,3,1,5,4,description_noiseless,beliefs_first,B,1,1,35,35,30,35,35,30,7,0,1,1,25,Female,No,prereg
1616,04cd3d681f19347e35046e0d,1,2,5,4,sampling_noiseless,choice_first,B,0,2,90,0,10,10,0,90,7,1,2,0,76,Female,DATA_EXPIRED,prereg
1616,04cd3d681f19347e35046e0d,1,2,5,4,sampling_noiseless,choice_first,B,.5,.8,70,0,30,30,0,70,6,1,1,1,76,Female,DATA_EXPIRED,prereg
2414,062cd858b8b9fc1d97c4b68e,4,4,4,4,sampling_noiseless,choice_first,A,1.05,2,50,30,20,30,20,50,6,1,2,1,50,Male,Yes,prereg
2414,062cd858b8b9fc1d97c4b68e,4,4,4,4,sampling_noiseless,choice_first,A,150,2,30,20,50,30,50,20,6,0,1,0,50,Male,Yes,prereg
1337,066c3ef3d56e81c0c85bd47d,3,3,5,2,description_noiseless,beliefs_first,B,.9,.9,45.5,9,45.5,45.5,9,45.5,1,1,1,1,40,Male,No,prereg
1337,066c3ef3d56e81c0c85bd47d,3,3,5,2,description_noiseless,beliefs_first,B,.9,.9,49,2,49,49,2,49,1,1,2,0,40,Male,No,prereg
899,067aec088c50ef8be26404d6,2,1,4,4,description_noiseless,choice_first,A,1,1,5,5,90,70,15,15,7,0,1,1,57,Female,No,prereg
899,067aec088c50ef8be26404d6,2,1,4,4,description_noiseless,choice_first,A,1,1,15,15,70,70,15,15,7,0,2,0,57,Female,No,prereg
866,07049c7a9d831703e9c6dcb6,3,5,4,3,sampling_noiseless,choice_first,B,.8,1,55,9,36,45,10,45,6,1,1,1,54,Male,No,prereg
866,07049c7a9d831703e9c6dcb6,3,5,4,3,sampling_noiseless,choice_first,A,.96,1,50,2,48,48,2,50,7,1,2,0,54,Male,No,prereg
897,074141c5b7713d5a932a00b9,2,3,4,3,sampling_noiseless,beliefs_first,A,1.56,1.6,40,10,50,35,10,55,6,1,2,0,31,Female,No,prereg
897,074141c5b7713d5a932a00b9,2,3,4,3,sampling_noiseless,beliefs_first,B,1.35,1.4,70,20,10,60,20,20,6,1,1,1,31,Female,No,prereg
535,078b6fa30dd66be88abe8d58,4,3,4,4,sampling_noiseless,beliefs_first,B,.9,1.1,50,10,40,40,10,50,7,1,2,1,27,Male,No,prereg
535,078b6fa30dd66be88abe8d58,4,3,4,4,sampling_noiseless,beliefs_first,A,1,1.04,49,2,49,47,1,52,7,1,1,0,27,Male,No,prereg
741,07c62c4a7953d0fcac4e41fc,3,2,5,5,sampling_noiseless,beliefs_first,A,.7,.74,88,2,10,88,2,10,6,1,1,0,20,Female,Yes,prereg
741,07c62c4a7953d0fcac4e41fc,3,2,5,5,sampling_noiseless,beliefs_first,B,1.2,1.4,48,2,50,48,2,50,6,1,2,1,20,Female,Yes,prereg
715,084179fe06614450b1df4479,2,4,5,5,description_noiseless,beliefs_first,A,.75,.83,49,2,49,58,2,40,6,0,1,1,32,Male,No,prereg
715,084179fe06614450b1df4479,2,4,5,5,description_noiseless,beliefs_first,B,.8,1,48,4,48,52,4,44,6,0,2,0,32,Male,No,prereg
4711,085356c47cd40e53aaa4c1f6,3,3,4,4,sampling_noiseless,choice_first,A,1.5,1.8,30,20,50,20,30,50,5,1,1,0,62,Female,No,prereg
4711,085356c47cd40e53aaa4c1f6,3,3,4,4,sampling_noiseless,choice_first,A,.7,1.7,70,20,10,20,10,70,7,1,2,1,62,Female,No,prereg
585,088d834d1176ce093addc6b9,4,2,1,2,sampling_noiseless,beliefs_first,A,1.3,1.4,40,10,50,40,10,50,5,1,2,0,24,Male,No,prereg
585,088d834d1176ce093addc6b9,4,2,1,2,sampling_noiseless,beliefs_first,B,1,1.8,20,30,50,10,20,70,5,1,1,1,24,Male,No,prereg
699,08b4e8899d796956d8a5d6b1,4,3,3,3,sampling_noiseless,beliefs_first,B,.8,1.2,65,20,15,20,25,55,7,1,2,1,23,Male,Yes,prereg
699,08b4e8899d796956d8a5d6b1,4,3,3,3,sampling_noiseless,beliefs_first,B,1.08,1.12,35,20,45,10,30,60,6,1,1,0,23,Male,Yes,prereg
1530,0933c765a55909386a4522ba,5,4,4,4,description_noiseless,beliefs_first,A,2,2,30,35,35,35,35,30,7,0,1,0,21,Male,No,prereg
1530,0933c765a55909386a4522ba,5,4,4,4,description_noiseless,beliefs_first,A,2,1,50,25,25,30,35,35,7,0,2,1,21,Male,No,prereg
596,0a46abc5c92b176dbe0dfcbd,3,4,5,5,description_noiseless,beliefs_first,B,1,1,49,2,49,49,2,49,1,1,2,0,21,Male,Yes,prereg
596,0a46abc5c92b176dbe0dfcbd,3,4,5,5,description_noiseless,beliefs_first,B,1,1,45,10,45,45,10,45,1,1,1,1,21,Male,Yes,prereg
645,0ac0b28c4c2a54ba0077ecf0,2,3,4,4,sampling_noiseless,beliefs_first,B,.25,1.25,75,1,24,60,10,30,7,1,1,0,23,Female,Yes,prereg
645,0ac0b28c4c2a54ba0077ecf0,2,3,4,4,sampling_noiseless,beliefs_first,A,1.3,1.5,57,3,40,55,2,43,7,1,2,1,23,Female,Yes,prereg
796,0ad32f8504c002b5b5616437,3,4,4,3,sampling_noiseless,beliefs_first,B,.8,1,70,5,25,40,10,50,6,1,1,1,30,Female,DATA_EXPIRED,prereg
796,0ad32f8504c002b5b5616437,3,4,4,3,sampling_noiseless,beliefs_first,B,.7,1,40,10,50,25,10,65,7,1,2,0,30,Female,DATA_EXPIRED,prereg
1092,0b4b7cf8e6dcd904ac2b2bca,3,3,5,5,sampling_noiseless,beliefs_first,B,.84,1.2,35,5,60,25,10,65,7,1,2,0,23,Female,DATA_EXPIRED,prereg
1092,0b4b7cf8e6dcd904ac2b2bca,3,3,5,5,sampling_noiseless,beliefs_first,A,.4,1.2,75,15,10,10,15,75,7,1,1,1,23,Female,DATA_EXPIRED,prereg
1409,0b52afcb49bdcbd588c7f058,3,4,4,4,sampling_noiseless,choice_first,B,1,1,50,10,40,40,10,50,2,0,1,1,69,Female,No,prereg
1409,0b52afcb49bdcbd588c7f058,3,4,4,4,sampling_noiseless,choice_first,B,2,2,50,0,50,49,2,49,5,1,2,0,69,Female,No,prereg
539,0b7d0dc38242e0f5b8d3d393,3,2,5,5,description_noiseless,beliefs_first,B,1,1,48,4,48,48,4,48,5,0,1,0,29,Female,DATA_EXPIRED,prereg
539,0b7d0dc38242e0f5b8d3d393,3,2,5,5,description_noiseless,beliefs_first,B,1,1,48,4,48,48,4,48,2,1,2,1,29,Female,DATA_EXPIRED,prereg
628,0b982c9e849d1e0aa420a2d3,3,2,4,4,description_noiseless,choice_first,B,1,1,49,1,50,50,5,45,4,0,2,1,39,Female,No,prereg
628,0b982c9e849d1e0aa420a2d3,3,2,4,4,description_noiseless,choice_first,B,2,1,50,1,49,51,1,48,3,0,1,0,39,Female,No,prereg
585,0c35b17a1a1b0f5836d6d875,2,3,5,5,sampling_noiseless,beliefs_first,A,.88,.96,78,2,20,45,5,50,6,1,1,1,30,Female,DATA_EXPIRED,prereg
585,0c35b17a1a1b0f5836d6d875,2,3,5,5,sampling_noiseless,beliefs_first,A,1.1,.78,75,5,20,18,2,80,7,1,2,0,30,Female,DATA_EXPIRED,prereg
975,0c451dbe1deef0b2c56e4146,4,3,4,4,sampling_noiseless,choice_first,A,1,1,40,5,55,45,5,50,5,0,1,0,61,Male,No,prereg
975,0c451dbe1deef0b2c56e4146,4,3,4,4,sampling_noiseless,choice_first,B,1,1,50,10,40,40,10,50,6,0,2,1,61,Male,No,prereg
677,0d05ec1eacfaab87031f8777,2,3,4,4,sampling_noiseless,choice_first,B,1.2,1,30,10,60,40,20,40,5,0,1,0,43,Male,DATA_EXPIRED,prereg
677,0d05ec1eacfaab87031f8777,2,3,4,4,sampling_noiseless,choice_first,B,1.1,1.4,50,20,30,30,20,50,5,1,2,1,43,Male,DATA_EXPIRED,prereg
1158,0dbb4d0ace0c289c541831b1,2,2,4,4,description_noiseless,beliefs_first,A,1,1.87,45.5,9,45.5,45.5,9,45.5,5,1,1,1,23,Male,Yes,prereg
1158,0dbb4d0ace0c289c541831b1,2,2,4,4,description_noiseless,beliefs_first,B,1,.88,49,2,49,49,2,49,4,0,2,0,23,Male,Yes,prereg
783,0de1797b131d0a11b05f078d,3,4,5,5,sampling_noiseless,choice_first,B,.8,1,60,9,31,50,9,41,6,1,1,1,60,Female,No,prereg
783,0de1797b131d0a11b05f078d,3,4,5,5,sampling_noiseless,choice_first,B,1,1,52,2,46,50,2,48,6,0,2,0,60,Female,No,prereg
1273,0f596a08d4cca192c9fd1a8d,3,3,4,4,description_noiseless,beliefs_first,B,1.04,1,0,50,50,0,100,0,7,0,1,0,23,Female,DATA_EXPIRED,prereg
1273,0f596a08d4cca192c9fd1a8d,3,3,4,4,description_noiseless,beliefs_first,B,1,.8179999999999999,0,100,0,100,0,0,7,0,2,1,23,Female,DATA_EXPIRED,prereg
576,0f6cb6714a0dab3e14a4d9b8,3,2,5,4,description_noiseless,beliefs_first,B,1.25,1.25,45,10,45,45,10,45,4,1,2,0,37,Female,No,prereg
576,0f6cb6714a0dab3e14a4d9b8,3,2,5,4,description_noiseless,beliefs_first,A,1.25,1.25,45,10,45,45,10,45,4,1,1,1,37,Female,No,prereg
1316,0ff12f90094e66ba246e754a,3,3,3,3,sampling_noiseless,beliefs_first,B,1,1,0,20,80,0,20,80,4,0,1,1,23,Male,Yes,prereg
1316,0ff12f90094e66ba246e754a,3,3,3,3,sampling_noiseless,beliefs_first,A,1,1,40,30,30,40,30,30,4,0,2,0,23,Male,Yes,prereg
455,10071cc95095217e76dba04a,3,4,3,3,sampling_noiseless,choice_first,A,1,2,50,40,10,40,10,50,5,1,1,1,54,Male,No,prereg
455,10071cc95095217e76dba04a,3,4,3,3,sampling_noiseless,choice_first,B,2,2,80,10,10,50,10,40,4,1,2,0,54,Male,No,prereg
989,106bd9d30e5934c566d3c5dc,3,3,5,4,sampling_noiseless,beliefs_first,B,2,0,10,10,80,30,40,30,6,0,1,1,40,Female,No,prereg
989,106bd9d30e5934c566d3c5dc,3,3,5,4,sampling_noiseless,beliefs_first,B,0,2,50,20,30,30,10,60,6,1,2,0,40,Female,No,prereg
970,1163696e5b84a3343927fedb,1,2,4,5,description_noiseless,beliefs_first,B,1,.9,49,1,50,50,1,49,6,0,1,0,29,Female,DATA_EXPIRED,prereg
970,1163696e5b84a3343927fedb,1,2,4,5,description_noiseless,beliefs_first,B,1,1,49,1,50,45,10,45,4,0,2,1,29,Female,DATA_EXPIRED,prereg
556,11780692bb4e86a270539325,4,4,4,3,description_noiseless,choice_first,B,2,1,60,40,0,60,40,0,6,0,1,1,36,Male,Yes,prereg
556,11780692bb4e86a270539325,4,4,4,3,description_noiseless,choice_first,B,2,2,0,100,0,0,30,70,6,0,2,0,36,Male,Yes,prereg
547,119a0d4522309ede7c9464c2,3,4,4,4,sampling_noiseless,choice_first,A,1.4,.8,65,15,20,25,25,50,6,1,2,1,32,Female,No,prereg
547,119a0d4522309ede7c9464c2,3,4,4,4,sampling_noiseless,choice_first,A,1.5,2,30,40,30,20,30,50,6,1,1,0,32,Female,No,prereg
1337,11f0c82b6da7d1af12e1e444,3,3,4,4,description_noiseless,choice_first,A,1,1,45.5,9,45.5,45.5,9,45.5,1,0,2,1,61,Male,DATA_EXPIRED,prereg
1337,11f0c82b6da7d1af12e1e444,3,3,4,4,description_noiseless,choice_first,A,1,1,49,2,49,49,2,49,1,1,1,0,61,Male,DATA_EXPIRED,prereg
581,1248723359b314fceda63f1d,2,4,4,4,sampling_noiseless,beliefs_first,B,.9399999999999999,1,47,6,47,49,4,47,5,1,1,0,45,Male,No,prereg
581,1248723359b314fceda63f1d,2,4,4,4,sampling_noiseless,beliefs_first,B,.8,1,46,8,46,48,4,48,5,0,2,1,45,Male,No,prereg
676,1342929d97e5c5f6f8d41cf2,2,3,3,5,description_noiseless,choice_first,A,1,1,49,2,49,49,2,49,7,1,1,0,34,Female,DATA_EXPIRED,prereg
676,1342929d97e5c5f6f8d41cf2,2,3,3,5,description_noiseless,choice_first,A,1,1,45,10,45,45,10,45,7,1,2,1,34,Female,DATA_EXPIRED,prereg
954,13899b05289a6d982a42d75e,4,3,4,5,sampling_noiseless,beliefs_first,B,1.2,1.24,43,2,55,38,2,60,7,1,1,0,34,Female,No,prereg
954,13899b05289a6d982a42d75e,4,3,4,5,sampling_noiseless,beliefs_first,A,1.1,1.3,45,4,51,36,4,60,7,1,2,1,34,Female,No,prereg
540,144203ed83e96f750295c725,4,3,5,5,description_noiseless,beliefs_first,A,1.2,1.6,45,10,45,50,10,40,4,0,2,1,31,Male,No,prereg
540,144203ed83e96f750295c725,4,3,5,5,description_noiseless,beliefs_first,B,1.51,.49,35,5,60,60,2,38,6,0,1,0,31,Male,No,prereg
440,152b209127749272bdc264fb,3,4,5,5,sampling_noiseless,choice_first,B,1,1,45,9,46,45,9,46,2,1,2,1,33,Male,DATA_EXPIRED,prereg
440,152b209127749272bdc264fb,3,4,5,5,sampling_noiseless,choice_first,A,.8,.8100000000000001,50,2,48,49,2,49,2,1,1,0,33,Male,DATA_EXPIRED,prereg
1010,152dec86cc7afc489acb7b18,3,3,4,3,sampling_noiseless,beliefs_first,A,1.1,.9,10,40,50,20,40,40,4,0,2,0,51,Female,No,prereg
1010,152dec86cc7afc489acb7b18,3,3,4,3,sampling_noiseless,beliefs_first,B,.8,1.3,35,35,30,10,30,60,6,1,1,1,51,Female,No,prereg
868,156a1e094fa314c8ce2b5e3e,3,4,5,4,sampling_noiseless,beliefs_first,A,1,1,0,25,75,0,25,75,4,0,2,1,44,Male,DATA_EXPIRED,prereg
868,156a1e094fa314c8ce2b5e3e,3,4,5,4,sampling_noiseless,beliefs_first,A,1,2,5,30,65,5,30,65,4,0,1,0,44,Male,DATA_EXPIRED,prereg
808,15f7311c7419f89985f63580,3,3,3,4,description_noiseless,beliefs_first,B,1,1,45.5,9,45.5,45.5,9,45.5,1,1,2,1,50,Male,No,prereg
808,15f7311c7419f89985f63580,3,3,3,4,description_noiseless,beliefs_first,B,1,.98,49,2,49,49.1,1.9,49,7,0,1,0,50,Male,No,prereg
469,165fa7faf88e01016c5ec939,4,2,3,3,sampling_noiseless,beliefs_first,A,1.6,1.64,5,0,95,5,0,95,6,1,1,0,48,Female,No,prereg
469,165fa7faf88e01016c5ec939,4,2,3,3,sampling_noiseless,beliefs_first,B,1.6,1.2,5,0,95,5,0,95,6,0,2,1,48,Female,No,prereg
513,16d2fb25ab11cecf5da7383b,4,2,4,5,sampling_noiseless,choice_first,A,1.2,1.4,55,10,35,40,15,45,7,1,1,1,25,Male,No,prereg
513,16d2fb25ab11cecf5da7383b,4,2,4,5,sampling_noiseless,choice_first,B,.9,.9399999999999999,50,10,40,45,12,43,7,1,2,0,25,Male,No,prereg
1218,16df50f6afab6c0825c7114b,3,3,4,3,description_noiseless,choice_first,A,1,1,45,10,45,45,10,45,5,0,1,1,24,Male,Yes,prereg
1218,16df50f6afab6c0825c7114b,3,3,4,3,description_noiseless,choice_first,A,2,2,47,6,47,47,6,47,5,1,2,0,24,Male,Yes,prereg
1071,173ed78c074c065025dd3292,3,2,3,3,description_noiseless,beliefs_first,B,2,2,33,33,34,33,33,34,1,0,1,0,39,Female,No,prereg
1071,173ed78c074c065025dd3292,3,2,3,3,description_noiseless,beliefs_first,A,1,1,33,33,34,33,33,34,1,0,2,1,39,Female,No,prereg
765,17402f438fee8e1938c940b8,3,2,5,3,sampling_noiseless,choice_first,B,1,1.04,45,5,50,40,10,50,7,1,2,0,23,Female,DATA_EXPIRED,prereg
765,17402f438fee8e1938c940b8,3,2,5,3,sampling_noiseless,choice_first,B,.9,1,75,5,20,20,10,70,5,1,1,1,23,Female,DATA_EXPIRED,prereg
870,17a9640a511de798f2e35e1d,4,3,4,4,description_noiseless,choice_first,B,1,1,45,10,45,45,10,45,5,1,1,1,20,Male,Yes,prereg
870,17a9640a511de798f2e35e1d,4,3,4,4,description_noiseless,choice_first,B,1,1,45,10,45,45,10,45,4,1,2,0,20,Male,Yes,prereg
892,17e52cdb9833bda5f23b4ce5,4,2,3,3,description_noiseless,choice_first,A,0,2,20,50,30,20,39,41,5,0,1,1,25,Female,No,prereg
892,17e52cdb9833bda5f23b4ce5,4,2,3,3,description_noiseless,choice_first,B,2,1,50,20,30,20,30,50,7,0,2,0,25,Female,No,prereg
1645,17eb17d2013b8755a42c3cc2,3,3,4,4,sampling_noiseless,beliefs_first,B,1.5,1.3,45,1,54,50,1,49,6,1,2,0,51,Female,No,prereg
1645,17eb17d2013b8755a42c3cc2,3,3,4,4,sampling_noiseless,beliefs_first,A,1.4,1.05,25,5,70,10,15,75,6,1,1,1,51,Female,No,prereg
1046,1954243267c2ce5575fecfeb,2,5,5,3,sampling_noiseless,beliefs_first,A,1.2,1,45,10,45,41,10,49,7,1,2,1,41,Female,No,prereg
1046,1954243267c2ce5575fecfeb,2,5,5,3,sampling_noiseless,beliefs_first,B,1,1.04,49,2,49,48,2,50,7,1,1,0,41,Female,No,prereg
534,19804964d6463747354fd078,4,4,4,4,sampling_noiseless,choice_first,B,.8,1,50,2,48,48,2,50,7,1,2,0,34,Male,No,prereg
534,19804964d6463747354fd078,4,4,4,4,sampling_noiseless,choice_first,B,.8,1,50,5,45,45,5,50,7,1,1,1,34,Male,No,prereg
533,19c4afe5d0eaf15a89f45c8f,3,1,4,4,sampling_noiseless,choice_first,B,.82,.86,60,5,35,60,5,35,5,1,1,0,34,Female,No,prereg
533,19c4afe5d0eaf15a89f45c8f,3,1,4,4,sampling_noiseless,choice_first,A,.9,1.1,25,5,70,25,5,70,5,0,2,1,34,Female,No,prereg
633,19e3014d6d70e1cd9d9e3364,2,2,4,4,sampling_noiseless,choice_first,A,1,1,10,5,85,10,5,85,3,0,2,1,44,Male,No,prereg
633,19e3014d6d70e1cd9d9e3364,2,2,4,4,sampling_noiseless,choice_first,B,1.1,1.2,50,5,45,60,10,30,6,0,1,0,44,Male,No,prereg
732,1a156df23004bf52ab1dfb45,5,4,3,2,sampling_noiseless,choice_first,B,.8,1,70,10,20,20,10,70,6,1,1,1,44,Male,No,prereg
732,1a156df23004bf52ab1dfb45,5,4,3,2,sampling_noiseless,choice_first,B,.8,1,50,5,45,45,5,50,7,1,2,0,44,Male,No,prereg
706,1a7a3d59b080c4a4d1e3dec5,3,3,5,5,sampling_noiseless,choice_first,B,2,1,40,20,40,50,5,45,6,1,1,1,28,Female,No,prereg
706,1a7a3d59b080c4a4d1e3dec5,3,3,5,5,sampling_noiseless,choice_first,A,.9,1,70,0,30,80,0,20,7,1,2,0,28,Female,No,prereg
879,1aaa240b0584c3274245aabb,1,3,4,3,sampling_noiseless,beliefs_first,A,1,1.2,90,1,9,20,2,78,6,1,1,1,45,Female,DATA_EXPIRED,prereg
879,1aaa240b0584c3274245aabb,1,3,4,3,sampling_noiseless,beliefs_first,B,.7,.9,75,5,20,40,5,55,6,1,2,0,45,Female,DATA_EXPIRED,prereg
841,1b0bda4d2767fc7d83274905,4,3,5,5,sampling_noiseless,choice_first,B,1,1.25,80,5,15,65,5,30,6,1,1,1,36,Male,No,prereg
841,1b0bda4d2767fc7d83274905,4,3,5,5,sampling_noiseless,choice_first,B,.75,.9,45,2,53,45,0,55,7,1,2,0,36,Male,No,prereg
796,1b96991ecaaeb042da6f97ff,4,1,5,5,description_noiseless,choice_first,B,1,1.2,44,12,44,50,10,40,7,0,1,1,33,Male,No,prereg
796,1b96991ecaaeb042da6f97ff,4,1,5,5,description_noiseless,choice_first,B,1,1,49,2,49,49,2,49,5,1,2,0,33,Male,No,prereg
565,1bd42b3310028dacea63941d,2,4,4,4,sampling_noiseless,beliefs_first,B,.65,.85,95,4,1,99,0,1,7,1,1,1,48,Male,No,prereg
565,1bd42b3310028dacea63941d,2,4,4,4,sampling_noiseless,beliefs_first,A,.85,.95,40,1,59,30,1,69,7,1,2,0,48,Male,No,prereg
1222,1bef2731733e5b173bd42835,2,3,4,5,description_noiseless,choice_first,A,1.25,1,45,10,45,46,9,45,7,1,1,1,54,Male,No,prereg
1222,1bef2731733e5b173bd42835,2,3,4,5,description_noiseless,choice_first,B,.98,1.02,49,2,49,51,2,47,5,1,2,0,54,Male,No,prereg
1016,1cae2a39d8901f99e32d4d28,4,2,4,4,description_noiseless,choice_first,A,.5,1,47,6,47,48,5,47,6,1,2,0,41,Male,No,prereg
1016,1cae2a39d8901f99e32d4d28,4,2,4,4,description_noiseless,choice_first,A,1.5,2,45,10,45,35,10,55,5,1,1,1,41,Male,No,prereg
739,1cf2fd0fb51d5e3704a19ad9,2,2,5,4,description_noiseless,choice_first,B,.85,.75,25,5,70,30,5,65,3,0,2,0,26,Female,No,prereg
739,1cf2fd0fb51d5e3704a19ad9,2,2,5,4,description_noiseless,choice_first,B,1,.75,45,10,45,60,10,30,5,0,1,1,26,Female,No,prereg
2550,1d1cf6ca980f94c02f8825d4,4,4,4,4,description_noiseless,beliefs_first,A,.8100000000000001,.8100000000000001,45.5,9,45.5,45.5,9,45.5,6,1,1,1,50,Male,No,prereg
2550,1d1cf6ca980f94c02f8825d4,4,4,4,4,description_noiseless,beliefs_first,A,1,1,49,2,49,49,2,49,6,0,2,0,50,Male,No,prereg
1745,1d270f975263a0edaadf0737,3,2,4,3,description_noiseless,choice_first,B,1,.8,45.45,9.1,45.45,44.4,11.2,44.4,5,0,1,1,61,Female,No,prereg
1745,1d270f975263a0edaadf0737,3,2,4,3,description_noiseless,choice_first,A,1,.75,50.3,2.3,47.4,48,2,50,5,0,2,0,61,Female,No,prereg
473,1e4a520e5ec587d4c684a224,3,5,5,5,sampling_noiseless,beliefs_first,A,.8,1.1,50,0,50,50,0,50,7,1,2,1,33,Male,No,prereg
473,1e4a520e5ec587d4c684a224,3,5,5,5,sampling_noiseless,beliefs_first,A,1.31,1.35,40,0,60,40,0,60,7,1,1,0,33,Male,No,prereg
613,1eedc860364a53dec5951ae2,5,5,5,5,description_noiseless,beliefs_first,A,1,1,49,2,49,50,2,48,7,1,1,0,33,Male,Yes,prereg
613,1eedc860364a53dec5951ae2,5,5,5,5,description_noiseless,beliefs_first,B,1,.8,49,2,49,50,2,48,7,1,2,1,33,Male,Yes,prereg
887,1fd0bda7e67d4df76dfa4938,3,4,4,1,description_noiseless,beliefs_first,B,1,1,45,10,45,45,10,45,7,0,2,0,51,Female,DATA_EXPIRED,prereg
887,1fd0bda7e67d4df76dfa4938,3,4,4,1,description_noiseless,beliefs_first,A,1,1,45,10,45,45,10,45,7,0,1,1,51,Female,DATA_EXPIRED,prereg
