duration,id,view1,view2,view3,choiceStr,beliefA,beliefB,beliefA_below,beliefA_equal,beliefA_above,beliefB_below,beliefB_equal,beliefB_above,riskTaking,statKnow,regretExAnte,regretExPost,bonus_payment,cond_beliefs_choice_order,rand_long_short_order,whichFirst,choiceB,short,round,age,sex,student,df
442,4d774c3d9e0dd12ef85b2d3a,5.707,3.9,2.2,4,1,1,33,34,33,33,34,33,4,4,5,4,2.00,choice_first,short_first,A,0,1,1,33,Male,No,v24
415,4f230aae6be723eeda655efe,6.384,5.115,8.81,5,1.5,1.5,33,34,33,0,30,70,4,2,5,4,2.00,choice_first,short_first,B,1,1,1,47,Male,No,v24
269,4f2610137efc97f40470aaa8,2.272,1.394,1.04,6,.5,1,80,10,10,20,30,50,4,2,4,4,1.00,choice_first,short_first,A,1,1,1,23,Female,Yes,v24
502,4fcbce024a24dc0f7fb42cfa,3.83,4.151,2.263,4,1,1,33.3,33.3,33.4,33.4,33.3,33.3,4,3,2,2,0.00,beliefs_first,short_first,A,0,1,1,22,Male,Yes,v24
1021,503780fa414925d00988751e,10.14,4.975,2.16,3,1,2,33.3,33.4,33.3,33.3,33.3,33.4,4,3,2,3,2.00,choice_first,short_first,A,1,1,1,25,Male,No,v24
297,504aa26ab2e7ed9a383d9ef4,4.427,4.85,4.198,4,1,2,50,25,25,25,25,50,4,3,3,4,0.00,choice_first,short_first,A,1,1,1,32,Female,No,v24
676,525fd4636d9757b286cf79b7,12.8,3.955,6.296,6,1,2,90,10,0,0,20,80,3,2,5,5,0.00,choice_first,short_first,B,1,1,1,27,Female,No,v24
867,55c7db8dd0328a94189f5449,10.022,1.884,2.769,6,1,2,50,30,20,20,30,50,3,2,5,5,2.00,choice_first,short_first,B,1,1,1,51,Female,No,v24
707,5707973ee4d948581e0636fb,18.479,4.838,47.205,2,0,1,20,0,80,15,1,84,2,3,3,2,2.00,beliefs_first,short_first,A,0,1,1,58,Male,No,v24
288,5a63703832448272a603d6bc,4.353,1.385,1.169,1,1.5,1,45,5,50,45,5,50,3,4,4,4,0.00,choice_first,short_first,A,0,1,1,32,Female,No,v24
621,5b3d998fd45682ebb849e68b,10.804,3.469,2.764,5,1,1,67,33,0,67,33,0,3,4,2,4,2.00,beliefs_first,short_first,B,1,1,1,20,Female,Yes,v24
526,5dab7e85d91a616179d209fb,5.6,3.418,0.911,5,1,1.2,35,30,35,20,30,50,2,4,3,5,1.00,choice_first,short_first,B,0,1,1,24,Male,Yes,v24
400,5ee3c71ea2bc0a53a7494a0c,4.896,2.045,1.438,6,1,.5,50,50,0,0,50,50,3,1,3,4,2.00,choice_first,short_first,B,1,1,1,25,Male,No,v24
674,60c9469095635a5b6d49acfe,3.87,1.201,1.261,5,1,2,0,100,0,40,0,60,4,2,3,4,2.00,choice_first,short_first,A,1,1,1,36,Female,No,v24
2220,6758bb8a50a1e22131d53a74,8.616,5.012,6.118,7,1,1,50,50,0,50,50,0,4,5,5,4,2.00,beliefs_first,short_first,A,0,1,1,49,Male,No,v24
534,69d2efbfa80f3d07aa84d1ec,13.451,5.13,7.38,6,1,2,40,10,50,60,10,30,4,3,4,4,0.00,beliefs_first,short_first,B,0,1,1,57,Female,No,v24
508,6d1139766e2d709b49affb7d,5.223,3.891,4.736,5,1,2,20,50,30,30,20,50,4,3,4,4,2.00,choice_first,short_first,B,1,1,1,41,Female,No,v24
345,6de2b28068fbe26a8b07ddd1,7.134,2.558,3.434,4,1,2,40,40,20,20,20,60,4,1,3,3,0.00,choice_first,short_first,B,1,1,1,42,Female,No,v24
1288,6ecb24ca4e0a7cce1a83ac24,17.884,19.445,5.686,6,.7,1,70,0,30,33,33,34,3,3,4,4,1.00,choice_first,short_first,A,1,1,1,33,Male,Yes,v24
521,772d592dcb42e3f6448564cd,3.548,4.121,10.37,1,1,1,33.3,33.4,33.3,33.3,33.4,33.3,5,5,4,4,0.00,beliefs_first,short_first,B,0,1,1,22,Male,Yes,v24
942,79850657a47309c5ad1cc3c1,6.27,4.561,2.984,6,1,2,90,10,0,0,30,70,3,2,5,5,0.00,choice_first,short_first,B,0,1,1,31,Female,Yes,v24
558,7be80616c87b89ec3a53c6c0,8.372,5.335,11.617,5,1,.83,33.4,33.3,33.3,33.3,33.3,33.4,2,2,5,5,2.00,beliefs_first,short_first,A,1,1,1,25,Female,Yes,v24
778,7bf8baadc2009fcb50e4c7f4,10.292,6.317,4.155,6,0,1,75,25,0,33,33,34,4,2,5,5,2.00,beliefs_first,short_first,A,1,1,1,50,Female,No,v24
453,7e59ecd86fbd3d4d1a07b0c2,5.601,3.298,0.946,2,1,1,40,20,40,40,20,40,4,2,2,3,0.00,beliefs_first,short_first,B,0,1,1,37,Male,No,v24
364,8069eaa89575edb3870c979d,5.154,2.93,1.08,4,1,2,23,40,37,25,15,60,2,1,2,4,0.00,beliefs_first,short_first,A,1,1,1,21,Female,Yes,v24
316,84fbecd2584927cbaa2b202f,16.124,2.848,8.318,1,1,1,33.3,33.4,33.3,33.3,33.4,33.3,3,4,4,4,0.00,choice_first,short_first,A,0,1,1,29,Female,Yes,v24
320,863a832b37376d9efc5dafba,6.285,7.31,3.384,5,1,1,67,0,33,33,33,34,4,4,4,3,0.00,beliefs_first,short_first,A,1,1,1,20,Male,Yes,v24
707,88573c93e66954fb1ca4156c,9.009,8.021,3.813,6,1,1,33,33,34,34,33,33,3,4,5,5,0.00,beliefs_first,short_first,B,0,1,1,24,Male,No,v24
531,88726de2e70d0f9949e9958d,9.839,10.354,6.302,4,1,1,33.33,33.34,33.33,33.33,33.34,33.33,4,3,4,4,2.00,choice_first,short_first,A,1,1,1,50,Female,No,v24
628,8994cb5e40972f1a48ecb36f,17.552,3.392,1.509,5,1,.8,10,60,30,60,25,15,2,3,5,5,2.00,beliefs_first,short_first,B,0,1,1,38,Female,No,v24
448,93991f4f07d0210d6a4f03e8,6.942,1.995,1.583,7,1,1,33,33,34,33,33,34,2,2,4,4,2.00,beliefs_first,short_first,A,1,1,1,34,Female,No,v24
672,946761fc01fd4c63a949f6e2,11.174,2.187,10.344,6,1,1.5,66.59999999999999,0,33.4,33.3,33.3,33.4,3,4,4,4,2.00,beliefs_first,short_first,B,1,1,1,31,Male,DATA_EXPIRED,v24
603,9b5a4f29f95e2e93d3d53476,8.195,3.51,3.121,6,1,.8,20,70,10,80,10,10,4,4,5,5,0.00,beliefs_first,short_first,B,0,1,1,50,Female,No,v24
799,9b734299f2d7f8ffe78e7182,6.825,6.364,38.421,5,1,1,33,33,34,33,33,34,3,4,5,5,2.00,beliefs_first,short_first,A,1,1,1,37,Male,No,v24
528,9d2b29bd9aea8f60680744f1,7.95,5.201,8.082,2,1,1,30,40,30,30,40,30,3,4,3,3,0.00,beliefs_first,short_first,B,1,1,1,48,Female,DATA_EXPIRED,v24
750,9df760c7b5f5508f31450864,6.504,7.601,2.962,5,1,1,33,33,34,33,33,34,4,3,4,4,2.00,beliefs_first,short_first,B,0,1,1,24,Male,No,v24
305,9eaa3f551a9d478846df1c1f,4.519,2.826,2.972,5,1.25,1.75,35,10,55,20,5,75,4,3,4,4,0.00,beliefs_first,short_first,A,1,1,1,32,Male,No,v24
477,9f98050d53affdc6007cbd37,3.959,3.171,5.566,6,1,1.5,34,33,33,45,10,45,3,2,4,4,0.00,choice_first,short_first,B,1,1,1,32,Female,No,v24
423,a1fa0bd70a2ffbca71523325,8.267,3.795,3.944,6,1.5,1,20,30,50,35,30,35,4,3,4,4,2.00,beliefs_first,short_first,A,0,1,1,28,Female,No,v24
403,a4c43117880ef7dbdb61f05c,3.468,2.501,2.753,7,1.33,1,33,33,34,0,33,67,5,3,3,3,2.00,beliefs_first,short_first,A,1,1,1,34,Male,No,v24
743,a76c94cb20a5e1802aec0738,5.944,5.636,8.097,1,1,1,33.4,33.3,33.3,33.4,33.3,33.3,4,3,4,4,2.00,beliefs_first,short_first,A,1,1,1,25,Female,Yes,v24
647,a8b4f02fed3d7bf77c00ca6d,46.094,18.858,0.276,6,2,2,50,30,20,50,30,20,4,4,5,4,0.00,beliefs_first,short_first,B,1,1,1,58,Male,Yes,v24
761,aa7aa5bca19525cad452fab7,22.061,6.458,5.881,7,1,1,33,34,33,33,34,33,5,4,5,4,0.00,choice_first,short_first,B,0,1,1,42,Female,No,v24
618,ad75346280c67dfec5331e04,8.739,5.295,5.088,1,1,1,33,34,33,33,34,33,2,4,5,4,2.00,beliefs_first,short_first,A,0,1,1,60,Male,No,v24
507,afbb1f800f11b16166140c92,8.366,2.257,2.219,5,2,1,33,33,34,50,50,0,5,3,4,4,2.00,choice_first,short_first,A,0,1,1,21,Male,No,v24
1675,b179dc2839a238bdb028c283,8.125,9.582,4.397,6,1,1,33.34,33.33,33.33,33.34,33.33,33.33,5,4,4,4,2.00,beliefs_first,short_first,A,1,1,1,18,Male,No,v24
687,b3f8db5a6ed47f8118368c0a,22.647,41.398,14.379,6,1,1,33,33,34,33,33,34,2,2,4,4,2.00,beliefs_first,short_first,B,1,1,1,22,Male,Yes,v24
478,b755a547076b752e709fabef,4.959,4.652,1.968,6,1.5,1,25,50,25,30,40,30,4,3,4,4,1.00,choice_first,short_first,B,1,1,1,25,Male,DATA_EXPIRED,v24
460,b7eb4aff1b354880b6f4994d,8.281,3.612,11.332,4,1,1,33,34,33,33,34,33,2,3,4,4,2.00,beliefs_first,short_first,A,0,1,1,40,Female,No,v24
663,b832088d77795a8afff7c4bd,5.804,11.307,7.602,4,1,1,33,33,34,33,33,34,3,2,4,3,1.00,choice_first,short_first,B,1,1,1,47,Female,No,v24
592,ba06ea4765a2ece3048aaf44,11.203,4.642,7.804,5,1,1,33.33,33.34,33.33,33.33,33.33,33.34,4,3,3,2,2.00,beliefs_first,short_first,B,1,1,1,45,Male,No,v24
348,be752da7e6c078a4e6ac130d,2.402,3.289,3.002,5,2,1,25,20,55,35,35,30,5,1,4,4,0.00,choice_first,short_first,A,0,1,1,31,Female,No,v24
564,c4996f761df1d3e310216bbb,12.543,4.658,2.274,5,2,2,40,20,40,40,20,40,3,1,4,4,0.00,beliefs_first,short_first,B,1,1,1,45,Female,No,v24
1081,cb7f47b53ae8bd232d80d2f8,34.816,1.836,0.975,5,2,1.5,30,20,50,20,25,55,4,3,4,3,0.00,beliefs_first,short_first,B,0,1,1,28,Female,No,v24
577,ce422f4cb10a8648994a8f40,7.377,5.41,2.391,7,1.5,1.5,25,25,50,50,25,25,2,1,5,5,0.00,choice_first,short_first,B,0,1,1,20,Female,No,v24
453,cffaab009c3a67cf1194e84b,8.666,6.326,3.4,5,1,1.5,40,45,15,30,30,40,4,1,5,4,0.00,choice_first,short_first,A,1,1,1,28,Female,No,v24
344,d7db347c44efd3a3184d69f6,4.782,4.071,1.9,4,1.2,1,35,45,20,45,35,20,4,4,4,4,0.00,beliefs_first,short_first,B,0,1,1,50,Female,Yes,v24
907,d841dbbe0f72095b64a597f6,72.82,16.6,109.568,6,1,1,33.34,33.33,33.33,33.34,33.33,33.33,3,4,4,4,0.00,choice_first,short_first,B,1,1,1,29,Male,No,v24
440,d847c026e20cf2b06d57623b,9.318,11.553,6.894,5,1,1,33.3,33.4,33.3,33.3,33.4,33.3,2,3,4,3,0.00,beliefs_first,short_first,A,1,1,1,39,Male,No,v24
414,dba4bdf46518bb6e9e64f3ae,7.274,2.583,1.441,5,1,.9,10,80,10,20,70,10,4,2,4,3,0.00,beliefs_first,short_first,B,1,1,1,24,Male,Yes,v24
832,df82a102e1a9628f2c829b6e,14.887,7.206,26.657,6,1,1,33.34,33.33,33.33,33.34,33.33,33.33,3,1,4,4,2.00,choice_first,short_first,A,1,1,1,29,Female,No,v24
535,e22407070e39c17263cf80fb,8.964,6.184,3.744,5,1,1,25,50,25,50,0,50,3,2,4,3,1.00,choice_first,short_first,A,1,1,1,52,Male,No,v24
698,eb83daca3d19fae5fd8fbbb4,9.894,18.088,13.659,4,1,1,33.33,33.33,33.34,33,33,34,4,2,4,4,0.00,choice_first,short_first,A,0,1,1,29,Male,No,v24
399,edc58f60501e43befc468609,7.824,1.495,1.832,6,1,1.5,50,30,20,20,20,60,4,3,4,4,2.00,choice_first,short_first,A,1,1,1,26,Male,No,v24
796,ef16f2c1a8a2daf67410e686,9.679,8.234,7.243,5,.5,.75,33.4,33.3,33.3,33.4,33.3,33.3,2,3,5,4,0.00,beliefs_first,short_first,A,1,1,1,36,Female,DATA_EXPIRED,v24
593,f23a400c50fc21e612577055,4.704,9.89,4.43,5,1,1,33,33,34,33,33,34,4,2,3,2,1.00,choice_first,short_first,A,1,1,1,39,Male,No,v24
933,f408a852295ca10a60dc6659,12.024,3.262,10.51,5,1,1,34,33,33,34,33,33,3,3,4,4,0.00,beliefs_first,short_first,B,1,1,1,42,Male,DATA_EXPIRED,v24
1008,f480a4e825985765740490bd,11.247,2.78,5.843,6,1.5,2,33,33,34,33,33,34,3,4,3,3,0.00,beliefs_first,short_first,B,1,1,1,50,Female,DATA_EXPIRED,v24
1308,fcd2ad59cda9522adfe8c3a8,26.468,12.375,8.27,5,1,1,10,60,30,30,55,15,3,3,4,3,0.00,beliefs_first,short_first,B,0,1,1,59,Female,No,v24
474,fe140d086b24c1b1ef45f03e,7.877,2.621,5.558,4,1,2,34,33,33,33,33,34,2,3,5,5,0.00,choice_first,short_first,B,1,1,1,34,Female,No,v24
510,fe592d8635e563dd8de90b8f,12.26,3.716,3.373,5,2,1,40,30,30,20,30,50,3,2,4,4,2.00,choice_first,short_first,B,1,1,1,31,Male,No,v24
304,ff677923c41f14fb58d7c208,1.35,1.486,0.642,6,1,1,20,30,50,35,25,40,3,4,4,4,0.00,beliefs_first,short_first,A,1,1,1,31,Male,No,v24
