duration,id,view1,view2,view3,view4,view5,view6,view7,view8,view9,view10,view11,choiceStr,beliefA,beliefB,beliefA_below,beliefA_equal,beliefA_above,beliefB_below,beliefB_equal,beliefB_above,riskTaking,statKnow,regretExAnte,regretExPost,bonus_payment,cond_beliefs_choice_order,rand_long_short_order,whichFirst,choiceB,short,round,age,sex,student,df
1298,14a563f9e399522169e6f696,14.399,10.266,7.944,7.363,8.568,7.776,6.683,10.195,6.077,7.035,9.494,6,1,1,45,9,46,45,9,46,2,3,4,3,0.00,choice_first,short_first,B,1,1,1,57,Male,No,v17
2527,14fa96ea527c5401d64ef798,21.418,9.175,16.504,9.074,50,15.087,6.849,6.785,7.296,5.644,8.016,4,.96,.92,80,10,10,90,5,5,4,4,4,4,0.00,beliefs_first,short_first,B,1,1,1,50,Female,No,v17
953,17b8cd4cc1a7de70cb33a763,12.765,6.764,5.911,5.506,5.607,13.709,6.872,6.477,6.04,4.846,6.158,5,1.1,1,60,20,20,70,15,15,1,1,4,4,0.00,beliefs_first,short_first,A,0,1,1,37,Female,No,v17
650,2037a8739dd5e9d2f20b97df,20.787,11.96,16.454,7.949,6.801,7.173,5.461,7.2,7.091,5.816,4.561,5,.8,.9,30,10,60,30,10,60,2,1,5,5,0.00,beliefs_first,short_first,B,1,1,1,45,Female,No,v17
947,22056caf33e71a9386fbb297,95.813,10.473,8.454,5.469,9.115,4.776,9.323,7.306,6.618,5.735,9.342,4,1,1,45,10,45,45,10,45,4,2,5,5,2.00,beliefs_first,short_first,B,1,1,1,22,Male,No,v17
1278,22e4d842ae4ded9d3876b0a3,24.523,34.136,30.217,29.96,19.299,32.428,21.857,21.724,20.849,20.698,16.325,1,1,1,50,0,50,50,0,50,4,2,5,5,0.00,beliefs_first,short_first,B,0,1,1,52,Male,No,v17
1074,236a148a4833dc3c371f01e3,7.9,14,6.312,5.087,12.64,5.201,4.348,4.952,5.079,5.341,4.373,4,2,2,46,8,46,36,9,55,2,4,4,4,2.00,choice_first,short_first,B,0,1,1,31,Male,No,v17
890,2da05e4fe23c54ebc0703b43,16.595,9.332,25.979,20.086,3.953,2.386,1.206,0.597,3.781,2.474,3.374,4,1,1,30,30,40,20,40,40,4,3,3,3,2.00,beliefs_first,short_first,A,0,1,1,38,Male,No,v17
1953,2fade1353d8e34bd99d319dd,16.586,6.588,8.169,4.793,4.203,8.332,2.931,4.047,5.502,3.332,4.505,5,1.1,1.1,45,10,45,45,10,45,5,4,4,4,2.00,beliefs_first,short_first,B,0,1,1,26,Male,No,v17
459,30d079373effe6f2b3b8fdec,5.737,3.163,1.91,1.495,0.703,0.555,2.691,1.043,0.894,0.496,0.79,6,2,2,20,60,20,0,60,40,4,4,4,4,1.60,choice_first,short_first,A,1,1,1,30,Male,Yes,v17
695,32bbc39e686146242e3b985f,5.339,1.47,2.188,1.093,1.041,1.249,1.061,0.995,0.896,0.943,1.078,6,1.1,1.24,37,18,45,45,9,46,2,4,5,5,1.80,choice_first,short_first,A,1,1,1,23,Female,No,v17
545,33892e12c5bb8719625dade0,12.202,6.98,7.668,9.528,8.55,7.574,6.415,6.127,7.585,7.36,6.334,3,110,1,45,5,50,45,5,50,3,3,4,4,0.00,beliefs_first,short_first,A,1,1,1,59,Female,No,v17
837,34a330cdbb9238e7e7fb7731,22.851,17.732,20.694,12.282,10.837,13.411,15.354,15.815,15.639,14.279,14.529,4,1.2,1.4,10,20,70,5,60,35,1,2,4,2,0.00,beliefs_first,short_first,A,1,1,1,65,Female,No,v17
1139,35f91f4f3af7c479932748d0,3.467,12.626,2.384,2.658,1.874,1.942,1.951,0.227,2.183,2.256,2.509,4,1,2,25,10,65,75,5,20,3,2,5,4,1.20,choice_first,short_first,B,1,1,1,32,Female,No,v17
2383,3a6fa723afc4d1aa8b15ee71,28.043,19.638,18.83,21.041,16.85,17.101,15.944,60.22,15.766,12.243,17.676,4,1,1,49.25,1.5,49.25,49.25,1.5,49.25,3,1,4,4,0.00,beliefs_first,short_first,B,0,1,1,40,Female,No,v17
971,3d14a5f3a41a252ae88f4c36,13.784,5.822,3.589,5.69,5.022,5.302,7.402,4.7,6.345,4.531,4.541,6,1,1,55,9,36,45,9,46,5,3,4,2,0.80,choice_first,short_first,B,1,1,1,25,Male,Yes,v17
1427,3d16b20a797663a68f23c819,28.264,12.75,8.935,8.3,8.8,6.16,9.176,10.059,6.06,9.237,11.122,2,1,1,45,0,55,45,5,50,3,3,2,2,2.00,beliefs_first,short_first,A,1,1,1,56,Female,DATA_EXPIRED,v17
647,45c00761b8b57b16c321162d,20.301,12.666,13.314,12.745,16.642,9.729,15.493,18.048,8.829,0.09,11.881,7,1.04,1.06,25,10,65,25,10,65,5,3,4,4,1.00,choice_first,short_first,A,0,1,1,42,Male,No,v17
1700,463d30eabebfbb2bd140145a,65.928,38.669,26.78,8.484,8.533,15.329,6.744,21.54,9.508,7.155,9.136,4,1.1,1.4,70,20,10,0,0,100,4,1,1,5,1.40,choice_first,short_first,A,1,1,1,45,Female,Yes,v17
1830,4a18e720554e4457a0bc6dfb,25.152,15.635,6.48,5.519,5.845,4.125,4.097,8.724,5.714,6.515,5.324,4,1,1,0,100,0,0,100,0,5,5,5,5,0.00,choice_first,short_first,B,0,1,1,27,Male,No,v17
810,4acebd239195093f3a24c5cf,13.051,5.464,5.501,5.035,5.247,5.177,5.472,6.521,5.924,5.642,8.798,5,1.1,1,20,10,70,10,50,40,4,1,5,2,2.00,choice_first,short_first,A,0,1,1,69,Female,No,v17
797,4bd4ab6527f4f1b2b059b14b,23.033,11.029,8.68,8.775,8.183,10.393,7.75,8.671,7.185,9.054,101.078,5,1,1,0,100,0,0,100,0,2,3,4,5,2.00,beliefs_first,short_first,A,1,1,1,50,Female,No,v17
1138,4bf298276b6ffa5651513c15,2.224,1.054,0.801,0.7,0.751,2.949,0.893,1.649,0.897,1.17,0.98,6,1,1,30,20,50,10,15,75,4,2,3,4,2.00,beliefs_first,short_first,A,1,1,1,49,Female,Yes,v17
1756,4cbe741eb0f6403a42fe5222,28.428,24.044,25.922,22.552,21.021,17.495,22.111,16.18,18.05,18.147,21.045,7,1.09,1.07,10,20,70,5,20,75,4,3,5,5,1.40,choice_first,short_first,A,1,1,1,50,Female,No,v17
1619,4f7b80d4befe1eaece7822c5,20.742,17.727,15.132,17.745,12.752,15.233,16.4,11.803,14.649,11.274,16.821,5,.8,1,45,10,45,45,10,45,3,3,3,4,2.00,beliefs_first,short_first,A,1,1,1,42,Female,DATA_EXPIRED,v17
873,508cd5bdd440ec123b6d8750,26.263,22.639,11.996,6.926,7.766,6.813,5.877,9.23,5.728,6.952,7.795,6,.9,.95,50,8,42,50,8,42,2,3,3,3,1.40,choice_first,short_first,A,1,1,1,19,Male,Yes,v17
961,5166fc9da2615a3a953688e9,10.981,8.202,6.119,6.034,6.11,6.875,6.551,6.945,5.673,5.544,5.409,7,1,1,41,5,54,41,5,54,4,3,4,5,0.00,beliefs_first,short_first,A,1,1,1,37,Male,No,v17
959,566024c68f62487f659755f8,13.031,6.41,3.695,2.948,4.169,2.009,1.863,2.26,2.373,1.534,1.429,1,1,1,42,9,49,42,9,49,4,2,5,5,0.00,beliefs_first,short_first,A,1,1,1,29,Female,No,v17
750,57a20d98e8cfea472bf3667d,13.545,11.57,7.387,6.456,5.673,4.565,6.628,5.424,5.773,6.089,5.532,4,1,1,40,10,50,40,10,50,5,3,3,4,0.00,beliefs_first,short_first,A,1,1,1,41,Female,No,v17
430,5b6bde0fb8256aff89ed3e95,2.595,1.014,1.494,0.424,0.496,0.207,0.213,0.369,0.102,0.271,0.425,5,1.8,2,25,45,30,30,50,20,4,2,4,4,1.60,choice_first,short_first,B,1,1,1,32,Female,No,v17
911,5cd2fd081ec1c37224e49d55,13.017,11.367,8.632,7.655,7.498,6.906,7.015,7.279,7.759,7.607,7.276,6,1,1,45.5,9,45.5,45.5,9,45.5,3,4,4,4,1.80,choice_first,short_first,B,0,1,1,34,Male,No,v17
824,5cd4e053e7c5055f707f9221,24.061,43.737,8.243,6.721,6.293,7.833,7.716,10.58,7.002,6.233,7.435,2,1.5,1.5,30,5,65,30,5,65,2,2,3,3,0.00,beliefs_first,short_first,A,0,1,1,34,Male,No,v17
1484,5d7db42291e03fa39350579d,26.301,11.541,11.757,18.873,14.986,11.671,9.238,19.603,14.613,14.158,11.997,5,1,1.04,49,13,38,47,14,39,4,2,3,3,0.00,beliefs_first,short_first,A,1,1,1,40,Male,No,v17
774,612405c649f9b0d53e9aa912,16.362,10.786,8.682,9.279,8.117,10.356,8.151,8.492,30.572,8.946,16.264,7,1,1,46,9,45,45,9,46,2,3,5,4,2.00,beliefs_first,short_first,B,1,1,1,50,Female,No,v17
583,688960843dbc28b8c9ccfaa0,14.791,4.2,1.937,1.759,1.784,1.687,1.659,1.829,1.631,3.293,2.486,6,1.3,1.1,30,20,50,25,15,60,4,5,1,1,1.60,choice_first,short_first,A,1,1,1,21,Male,DATA_EXPIRED,v17
811,6a3f3fac4afd73f8ae204164,88.959,12.16,9.23,9.217,7.851,8.722,8.402,6.881,6.636,6.8,7.805,6,1,1,50,10,40,40,10,50,4,3,5,5,0.00,beliefs_first,short_first,B,1,1,1,26,Male,Yes,v17
1214,6c417e53a2dd4cbd53207769,13.875,11.442,6.875,8.309,7.094,6.256,6.686,6.196,7.465,7.102,8.07,4,1,1,45.5,9,45.5,45.5,9,45.5,3,3,4,5,0.00,beliefs_first,short_first,B,0,1,1,30,Male,No,v17
794,6d0ddcf981e59d88fb9f3d50,13.944,28.239,21.828,10.056,11.773,9.599,6.339,5.994,7.599,5.917,6.194,6,1.16,1.07,40,10,50,50,10,40,1,3,5,5,0.40,choice_first,short_first,A,0,1,1,29,Female,No,v17
961,6e98c610d57a817d6c777620,13.946,8.164,8.408,6.679,8.42,6.686,6.204,6.957,5.567,6.129,6.708,5,1,1,45,10,45,45,10,45,2,4,4,2,2.00,beliefs_first,short_first,A,1,1,1,28,Female,No,v17
387,7ef8c098b2f0ba210caa0d41,3.65,1.248,0.726,1.081,1.857,1.087,1.294,1.066,0.831,0.796,0.801,6,.6,1.2,55,30,15,15,25,60,4,2,3,4,0.00,beliefs_first,short_first,A,1,1,1,26,Female,No,v17
1306,80d92f046f632c122851b295,19.034,6.7,5.344,4.753,5.903,4.636,7.771,4.962,7.917,6.706,5.851,4,2,2,45,5,50,45,1,54,2,2,4,3,1.40,choice_first,short_first,A,0,1,1,48,Female,Yes,v17
1513,818e104648f527601a73ed81,58.985,34.556,18.92,69.474,15.237,8.799,7.945,10.918,11.101,9.235,11.258,6,1,1,100,0,0,100,0,0,4,2,4,4,1.60,choice_first,short_first,A,1,1,1,27,Male,Yes,v17
1380,8211d8df08ac178319f8650a,21.496,23.215,14.309,12.63,13.225,20.514,12.111,17.724,12.129,8.984,11.803,6,.98,1,30,15,55,5,15,80,4,2,4,5,0.00,beliefs_first,short_first,B,1,1,1,61,Female,No,v17
1326,84c22ee696a7413e28a5fb58,10.659,26.567,35.998,27.825,8.566,91.401,5.701,6.601,12.776,6.201,84.079,1,1,1,46,8,46,46,8,46,2,5,5,5,1.20,choice_first,short_first,A,0,1,1,28,Male,No,v17
832,8524f9c97d9d3ddf96f8a58e,12.762,7,5.477,5.795,7.243,5.919,6.791,4.9,5.581,6.218,6.534,6,.8,1.1,40,30,30,20,30,50,2,3,5,4,1.20,choice_first,short_first,B,1,1,1,56,Male,No,v17
681,87e868bb72f43b6644a4507b,25.112,13.703,13.778,20.013,14.193,14.607,15.613,13.04,11.595,12.669,7.534,6,1,.5,25,5,70,40,10,50,1,1,4,4,1.80,choice_first,short_first,A,0,1,1,31,Female,No,v17
548,8906579825c0807ca50ca1ed,23.937,13.845,14.169,5.789,8.042,4.901,6.45,6.563,6.858,5.219,6.515,6,1,1,0,100,0,0,100,0,3,2,4,4,2.00,beliefs_first,short_first,A,1,1,1,25,Male,No,v17
809,90844498c7ef3d295a97a6c3,2.549,3.948,108.512,3.08,1.394,1.542,0.885,5.563,1.675,1.324,51.79,6,2,1,20,30,50,25,50,25,3,3,4,3,1.00,choice_first,short_first,A,0,1,1,51,Female,Yes,v17
591,93fa0a00e82f60f8bbfab65f,11.316,3.487,3.856,3.036,2.007,2.132,2.631,2.093,2.382,2.888,2.394,4,1,1,0,100,0,0,100,0,4,5,5,5,0.00,beliefs_first,short_first,B,1,1,1,30,Male,Yes,v17
369,95e91468d82d576592e23fc3,6.037,2.319,3.102,0.855,1.235,0.957,0.763,0.476,0.489,0.69,1.14,6,1,1,20,30,50,40,30,30,5,3,4,5,0.00,beliefs_first,short_first,A,0,1,1,31,Female,DATA_EXPIRED,v17
429,97575bcb9aa6b7ff0a2812d8,6.789,3.55,1.757,0.713,0.807,0.502,0.133,0,0.203,0.795,0.736,4,1.5,1.5,20,30,50,20,30,50,2,1,4,4,0.00,beliefs_first,short_first,A,0,1,1,23,Male,No,v17
1094,97fbbb54b81235e979c2b9f4,16.47,12.698,10.481,8.989,7.826,9.168,11.154,18.455,9.759,8.964,9.844,4,1,1,40,10,50,50,10,40,4,2,4,3,1.60,choice_first,short_first,B,1,1,1,33,Male,No,v17
540,98f2ab0bc0c059cecd78e525,7.823,4.448,3.396,2.253,2.247,2.004,2.287,2.001,1.305,1.871,1.787,1,1,1,0,100,0,0,100,0,2,4,4,5,0.00,choice_first,short_first,B,0,1,1,35,Male,No,v17
1072,9afb6f10dadacc6e4becabc3,28.815,4.647,24.131,37.015,7.678,6.99,8.893,22.028,8.442,8.694,9.634,6,1,1,20,40,40,40,20,40,3,4,3,4,0.00,beliefs_first,short_first,A,0,1,1,21,Male,DATA_EXPIRED,v17
1297,a00bf8d1cb65396ab1fdb35d,27.9,14.377,19.1,12.607,10.5,13.8,9.878,20.5,8.501,10,8.385,7,1,1,45.5,9,45.5,45.5,9,45.5,4,2,3,4,1.40,choice_first,short_first,B,1,1,1,46,Female,No,v17
1335,a26bfbc5ac557c33683c3981,10.84,2.506,1.287,1.026,1.174,1.043,0.779,0.828,0.852,0.86,0.927,4,1,1,20,30,50,30,40,30,4,3,4,3,0.00,beliefs_first,short_first,A,0,1,1,31,Female,No,v17
1196,a658c8fe481508e966808916,17.145,4.894,6.581,5.285,5.687,17.294,2.722,2.878,3.588,2.664,5.658,5,1.09,1,0,0,100,0,100,0,5,5,5,5,1.00,choice_first,short_first,A,0,1,1,25,Male,Yes,v17
949,ada417d5e9baac4cb94a06b5,18.978,22.299,18.028,26.558,20.149,19.992,38.941,16.919,22.165,25.681,21.287,2,1,1,45,10,45,45,10,45,2,5,3,3,0.20,choice_first,short_first,B,1,1,1,62,Female,No,v17
2134,b15328baaf6c5248d87fe42d,2.891,12.411,10.307,7.197,9.01,6.81,6.859,7.904,7.188,8.984,5.671,5,.8,1.2,45.46,9.09,45.45,36,9,55,3,2,4,4,2.00,beliefs_first,short_first,B,0,1,1,61,Female,No,v17
701,b166b162e7b6e7c114144ef9,12.066,7.92,12.467,5.407,4.565,5.676,5.566,4.467,5.145,5.307,5.239,5,1,1,42,7,51,45,5,50,3,4,4,4,2.00,beliefs_first,short_first,B,1,1,1,58,Female,No,v17
2697,b2efb5afaa65af71bad18e06,40.334,25.22,40.052,13.228,14.036,24.427,11.254,67.476,16.022,10.833,13.733,5,1.13,.95,40,20,40,50,20,30,3,2,5,4,0.00,beliefs_first,short_first,A,1,1,1,53,Female,DATA_EXPIRED,v17
1260,b3832a1b3e52b46294cd730a,225.749,13.081,28.727,14.427,22.627,13.929,6.126,5.461,5.35,4.788,7.113,4,1,1,0,100,0,0,0,100,4,1,3,3,2.00,choice_first,short_first,B,0,1,1,50,Female,No,v17
296,b8999287792d0bc819a1765b,3.024,2.347,1.519,0.941,1.045,1.012,1.03,1.261,0.774,0.613,0.875,6,2,1,40,20,40,60,20,20,3,2,4,4,0.00,beliefs_first,short_first,B,1,1,1,28,Female,No,v17
680,bb5f5f3f1026fc2ce5dbca2f,19.355,12.828,8.682,9.299,10.248,8.922,9.228,9.07,8.507,8.286,17.186,6,1,1,45,9,46,36,9,55,3,3,4,5,2.00,beliefs_first,short_first,A,1,1,1,24,Female,DATA_EXPIRED,v17
671,bc7da92397d01d5feafbb756,9.437,23.817,0.274,9.654,1.156,9.825,0.839,8.309,0.822,7.468,6.068,5,1,1,45,10,45,45,10,45,4,4,4,4,0.60,choice_first,short_first,A,1,1,1,25,Male,No,v17
1152,c17337e8005b85605ddd44c1,46.458,8.466,37.355,10.187,9.905,20.926,10.322,8.048,7.861,11.016,8.438,5,1,1,50,10,40,50,10,40,2,5,4,2,1.20,choice_first,short_first,B,1,1,1,39,Female,Yes,v17
552,c20b537fc04d012b1b811166,3.567,1.634,1.199,1.101,1.087,0.966,0.9,0.869,0.7,0.779,0.957,6,1.6,1.4,30,10,60,20,10,70,4,3,3,3,2.00,beliefs_first,short_first,B,1,1,1,32,Male,Yes,v17
694,c5ccb523242f2d8908037053,4.846,1.582,2.081,1.488,1.668,1.83,1.597,1.736,1.732,1.831,1.638,5,1.6,1.4,40,10,50,50,5,45,4,2,4,3,2.00,beliefs_first,short_first,B,0,1,1,29,Female,No,v17
651,cdbf6f1c0798ca48609aedba,6.528,2.842,2.375,2.878,2.379,2.349,1.817,2.106,2.747,2.035,1.451,5,.8,1.2,45,10,45,55,10,35,3,4,3,3,0.20,choice_first,short_first,A,1,1,1,25,Female,No,v17
1321,d2222f5b39833312196f82ab,11.602,7.958,10.992,5.778,6.313,1.545,10.526,6.421,5.203,8.844,6.548,5,1,.98,44,12,44,44,12,44,3,3,5,4,2.00,beliefs_first,short_first,A,0,1,1,62,Male,No,v17
674,d3de3ecc0b9f3707659135cc,41.216,8.862,7.101,7.812,7.264,9.394,6.901,7.568,7.565,5.504,8.163,4,1,1,0,100,0,0,100,0,5,2,2,3,0.00,beliefs_first,short_first,A,0,1,1,24,Male,No,v17
1028,d4dfe8e4622cc0c8bc94177c,7.386,8.608,3.689,3.792,2.662,1.736,1.376,2.039,1.103,1.066,3.445,5,1.2,.8,45,25,30,35,37,28,4,3,4,4,0.00,beliefs_first,short_first,B,1,1,1,46,Male,No,v17
995,d59f527d7a26a82972a91f6a,53.276,19.588,14.439,22.733,11.294,22.569,40.301,1.136,29.1,13.244,10.071,2,.8,.8,60,0,40,60,8,32,2,2,4,4,1.80,choice_first,short_first,A,0,1,1,38,Male,No,v17
1528,d6a2ca5992e78796b6c340bb,27.321,8.956,6.641,6.946,9.934,7.949,4.777,6.233,6.989,5.59,6.354,1,1,1,45.5,9,45.5,45.5,9,45.5,3,2,4,4,2.00,beliefs_first,short_first,B,0,1,1,32,Male,No,v17
1000,d6f2eb15d36cfacfe3a4edde,14.045,9.611,7.94,6.518,5.558,6.805,8.187,16.052,6.99,7.501,6.6,6,1,1,45,10,45,45,0,55,2,3,3,4,2.00,beliefs_first,short_first,B,1,1,1,50,Female,No,v17
1476,d9f78f3150196835117d6222,13.778,11.977,11.1,16.574,8.4,14.807,7.968,9.664,12.811,15.522,6.81,5,1,1,50,10,40,70,5,25,2,1,2,2,0.00,beliefs_first,short_first,A,0,1,1,45,Male,No,v17
1002,da4b1a6c5488ce5b35ab51b9,7.882,5.087,5.096,5.72,5.322,5.567,4.196,12.052,4.444,4.198,4.992,6,1,1,45.45,18.1,36.45,36.36,18.19,45.45,4,4,3,4,0.00,choice_first,short_first,B,1,1,1,32,Female,No,v17
862,df90b4bd5cef52d345410881,21.001,13.979,12.098,13.024,14.773,11.487,11.383,8.764,10.28,11.409,8.795,7,.9,1.1,42,9,49,42,9,49,4,3,5,5,0.00,beliefs_first,short_first,B,1,1,1,32,Male,No,v17
779,e02064fa45ad1ee9deea6494,16.6,11.538,5.687,5.401,3.828,4.628,8.784,5.3,7.083,5.765,5.618,6,1,1,45,10,45,45,10,45,4,3,3,4,0.20,choice_first,short_first,A,0,1,1,27,Female,No,v17
659,e5faacd773c8f544a85fddd4,12.162,11.581,9.46,10.725,9.727,11.533,9.901,8.376,8.879,9.205,8.02,4,1,1,33.33,33.34,33.33,33.33,33.34,33.33,3,3,5,4,0.00,beliefs_first,short_first,A,0,1,1,26,Female,Yes,v17
731,e7248b68ad481327b1a3e195,35.944,11.935,18.266,10.256,6.92,8.423,6.709,6.672,12.336,6.468,8.418,7,.8100000000000001,1,50,0,50,45,5,50,3,2,4,4,2.00,choice_first,short_first,A,1,1,1,24,Male,No,v17
1278,e8cf3333205a2e375e4a875f,15.254,6.968,8.179,3.704,4.298,4.661,10.495,4.494,12.599,18.351,3.745,2,1,1,45,9,46,45,9,46,4,4,3,4,1.20,choice_first,short_first,B,1,1,1,60,Male,No,v17
889,ed2979d4c2fce4790c7562ed,27.532,12.4,33.267,6.718,7.455,5.33,5.739,4.665,3.888,4.516,6.056,5,1,1,50,10,40,50,10,40,3,4,4,4,2.00,beliefs_first,short_first,A,1,1,1,52,Male,No,v17
1140,f732c0f3fbbdd63184361d20,8.917,4.21,4.374,3.603,3.719,3.304,3.384,3.42,3.53,3.344,24.979,7,1,1,45.45,9.1,45.45,45.45,9.1,45.45,4,2,5,5,2.00,beliefs_first,short_first,A,1,1,1,36,Male,No,v17
1046,f97c3b765ea661349d3a3db5,24.142,8.329,5.627,6.352,5.427,5.011,6.722,8.366,6.412,4.986,5.757,4,1,1,45,5,50,45,5,50,2,1,5,5,0.00,choice_first,short_first,B,1,1,1,51,Male,No,v17
567,fbb58418c8f3857804d2d0b3,9.115,2.696,2.683,4.882,1.84,1.317,1.238,1.537,1.525,2.268,3.23,6,.2,.6,90,10,0,80,10,10,4,4,4,4,2.00,choice_first,short_first,A,1,1,1,42,Female,No,v17
1036,fc23547c812da38ad77f34ab,50.177,5.764,5.686,6.203,6.464,6.864,7.395,9.172,6.29,11.136,15.736,5,1,1,45.5,9,45.5,45.5,9,45.5,3,4,5,5,2.00,beliefs_first,short_first,A,1,1,1,35,Female,No,v17
757,fcb172b58d57c02a661bfc0d,10.742,4.849,6.063,4.22,2.574,2.296,2.555,2.462,3.683,4.002,2.821,7,1,1.2,40,20,40,50,10,40,5,4,4,4,0.80,choice_first,short_first,A,1,1,1,40,Male,No,v17
1744,fcb94ecd0d8dba5690e4b074,28.601,13.3,9.5,15.526,12.632,10.823,7.469,8.123,6.002,9.97,9.023,7,1,1,45,10,45,45,10,45,4,3,5,5,0.20,choice_first,short_first,B,0,1,1,31,Male,No,v17
1338,fe38139aee8c7774a9d50613,43.252,18.02,11.449,11.029,19.589,12.537,15.121,11.963,14.233,15.02,11.634,7,1,1,45.5,9,45.5,45.5,9,45.5,4,3,4,3,2.00,beliefs_first,short_first,B,1,1,1,57,Male,No,v17
