duration,id,riskTaking,statKnow,regretExAnte,regretExPost,bonus_payment,cond_beliefs_choice_order,oddState,beliefA,beliefB,beliefA_below,beliefA_equal,beliefA_above,beliefB_below,beliefB_equal,beliefB_above,choiceStr,whichFirst,choiceB,round,short,age,sex,student,df
2563,260de99d35f1080c5797e709,4,3,5,3,0.00,beliefs_first,left,1.02,1.02,48,4,48,48,4,48,1,B,0,2,0,24,Female,No,v11
1832,2da36225bec3802b46c85f58,4,4,4,3,1.32,choice_first,left,1,1,30,50,20,30,50,20,6,A,0,1,1,35,Male,Yes,v11
1832,2da36225bec3802b46c85f58,4,4,4,3,1.32,choice_first,left,1,1,20,50,30,30,40,30,6,B,0,2,0,35,Male,Yes,v11
2054,35d0527d344dc8caeb4a6415,4,4,4,4,0.00,beliefs_first,left,1,2,40,20,40,50,40,10,6,A,0,2,1,49,Male,Yes,v11
2054,35d0527d344dc8caeb4a6415,4,4,4,4,0.00,beliefs_first,left,2,2,50,40,10,40,30,30,6,B,0,1,0,49,Male,Yes,v11
497,3950d6d63acc2b8e4530b2d2,2,5,4,4,2.00,beliefs_first,left,1,1,45.5,9,45.5,45.5,9,45.5,7,B,1,2,1,42,Male,No,v11
497,3950d6d63acc2b8e4530b2d2,2,5,4,4,2.00,beliefs_first,left,1,1,49,2,49,49,2,49,7,A,1,1,0,42,Male,No,v11
598,46290455284cad4788a37d7b,3,3,4,4,0.00,beliefs_first,right,1,1,45,10,45,45,10,45,1,B,1,1,1,36,Male,No,v11
598,46290455284cad4788a37d7b,3,3,4,4,0.00,beliefs_first,right,1,1,45,10,45,40,20,40,1,B,1,2,0,36,Male,No,v11
1339,492406d655a3d8ac0d783df5,5,5,5,5,1.00,choice_first,left,2,2,40,30,30,20,50,30,5,B,1,1,0,51,Female,Yes,v11
1339,492406d655a3d8ac0d783df5,5,5,5,5,1.00,choice_first,left,2,2,30,30,40,30,30,40,5,B,1,2,1,51,Female,Yes,v11
980,4a9d108fecaad493f28867dc,4,3,4,4,0.00,beliefs_first,left,0,2,30,50,20,40,50,10,6,A,0,2,0,23,Male,No,v11
980,4a9d108fecaad493f28867dc,4,3,4,4,0.00,beliefs_first,left,1,1,50,30,20,30,30,40,5,B,0,1,1,23,Male,No,v11
714,5e54c84228b7593af43067d0,3,4,5,4,0.00,beliefs_first,right,1,1.05,35,27,38,35,29,36,3,A,1,2,0,31,Male,No,v11
714,5e54c84228b7593af43067d0,3,4,5,4,0.00,beliefs_first,right,1,.9,30,35,35,35,30,35,5,B,0,1,1,31,Male,No,v11
792,647f59a76cb4ce44089ed8de,1,2,4,4,1.48,choice_first,left,1.2,1.1,60,30,10,65,25,10,6,A,0,2,1,34,Male,No,v11
792,647f59a76cb4ce44089ed8de,1,2,4,4,1.48,choice_first,left,1,.96,34,33,33,34,33,33,5,B,1,1,0,34,Male,No,v11
808,6a896ae58fc9390c132a27bd,1,1,4,2,0.60,choice_first,left,2,1,10,20,70,70,20,10,3,A,0,2,1,54,Female,No,v11
808,6a896ae58fc9390c132a27bd,1,1,4,2,0.60,choice_first,left,2,1.96,10,10,80,80,10,10,4,B,0,1,0,54,Female,No,v11
408,7037b381235103c05b7e7c29,4,1,4,3,0.00,beliefs_first,right,1,1,37,25,38,37,25,38,5,A,0,1,1,50,Female,No,v11
408,7037b381235103c05b7e7c29,4,1,4,3,0.00,beliefs_first,right,1,1,37,25,38,37,25,38,5,B,0,2,0,50,Female,No,v11
609,7121a453c25eab8e0426148d,2,4,3,3,0.80,choice_first,left,1,1,45,10,45,45,10,45,3,A,0,1,1,34,Female,No,v11
609,7121a453c25eab8e0426148d,2,4,3,3,0.80,choice_first,left,1,1,45,10,45,45,10,45,1,A,0,2,0,34,Female,No,v11
329,71a4691c66033a00623d8a24,4,4,4,5,0.52,choice_first,left,1.2,1,48,2,50,49,2,49,7,A,0,2,0,27,Female,No,v11
329,71a4691c66033a00623d8a24,4,4,4,5,0.52,choice_first,left,1.2,1,40,10,50,45,10,45,7,A,0,1,1,27,Female,No,v11
1396,7ab4c373b45c8a2623a72593,3,2,2,4,2.00,beliefs_first,right,1,1,45,10,45,55,10,35,5,A,0,2,0,35,Female,No,v11
1396,7ab4c373b45c8a2623a72593,3,2,2,4,2.00,beliefs_first,right,.9399999999999999,1.35,52,8,40,55,15,30,5,A,0,1,1,35,Female,No,v11
503,7ee7769f1e1478a6235accf4,4,3,4,4,0.00,beliefs_first,left,.8,1,48,4,48,42,4,54,5,A,1,1,1,45,Female,No,v11
503,7ee7769f1e1478a6235accf4,4,3,4,4,0.00,beliefs_first,left,1.08,1,44,10,46,44,4,52,4,A,0,2,0,45,Female,No,v11
818,809f7233f8fea1ef7e135749,3,2,1,1,0.00,beliefs_first,left,1,1,48,4,48,48,4,48,4,A,0,1,0,43,Male,Yes,v11
818,809f7233f8fea1ef7e135749,3,2,1,1,0.00,beliefs_first,left,1,1,48,4,48,48,4,48,5,B,0,2,1,43,Male,Yes,v11
2327,8ff67afacab5727b8612fd5c,4,1,5,5,0.00,beliefs_first,left,.7,.875,61,9,30,50,9,41,7,B,1,2,1,54,Male,No,v11
2327,8ff67afacab5727b8612fd5c,4,1,5,5,0.00,beliefs_first,left,1,.9,49,2,49,54,2,44,7,A,0,1,0,54,Male,No,v11
643,92aac8062d3bf076c58ff0ef,4,3,4,4,1.40,choice_first,right,1.25,1,20,40,40,40,40,20,6,B,1,1,1,33,Male,Yes,v11
643,92aac8062d3bf076c58ff0ef,4,3,4,4,1.40,choice_first,right,1,1,40,40,20,20,40,40,6,B,1,2,0,33,Male,Yes,v11
1235,9556d536c24f5daaddfb8525,4,3,4,4,1.80,choice_first,right,1,.6,20,30,50,40,30,30,6,B,0,2,1,28,Male,DATA_EXPIRED,v11
1235,9556d536c24f5daaddfb8525,4,3,4,4,1.80,choice_first,right,.9,1,30,40,30,20,50,30,5,B,0,1,0,28,Male,DATA_EXPIRED,v11
1440,9baa6446682b9ae940be5f0b,4,3,5,5,0.60,choice_first,left,.82,1,45.45,9.1,45.45,45.45,9.1,45.45,4,A,0,1,1,25,Male,No,v11
1440,9baa6446682b9ae940be5f0b,4,3,5,5,0.60,choice_first,left,1.078,1.02,45.1,1.96,52.94,48.08,1.92,50,6,A,1,2,0,25,Male,No,v11
613,a00dccfec8cdd666456b8321,4,2,4,4,2.00,beliefs_first,right,1,1.15,49,2,49,49,2,49,4,B,0,2,1,33,Female,No,v11
613,a00dccfec8cdd666456b8321,4,2,4,4,2.00,beliefs_first,right,1,1,49,2,49,49,2,49,4,A,0,1,0,33,Female,No,v11
1139,a16892e52ed98641ec671861,3,3,3,5,2.00,choice_first,left,1.85,1.9,10,2,88,5,2,93,6,B,1,2,0,51,Male,No,v11
1139,a16892e52ed98641ec671861,3,3,3,5,2.00,choice_first,left,1.65,1.8,20,2,78,20,2,78,6,A,1,1,1,51,Male,No,v11
878,a8849b3f285449114efe119d,3,4,4,3,0.00,choice_first,right,.6,1,68,2,30,36,10,54,6,B,1,2,0,28,Male,Yes,v11
878,a8849b3f285449114efe119d,3,4,4,3,0.00,choice_first,right,.75,1.5,20,15,65,25,10,65,6,B,1,1,1,28,Male,Yes,v11
675,a88bd537721266e301952046,2,1,2,2,2.00,beliefs_first,left,1.2,1,40,10,50,45,10,45,6,A,0,1,1,33,Female,No,v11
675,a88bd537721266e301952046,2,1,2,2,2.00,beliefs_first,left,1,1,45,10,45,45,10,45,2,B,1,2,0,33,Female,No,v11
2048,ae53ad4de5928151b05383fd,2,1,5,4,0.00,beliefs_first,right,1,.9,33,33,34,33,33,34,7,A,0,2,0,22,Female,Yes,v11
2048,ae53ad4de5928151b05383fd,2,1,5,4,0.00,beliefs_first,right,1,.8,35,25,40,33,33,34,7,B,0,1,1,22,Female,Yes,v11
340,af47d68781751ad8ddf2847c,2,3,4,4,0.24,choice_first,right,.9,1,50,10,40,50,10,40,5,B,1,1,1,31,Male,No,v11
340,af47d68781751ad8ddf2847c,2,3,4,4,0.24,choice_first,right,1,1,50,10,40,50,10,40,4,A,0,2,0,31,Male,No,v11
608,afceb6db432561363eb92bfb,1,2,5,5,0.00,beliefs_first,right,.5,.6,20,20,60,20,30,50,5,A,1,1,1,54,Female,No,v11
608,afceb6db432561363eb92bfb,1,2,5,5,0.00,beliefs_first,right,1.5,1.75,0,50,50,0,30,70,2,A,0,2,0,54,Female,No,v11
1359,b15c58514d640a897784c3f5,3,1,5,5,0.60,choice_first,left,1.03,.96,45,5,50,50,5,45,5,A,0,2,0,36,Female,No,v11
1359,b15c58514d640a897784c3f5,3,1,5,5,0.60,choice_first,left,1.1,1,33,10,57,33,34,33,5,A,0,1,1,36,Female,No,v11
985,b33c72d1597d69c71e9fd485,4,1,5,4,1.80,choice_first,right,1,1,33,34,33,33,34,33,7,B,0,1,0,31,Male,No,v11
985,b33c72d1597d69c71e9fd485,4,1,5,4,1.80,choice_first,right,1,.08,33,34,33,36,32,32,7,A,1,2,1,31,Male,No,v11
1315,b3c508cdc39259e56db0f66b,2,1,5,5,0.00,beliefs_first,right,.8,1,100,0,0,0,90,10,5,A,0,1,1,75,Male,No,v11
1315,b3c508cdc39259e56db0f66b,2,1,5,5,0.00,beliefs_first,right,.9,1,80,0,20,10,30,60,4,A,0,2,0,75,Male,No,v11
432,bb5c35b35579e26a85945c68,2,1,2,2,2.00,beliefs_first,left,1,1,33.3,33.3,33.4,33.3,33.3,33.4,4,B,1,2,0,39,Female,No,v11
432,bb5c35b35579e26a85945c68,2,1,2,2,2.00,beliefs_first,left,1,1,33.3,33.3,33.4,33.4,33.3,33.3,4,B,0,1,1,39,Female,No,v11
644,c0591633a9e9dd438e4d0e40,4,3,4,4,1.28,choice_first,right,1.08,1,0,0,100,80,10,10,6,A,0,1,1,28,Female,Yes,v11
644,c0591633a9e9dd438e4d0e40,4,3,4,4,1.28,choice_first,right,1,1,0,100,0,0,100,0,4,B,0,2,0,28,Female,Yes,v11
999,cae975761cae966f91ba6b69,4,3,3,4,2.00,beliefs_first,left,1,1,45,10,45,45,10,45,1,B,1,2,1,56,Male,No,v11
999,cae975761cae966f91ba6b69,4,3,3,4,2.00,beliefs_first,left,1.02,1,45,5,50,50,5,45,6,A,0,1,0,56,Male,No,v11
485,cb3a3f391380b38116c9fc96,2,2,4,4,2.00,beliefs_first,left,1,.85,20,30,50,35,35,30,5,A,0,1,1,35,Female,No,v11
485,cb3a3f391380b38116c9fc96,2,2,4,4,2.00,beliefs_first,left,1,1,40,20,40,40,20,40,4,A,1,2,0,35,Female,No,v11
1403,cf3e72113b7d73aed399c9f5,2,1,4,4,0.00,choice_first,right,2,2,49,2,49,49,2,49,4,A,0,2,0,25,Female,No,v11
1403,cf3e72113b7d73aed399c9f5,2,1,4,4,0.00,choice_first,right,.2,.2,45,10,45,45,10,45,4,B,0,1,1,25,Female,No,v11
1248,d41d8049002d4f8872e9465d,4,4,5,4,0.00,beliefs_first,right,1,0,51,1,48,45,5,50,7,B,0,1,1,38,Male,No,v11
1248,d41d8049002d4f8872e9465d,4,4,5,4,0.00,beliefs_first,right,2,1,45,5,50,50,5,45,7,B,0,2,0,38,Male,No,v11
1037,d52fc3e88685bc36d54bba75,4,2,1,3,1.60,choice_first,right,1,1,30,50,20,25,50,25,7,A,1,1,1,53,Female,Yes,v11
1037,d52fc3e88685bc36d54bba75,4,2,1,3,1.60,choice_first,right,1,1,25,50,25,30,50,20,5,A,1,2,0,53,Female,Yes,v11
1077,d87bdc3914318f2eb89acfe8,3,2,4,4,0.00,beliefs_first,left,1,.8,30,40,30,50,30,20,3,B,0,2,1,26,Female,No,v11
1077,d87bdc3914318f2eb89acfe8,3,2,4,4,0.00,beliefs_first,left,1.25,1,15,55,30,25,50,25,5,A,0,1,0,26,Female,No,v11
2449,df815375cac4acfa883ba8d0,4,2,3,4,2.00,beliefs_first,right,.95,.8,49,2,49,51,1,48,6,B,0,1,0,37,Female,No,v11
2449,df815375cac4acfa883ba8d0,4,2,3,4,2.00,beliefs_first,right,.95,1.1,45,10,45,60,5,35,7,A,0,2,1,37,Female,No,v11
806,e25d1706e92abb667901d237,2,2,4,3,0.80,choice_first,right,1.25,.75,50,1,49,60,1,39,7,B,0,2,0,37,Female,No,v11
806,e25d1706e92abb667901d237,2,2,4,3,0.80,choice_first,right,1,.5,50,20,30,65,10,25,7,B,0,1,1,37,Female,No,v11
1602,e373b6bb918f31a2e4a45d27,2,1,4,5,0.40,choice_first,right,1,1,45,10,45,52,6,42,7,A,1,2,0,39,Female,No,v11
1602,e373b6bb918f31a2e4a45d27,2,1,4,5,0.40,choice_first,right,1,1,47,6,47,52,6,42,7,A,0,1,1,39,Female,No,v11
1288,e3b160d6b774c7f5192e2953,4,2,4,4,0.20,choice_first,left,1,1,45,10,45,45,10,45,7,A,0,1,1,67,Male,No,v11
1288,e3b160d6b774c7f5192e2953,4,2,4,4,0.20,choice_first,left,1.2,1.1,45,10,45,45,10,45,7,B,0,2,0,67,Male,No,v11
757,e3e85efbc2bed4b6e145c81c,4,3,4,5,0.00,beliefs_first,left,1.8,1.4,20,15,65,35,35,30,7,B,0,2,1,56,Male,No,v11
757,e3e85efbc2bed4b6e145c81c,4,3,4,5,0.00,beliefs_first,left,1.6,2,30,30,40,35,25,40,5,B,0,1,0,56,Male,No,v11
644,e538fe01b027bbb408189693,4,3,3,4,0.00,beliefs_first,left,1.1,1.15,15,60,25,25,55,20,5,B,1,2,0,47,Male,No,v11
644,e538fe01b027bbb408189693,4,3,3,4,0.00,beliefs_first,left,.95,1.15,25,50,25,18,65,17,5,B,1,1,1,47,Male,No,v11
608,ed0e405d4c0d903625bf5f0a,5,2,3,2,2.00,beliefs_first,right,2,0,25,0,75,100,0,0,6,B,0,2,0,27,Female,No,v11
608,ed0e405d4c0d903625bf5f0a,5,2,3,2,2.00,beliefs_first,right,1.25,.5,25,0,75,100,0,0,5,B,0,1,1,27,Female,No,v11
453,f11f54084b0ccb5363ba25f7,4,4,3,1,0.72,choice_first,right,2,2,0,0,100,0,0,100,7,A,1,1,1,60,Male,Yes,v11
453,f11f54084b0ccb5363ba25f7,4,4,3,1,0.72,choice_first,right,2,2,0,0,100,0,0,100,7,B,1,2,0,60,Male,Yes,v11
1053,f6516dc79d4014cfd59266f4,4,2,4,4,1.20,choice_first,left,1.1,1,41,9,50,41,9,50,5,A,1,1,1,37,Male,No,v11
1053,f6516dc79d4014cfd59266f4,4,2,4,4,1.20,choice_first,left,1.01,1,48,2,50,50,2,48,3,B,0,2,0,37,Male,No,v11
981,f6a287bacab5f2329b0ba644,3,2,5,5,0.76,choice_first,left,1.1,1,48,2,50,49,2,49,5,A,1,1,0,35,Male,No,v11
981,f6a287bacab5f2329b0ba644,3,2,5,5,0.76,choice_first,left,1.1,1,45,10,45,45,10,45,6,B,1,2,1,35,Male,No,v11
318,f762decaeb0402dbec73add0,4,1,4,3,0.00,beliefs_first,right,1,1,49,2,49,49,2,49,6,B,1,2,1,31,Male,No,v11
318,f762decaeb0402dbec73add0,4,1,4,3,0.00,beliefs_first,right,1,1,49,2,49,49,2,49,4,B,0,1,0,31,Male,No,v11
286,f7d1e5fed9ecd1e5c6eda607,4,4,4,4,1.68,choice_first,left,1,1,45,10,45,45,10,45,6,B,1,1,1,37,Male,No,v11
286,f7d1e5fed9ecd1e5c6eda607,4,4,4,4,1.68,choice_first,left,1,1,49.5,1,49.5,49.5,1,49.5,5,B,1,2,0,37,Male,No,v11
1233,f7ee36b69d3d7143ea82f9ab,3,1,5,5,1.52,choice_first,left,.4,.2,50,25,25,50,25,25,5,B,0,2,1,50,Female,No,v11
1233,f7ee36b69d3d7143ea82f9ab,3,1,5,5,1.52,choice_first,left,.08,.04,50,20,30,50,25,25,5,B,0,1,0,50,Female,No,v11
