duration,id,choiceStr,beliefA,beliefB,beliefA_below,beliefA_equal,beliefA_above,beliefB_below,beliefB_equal,beliefB_above,riskTaking,statKnow,regretExAnte,regretExPost,bonus_payment,cond_beliefs_choice_order,rand_long_short_order,a3Col,whichFirst,choiceB,short,round,view1,view2,view3,view4,view5,view6,view7,view8,view9,view10,view11,age,sex,student,df
579,1899ae6ff18fd28008ce7567,6,.8,1,80,10,10,10,20,70,3,2,3,4,0.00,beliefs_first,short_first,Blue,A,1,1,1,10.193,4.71,5.666,5.218,3.772,1.424,1.427,1.191,1.538,2.257,5.619,50,Female,No,v21
643,1a5974b629839818f17da72e,6,1,2,50,10,40,10,10,80,3,4,4,2,0.88,choice_first,short_first,Orange,B,1,1,1,24.519,3.738,5.345,2.775,2.804,2.544,2.38,1.613,1.821,3.613,1.726,34,Male,No,v21
497,1ae795013e2d944778cf7f4b,7,1.26,.73,20,50,30,50,50,0,3,2,4,4,0.30,choice_first,short_first,Blue,B,0,1,1,6.554,5.579,2.833,2.889,2.25,3.005,2.004,2.221,3.384,1.331,1.482,42,Male,No,v21
461,1b41b2d4c63b7a6141c8b4b1,7,2,1,10,20,70,30,20,50,4,4,5,4,2.07,choice_first,short_first,Blue,A,0,1,1,5.322,9.701000000000001,2.816,1.668,1.937,1.46,.658,.524,.424,1.244,1.473,25,Female,Yes,v21
1272,1b46e1f688b160ba1da6b308,7,2,1,20,10,70,20,10,70,3,5,5,5,1.68,choice_first,short_first,Blue,B,0,1,1,27.847,11.726,6.893,3.582,3.007,3.617,3.879,3.295,2.711,3.411,3.319,24,Male,No,v21
789,1f081a527ce2eb28d4d6f66f,5,.8,.57,60,5,35,75,2,23,4,3,4,5,0.00,beliefs_first,short_first,Blue,B,0,1,1,6.863,1.855,2.211,1.65,1.558,1.089,.667,.782,.981,1.244,.998,24,Male,Yes,v21
379,239d22a81325c70cd7ffae95,6,.5,1.1,80,0,20,40,10,50,5,3,4,4,0.00,beliefs_first,short_first,Orange,A,1,1,1,6.068,6.027,6.319,3.796,2.654,5.659,2.847,1.988,2.404,1.723,2.384,43,Male,No,v21
617,2481fe0fb174e606fe776a1f,6,.9,.5,50,20,30,60,30,10,3,3,5,5,0.00,beliefs_first,short_first,Blue,B,0,1,1,11.5,9.026,6.63,11.549,1.786,3.36,1.739,1.423,1.227,1.299,.796,24,Female,No,v21
350,283410eb1dd716c2959cf04b,7,1.68,1.34,20,5,75,30,5,65,4,4,5,5,0.00,beliefs_first,short_first,Blue,B,0,1,1,6.173,3.27,3.416,3.507,2.791,2.893,2.415,2.244,2.692,2.466,2.259,23,Male,Yes,v21
470,29e4e5f19ddf6a35c53ce1af,6,1.2,.95,20,0,80,40,0,60,2,4,4,4,1.48,choice_first,short_first,Blue,A,0,1,1,6.26,4.298,2.656,3.598,2.612,6.855,17.044,2.347,2.005,2.032,1.574,48,Male,No,v21
841,2a00809e9ae4093c27d3885a,5,1,.4,60,30,10,80,20,0,3,2,5,5,1.88,choice_first,short_first,Blue,A,0,1,1,7.981,5.739,2.54,71.895,11.922,5.444,5.203,2.586,4.927,1.159,.946,23,Female,No,v21
763,2beb7959c9674324375e5df4,6,1.25,.9,40,5,55,70,2,28,4,3,3,2,0.30,choice_first,short_first,Blue,B,0,1,1,21.526,9.300000000000001,5.031,2.368,2.463,2.875,1.66,1.158,1.434,1.107,1.001,52,Female,No,v21
1546,2d20f9e7fa1b7d8122d61e83,7,.75,1,70,5,25,20,10,70,3,2,4,4,0.00,beliefs_first,short_first,Blue,A,1,1,1,3.621,2.581,2.157,3.233,1.999,2.263,1.783,1.67,1.967,2.152,2.763,34,Male,No,v21
435,2edaf84e05a9b29d542b299b,5,1.68,1.71,20,0,80,18,0,82,4,3,4,3,2.00,beliefs_first,short_first,Orange,B,0,1,1,5.517,2.942,2.529,1.971,1.794,2.641,2.221,1.687,2.142,2.03,1.556,35,Male,Yes,v21
307,306da66861d4dab2ec90205f,6,1.4,1.7,10,15,75,5,15,80,4,3,4,4,0.00,beliefs_first,short_first,Orange,B,1,1,1,4.016,2.652,2.1,.9360000000000001,1.418,1.022,1.602,1.359,.89,.918,1.293,41,Male,No,v21
374,326031712c849bf3c3e2f54a,6,.5,.65,90,0,10,70,0,30,4,3,4,4,2.07,choice_first,short_first,Orange,A,1,1,1,7.565,4.681,2.666,3.148,2.158,1.456,2.164,3.902,1.794,1.697,1.731,34,Female,No,v21
835,3378cf3f009614d5769a3011,5,1.09,1.1,40,10,50,30,10,60,3,3,4,4,0.30,choice_first,short_first,Orange,A,1,1,1,18.12,.891,11.187,1.635,1.438,1.464,1.383,1.402,1.502,1.401,1.519,41,Female,No,v21
446,33a8d71ee483442914114234,6,.5,.8,100,0,0,80,20,0,3,2,4,4,1.68,choice_first,short_first,Blue,B,1,1,1,8.238,7.088,3.751,3.75,2.436,5.767,4.662,4.479,2.171,2.589,2.742,43,Female,No,v21
671,33bbda72094a599aa7754a48,5,1,2,33,33,34,45,30,25,4,3,5,5,0.30,choice_first,short_first,Blue,B,1,1,1,10.472,4.976,6.54,3.699,3.535,3.48,3.689,2.771,2.067,4.314,3.005,35,Female,No,v21
770,350980d4450681d21b780e64,7,2,1,18,2,80,80,5,15,4,1,4,5,2.00,beliefs_first,short_first,Blue,B,0,1,1,20.384,6.351,10.829,4.63,7.53,5.331,2.859,2.914,3.517,8.551,5.048,70,Female,No,v21
610,356c269c22c3e8a4dcb35946,3,.8,.9,40,0,60,40,0,60,4,3,4,4,0.00,beliefs_first,short_first,Orange,A,0,1,1,9.766999999999999,7.735,4.077,3.064,1.972,2.056,2.756,1.33,1.483,1.238,1.969,47,Male,No,v21
1000,378ab13088875786894d8249,6,.9,1.2,65,20,15,40,25,35,4,2,4,3,1.88,choice_first,short_first,Orange,B,1,1,1,17.697,9.18,6.053,4.49,5.101,6.076,4.779,9.356,5.193,3.145,4.231,72,Male,No,v21
412,37e5a952a36230d97c4e5dca,7,1,1.8,90,1,9,50,2,48,1,1,4,4,0.00,beliefs_first,short_first,Orange,B,1,1,1,9.382,4.385,6.769,4.717,8.553000000000001,3.871,5.443,4.349,2.16,2.73,2.063,65,Female,No,v21
509,386eb9161133d60b1319f169,5,1,1.4,50,40,10,20,30,50,2,3,4,4,1.88,choice_first,short_first,Orange,B,1,1,1,7.143,4.327,5.285,2.55,1.599,1.525,1.179,1.33,1.036,.846,1.013,53,Female,No,v21
535,388018a3145faf1696529263,6,1.1,.7,30,5,65,60,5,35,4,3,5,5,0.00,beliefs_first,short_first,Blue,A,0,1,1,11.073,7.069,5.201,2.794,3.741,2.657,2.946,10.744,5.623,3.411,2.793,32,Male,No,v21
529,3a84ecb8fec88c558d909619,5,1.4,.8,10,0,90,60,0,40,4,1,4,2,1.30,choice_first,short_first,Blue,B,0,1,1,6.826,2.873,1.783,3.877,1.356,1.81,1.195,2.913,1.253,1.517,2.233,39,Male,No,v21
941,3cccbd9e4519ff9dad1954ea,4,1,2,60,20,20,20,20,60,3,2,4,3,0.05,choice_first,short_first,Orange,B,0,1,1,5.669,6.646,3.907,4.04,3.804,3.739,2.404,2.59,2.602,3.257,6.124,29,Male,No,v21
816,3e08b0bec63d440a203d5ad7,6,1.2,1.3,30,.1,69.90000000000001,20,.1,79.90000000000001,2,2,4,4,1.68,choice_first,short_first,Orange,A,1,1,1,11.833,9.045999999999999,5.9,5.915,6.516,9.701000000000001,5.918,7.624,7.051,7.151,7.989,48,Female,No,v21
391,41627b6647201f1e5b3b58ea,3,1,1,46,32,22,32,43,25,2,3,4,3,1.30,choice_first,short_first,Blue,B,0,1,1,1.671,1.562,.401,.478,.531,.302,.385,.402,.373,.346,.412,22,Female,No,v21
501,41bda20a75620450e42b3f98,6,.9,1,45,35,20,45,30,25,3,3,5,5,0.30,choice_first,short_first,Blue,B,1,1,1,9.044,5.343,3.221,3.135,2.799,2.926,2.631,1.541,2.031,1.579,1.506,19,Female,No,v21
767,426e6826793966996c14d322,6,1,1.5,30,10,60,10,15,75,3,2,5,3,0.00,beliefs_first,short_first,Orange,B,1,1,1,7.48,16.035,3.454,3.387,2.362,1.907,2.809,2.082,2.388,2.416,2.896,48,Female,No,v21
966,4330e370ecaa7cd63593f5b6,5,1.87,1.26,20,20,60,15,35,50,4,3,4,3,0.00,beliefs_first,short_first,Blue,B,1,1,1,30.513,10.372,14.148,4.822,9.273999999999999,4.69,5.743,8.989000000000001,3.334,40.061,15.775,62,Male,No,v21
395,43bc8230ac11c332beb51a2a,5,1.5,2,70,15,15,40,10,50,2,2,4,5,0.50,choice_first,short_first,Orange,A,1,1,1,12.868,4.071,1.47,1.491,1.098,1.572,.95,.88,.997,.86,3.199,23,Female,Yes,v21
819,449dfaee27a093b028d8e01a,6,.88,1,20,30,50,10,40,50,4,1,5,5,1.05,choice_first,short_first,Blue,A,1,1,1,31.031,36.727,18.814,18.18,13.78,16.085,10.778,5.783,7.595,4.92,2.681,60,Female,No,v21
417,4623cfe27ff7f07d9f40ed37,6,1,1,80,10,10,80,10,10,3,2,4,4,0.00,beliefs_first,short_first,Orange,A,0,1,1,4.866,1.702,1.262,.6850000000000001,.678,2.06,.83,.775,.403,1.233,2.365,28,Female,DATA_EXPIRED,v21
542,4c228112c81856a8a39cc737,7,2,1.5,30,50,20,50,30,20,5,3,3,3,1.30,choice_first,short_first,Blue,B,0,1,1,6.25,4.754,2.3,3.29,2.64,1.287,.886,.8,.671,.846,.918,28,Male,DATA_EXPIRED,v21
1134,4c702a4598305550dd3266f4,7,2,1,10,10,80,10,10,80,5,1,4,5,0.70,choice_first,short_first,Orange,A,0,1,1,11.394,5.173,633.115,.6909999999999999,.972,.503,.64,.494,.45,.452,1.738,DATA_EXPIRED,Female,No,v21
689,4cc239531bba5fc680d9ede2,5,1.9,1.4,15,5,80,20,5,75,2,2,5,4,1.88,choice_first,short_first,Orange,A,0,1,1,8.000999999999999,9.759,4.818,3.803,1.449,2.175,1.004,.8169999999999999,.657,.729,.654,40,Male,No,v21
1002,4fa629ca6e74caf4d8929605,5,1.03,.95,25,30,45,60,10,30,3,2,5,4,0.00,beliefs_first,short_first,Blue,A,0,1,1,14.063,8.611000000000001,3.468,3.591,3.538,3.871,3.603,2.094,2.788,2.556,2.318,51,Female,No,v21
570,5179c6f8ebc8d14d111710f0,7,1.2,.95,40,0,60,60,1,39,3,2,5,3,0.00,beliefs_first,short_first,Orange,B,1,1,1,5.22,8.042999999999999,6.745,5.126,3.548,4.342,3.38,2.777,3.564,2.715,3.163,35,Male,No,v21
709,54a49581a07b2b014378e048,5,2,1,0,50,50,0,50,50,4,1,5,5,1.88,choice_first,short_first,Blue,B,0,1,1,14.2,6.937,3.6,3.205,2.451,3.927,3.649,3.252,3.424,2.017,4.1,24,Female,No,v21
1032,5b76db4e8c8e300f3ab3e0a6,6,1.2,.2,70,5,25,40,5,55,3,4,5,5,0.00,beliefs_first,short_first,Blue,A,0,1,1,3.27,2.294,1.453,1.353,.877,1.703,1.266,1.116,.8100000000000001,1.765,1.336,42,Male,No,v21
666,5ba33cbf5d94e933f4809ae8,7,1,1,40,30,30,50,25,25,5,5,5,3,0.00,beliefs_first,short_first,Blue,A,1,1,1,3.276,1.635,3.228,1.431,2.677,2.397,1.915,4.647,1.57,3.194,6.051,33,Male,No,v21
393,5c4aad674298491b81360f56,5,2,.3,35,5,60,75,5,20,4,3,5,4,2.07,choice_first,short_first,Blue,B,0,1,1,8.759,4.329,2.531,4.464,3.424,3.619,2.614,2.612,1.805,1.573,1.143,29,Female,No,v21
701,5d516251eb03dec094aa3eb9,5,1.2,1.2,33.33,33.33,33.34,33.33,33.33,33.34,4,2,2,2,0.00,beliefs_first,short_first,Orange,B,1,1,1,2.576,1.164,2.992,.983,.845,.841,.529,.635,.569,.595,.91,45,Female,No,v21
544,5e782ef649aeceb719dfe983,6,1.3,.6,44,23,33,56,12,32,3,2,5,4,0.00,beliefs_first,short_first,Blue,B,0,1,1,7.911,3.51,2.612,2.866,17.086,3.341,2.88,3.585,5.527,3.311,3.303,49,Male,No,v21
707,5ea1cf2d3c8500f23763346a,6,1,1.2,47,5,48,35,5,60,2,3,5,5,1.05,choice_first,short_first,Orange,A,1,1,1,9.313000000000001,3.437,2.565,1.501,1.896,1.337,1.211,.978,1.075,.976,4.252,27,Male,No,v21
611,600459f5a9a957a1c1bd865d,6,.48,.85,40,0,60,30,0,70,4,3,5,4,2.07,choice_first,short_first,Orange,A,1,1,1,9.622999999999999,9.192,3.943,3.57,3.279,2.692,3.681,4.457,3.1,1.96,1.71,38,Female,No,v21
798,6184b5b9b140dfe2c44daed1,6,1,.9,60,0,40,60,0,40,5,1,2,3,0.00,beliefs_first,short_first,Orange,B,1,1,1,8.436999999999999,6.801,2.797,2.601,1.832,2.151,1.69,1.357,1.6,1.895,5.501,29,Female,DATA_EXPIRED,v21
379,6219967cb3e78bbc4944b4da,7,.65,.95,90,2,8,40,10,50,4,3,3,3,1.05,choice_first,short_first,Orange,A,1,1,1,6.64,3.898,4.399,2.162,2.936,1.855,1.599,1.353,.97,1.385,1.05,33,Male,No,v21
1136,62aa44fdaccc9b3cf943265d,5,1.08,1.3,10,5,85,20,5,75,4,3,5,5,0.00,beliefs_first,short_first,Orange,B,1,1,1,79.80800000000001,14.813,12.274,12.311,11.885,13.082,13.28,11.066,13.813,10.225,15.647,34,Male,No,v21
1236,640418162967a550bf6f10d1,5,.45,.9,60,10,30,40,10,50,2,3,4,4,0.88,choice_first,short_first,Orange,A,1,1,1,10.634,3.137,11.023,7.178,1.706,1.409,1.244,1.205,11.476,1.326,.931,26,Female,Yes,v21
446,654c911f56a81fb47f20a6ea,5,1,1,50,0,50,50,0,50,4,3,4,5,0.00,beliefs_first,short_first,Blue,A,0,1,1,5.709,5.151,1.69,1.907,1.966,1.324,3.554,1.564,1.306,1.675,2.564,20,Female,Yes,v21
1164,65acbee1e9e61f58f7b77065,4,1,1,25,40,35,25,40,35,4,4,4,3,1.88,choice_first,short_first,Blue,B,0,1,1,20.051,48.511,20.855,31.735,6.201,5.364,4.195,8.686,7.368,9.188000000000001,5.162,33,Female,No,v21
483,65f574116415b3f3326fc89a,6,.55,.6,91,0,9,82,0,18,4,4,4,3,0.00,beliefs_first,short_first,Orange,A,1,1,1,7.031,4.801,2.138,2.209,1.384,2.088,1.79,1.422,1.059,1.288,.894,38,Male,No,v21
758,688960843dbc28b8c9ccfaa0,4,.8,1.3,45,10,45,40,10,50,5,5,3,4,1.88,choice_first,short_first,Blue,A,1,1,1,10.747,3.152,2.504,3.011,2.287,2.851,2.263,5.001,2.157,2.778,2.904,21,Male,DATA_EXPIRED,v21
902,6b672990ab82ee8ee2887cd0,3,1.2,.9,70,0,30,60,1,39,1,2,3,2,0.00,beliefs_first,short_first,Blue,B,1,1,1,13.514,10.571,8,3.752,2.425,11.593,6.672,4.808,2.92,1.791,3.444,64,Female,No,v21
484,6bbc923a623ec57f11300152,5,.9,1.5,48,5,47,47,5,48,4,2,4,4,0.00,beliefs_first,short_first,Orange,B,1,1,1,1.702,17.341,7.352,1.21,4.47,1.144,1.301,.704,.575,.97,.832,30,Female,No,v21
430,6ca2d0568a238f3a28507abc,5,1.68,1.46,30,5,65,35,7,58,3,3,1,2,0.00,beliefs_first,short_first,Blue,A,0,1,1,4.854,2.853,.79,1.241,1.18,1.061,.92,1.045,1.162,1.038,.617,27,Female,No,v21
349,6e132293174fd97a92b10dcc,7,.5,1,50,0,50,20,0,80,2,3,4,4,0.00,beliefs_first,short_first,Orange,B,1,1,1,6.204,2.661,1.916,1.136,.733,.976,.666,.785,.6,1.068,1.921,34,Female,No,v21
423,6eeeb2472cf38e04821ffd41,6,.7,1.3,10,0,90,0,0,100,4,4,5,5,0.70,choice_first,short_first,Orange,A,1,1,1,8.907999999999999,3.077,2.29,1.341,.6850000000000001,2.012,1.383,.823,.758,.5,1.127,55,Male,No,v21
444,6f17baea5a5b76f00ae51142,4,1,2,25,10,65,50,10,40,2,3,3,1,1.88,choice_first,short_first,Blue,A,1,1,1,10.285,3.619,2.82,4.812,2.146,2.301,2.238,2.487,1.695,1.651,1.764,40,Female,No,v21
2312,6f76c7d0ef4aa6864f6801db,6,1,1.5,50,10,40,60,5,35,4,4,4,4,0.00,beliefs_first,short_first,Orange,A,1,1,1,74.94199999999999,11.99,4.472,41.285,10.588,2.815,2.923,1.896,1.986,7.823,17.931,30,Male,Yes,v21
714,7269dbb5ef8c2e835889d7fe,7,1,2,60,20,20,20,20,60,2,3,3,4,1.88,choice_first,short_first,Orange,A,1,1,1,12.802,7.707,2.658,2.838,1.883,.914,1.794,.759,1.021,.678,.801,33,Male,No,v21
1339,73a7f8343115bda490241742,6,2,1.9,30,20,50,30,20,50,4,3,4,3,1.05,choice_first,short_first,Blue,B,1,1,1,17.6,7.19,4.448,5.488,3.872,3.778,4.145,3.948,3.177,2.884,3.159,35,Male,No,v21
1953,76cae26b8a271b50574d282a,6,1,1,40,40,20,40,35,25,4,3,4,4,0.88,choice_first,short_first,Blue,A,0,1,1,44.849,23.206,69.56399999999999,123.451,41.433,60.143,66.15900000000001,59.27,0,.657,.531,49,Male,Yes,v21
924,77158ca0e23cb1f35b433df2,6,1.5,1.5,55,3,42,50,1,49,2,3,4,4,2.00,beliefs_first,short_first,Blue,A,0,1,1,10.607,5.898,6.031,6.583,3.897,6.014,6.1,6.062,4.052,4.933,3.635,42,Male,No,v21
430,79c6b8df21b45d91f75153f6,7,1,1.5,25,50,25,10,20,70,4,3,4,4,0.50,choice_first,short_first,Orange,A,1,1,1,11.558,4.074,3.237,2.796,2.429,1.688,1.611,2.073,6.973,2.935,1.97,56,Male,No,v21
561,79e81ae1dbc3906b889556c1,4,1,2,5,45,50,10,60,30,3,4,5,5,1.88,choice_first,short_first,Orange,B,1,1,1,8.801,3.673,3.332,4.335,7.173,1.376,1.075,2.505,2.886,5,1.8,43,Female,No,v21
1988,7af635fb4f5d1c9b03ef8ac6,5,1.5,1.3,35,43,22,40,40,20,4,3,4,3,1.05,choice_first,short_first,Blue,B,1,1,1,12.315,17.638,1.934,3.895,4.484,3.214,2.718,6.196,1.762,1.659,4.86,26,Male,Yes,v21
527,7f23b4fc230d6666fe05f9de,5,.5,.6,50,30,20,20,50,30,2,2,5,4,1.68,choice_first,short_first,Orange,A,1,1,1,11.315,3.59,3.192,3.095,2.036,2.518,2.352,1.133,1.527,.8,3.236,41,Female,No,v21
834,8033984163dd1d26b69c88c2,5,1,2,45,2,53,10,1,89,3,2,4,4,0.50,choice_first,short_first,Orange,A,1,1,1,11.747,6.019,4.729,5.562,3.014,4.775,3.327,3.103,2.204,3.2,2.856,49,Female,No,v21
1096,80a71cd2623054367d09b499,5,2,2,25,35,40,30,20,50,5,4,3,3,1.30,choice_first,short_first,Orange,B,1,1,1,1.722,1.451,2.632,4.518,1.428,4.6,1.131,2.085,.701,27.736,.618,50,Female,Yes,v21
557,80b451bb20c2d089613417c0,6,1.12,1.94,60,10,30,40,30,30,2,1,2,2,1.88,choice_first,short_first,Blue,B,1,1,1,8.972,7.482,6.351,4.133,3.3,5.134,4.509,7.32,3.561,2.397,1.46,43,Female,No,v21
454,80b4ca0f52c957e0471c2923,5,.3,.5,85,1,14,49,1,50,3,4,5,4,0.50,choice_first,short_first,Orange,B,1,1,1,6.734,6.072,2.666,3.792,4.139,4.971,2.814,2.573,2.257,2.219,1.981,53,Female,No,v21
1610,8104195baa365b2a85813030,7,1.08,1.08,0,0,100,0,0,100,5,5,5,5,1.68,choice_first,short_first,Orange,B,1,1,1,28.291,11.995,21.799,9.25,9.242000000000001,6.933,13.547,14.226,6.561,7.776,5.405,26,Male,Yes,v21
414,81d962f4070ca300340e1eb3,5,1.15,1.5,15,5,80,5,5,90,3,2,3,4,1.88,choice_first,short_first,Orange,B,1,1,1,8.082000000000001,4.43,1.381,.983,.998,.876,.701,.666,.832,.859,.777,34,Male,No,v21
313,81e4dff987e53394d56ae5fb,5,1.35,.9,45,0,55,45,0,55,4,3,4,4,0.00,beliefs_first,short_first,Blue,B,0,1,1,4.088,1.745,.9429999999999999,1.208,.862,1.072,2.057,.883,1.013,.968,1.094,33,Male,No,v21
661,833c77e27efe7bfb0ff08ee3,7,.98,1.23,78,3,19,23,2,75,4,2,3,3,0.00,beliefs_first,short_first,Orange,A,1,1,1,19.503,8.047000000000001,6.626,6.653,7.149,6.321,10.137,12.182,6.523,5.122,6.129,51,Female,No,v21
1484,8346129cb4d9159d806ca091,7,1.2,1,50,30,20,30,50,20,5,2,5,5,0.00,beliefs_first,short_first,Blue,A,1,1,1,9.41,4.548,3.272,2.146,3.583,3.907,3.905,3.113,3.066,3.365,4.486,45,Male,No,v21
322,86ebe03cd2057c6b25110319,6,1,2,30,25,45,10,40,50,5,3,3,4,0.00,beliefs_first,short_first,Blue,A,1,1,1,3.489,.635,.377,1.683,1.622,1.45,1.39,1.49,.421,.195,1.073,22,Female,DATA_EXPIRED,v21
478,86f7683e65f71e256b7bdbfd,6,1.8,1.4,20,10,70,20,15,65,3,3,4,3,2.07,choice_first,short_first,Blue,B,0,1,1,6.684,4.006,2.721,3.553,3.626,3.378,2.664,3.923,4.521,2.666,4.374,31,Male,No,v21
