"id","round1_combined_array","df"
"4bf298276b6ffa5651513c15","[1.40,1.60];[0.20,0.40];[1.20,1.40];[0.40,0.60];[1.00,1.20];[0.80,1.00];[1.60,1.80];[0.60,0.80];[0.00,0.20];[1.80,2.00];[2.00,0.00]","v17"
"2fade1353d8e34bd99d319dd","[0.80,1.00];[1.20,1.40];[0.40,0.60];[0.60,0.80];[1.80,2.00];[1.40,1.60];[1.00,1.20];[0.20,0.40];[0.00,0.20];[1.60,1.80];[2.00,0.00]","v17"
"b2efb5afaa65af71bad18e06","[0.00,0.20];[1.20,1.40];[2.00,0.00];[0.60,0.80];[1.80,2.00];[0.40,0.60];[1.60,1.80];[1.40,1.60];[0.80,1.00];[0.20,0.40];[1.00,1.20]","v17"
"0f6e03372b93f49208035361","[0.60,0.80];[1.60,1.80];[0.00,0.20];[2.00,0.00];[1.40,1.60];[1.80,2.00];[0.40,0.60];[1.00,1.20];[0.80,1.00];[0.20,0.40];[1.20,1.40]","v17"
"5b6bde0fb8256aff89ed3e95","[1.80,2.00];[0.20,0.40];[2.00,0.00];[0.00,0.20];[0.40,0.60];[0.60,0.80];[1.00,1.20];[1.40,1.60];[1.20,1.40];[1.60,1.80];[0.80,1.00]","v17"
"98f2ab0bc0c059cecd78e525","[1.20,1.40];[1.00,1.20];[0.60,0.80];[2.00,0.00];[0.40,0.60];[0.80,1.00];[0.00,0.20];[1.60,1.80];[0.20,0.40];[1.80,2.00];[1.40,1.60]","v17"
"","[0.60,0.80];[0.40,0.60];[0.00,0.20];[2.00,0.00];[1.60,1.80];[1.80,2.00];[1.00,1.20];[1.40,1.60];[1.20,1.40];[0.20,0.40];[0.80,1.00]","v17"
"","[0.60,0.80];[0.40,0.60];[1.40,1.60];[0.20,0.40];[1.20,1.40];[1.60,1.80];[1.00,1.20];[2.00,0.00];[1.80,2.00];[0.00,0.20];[0.80,1.00]","v17"
"","[0.00,0.20];[1.20,1.40];[1.60,1.80];[0.80,1.00];[2.00,0.00];[1.80,2.00];[0.40,0.60];[1.00,1.20];[1.40,1.60];[0.20,0.40];[0.60,0.80]","v17"
"","[0.60,0.80];[2.00,0.00];[1.60,1.80];[1.40,1.60];[1.00,1.20];[0.80,1.00];[1.20,1.40];[1.80,2.00];[0.20,0.40];[0.00,0.20];[0.40,0.60]","v17"
"","[2.00,0.00];[1.80,2.00];[0.20,0.40];[1.20,1.40];[0.60,0.80];[1.00,1.20];[1.40,1.60];[0.40,0.60];[1.60,1.80];[0.80,1.00];[0.00,0.20]","v17"
"","[0.40,0.60];[2.00,0.00];[0.00,0.20];[1.00,1.20];[0.60,0.80];[1.60,1.80];[1.40,1.60];[0.80,1.00];[0.20,0.40];[1.20,1.40];[1.80,2.00]","v17"
"95e91468d82d576592e23fc3","[0.40,0.60];[2.00,0.00];[1.80,2.00];[0.60,0.80];[0.20,0.40];[1.00,1.20];[0.80,1.00];[0.00,0.20];[1.20,1.40];[1.60,1.80];[1.40,1.60]","v17"
"97575bcb9aa6b7ff0a2812d8","[1.40,1.60];[2.00,0.00];[0.40,0.60];[0.00,0.20];[0.20,0.40];[0.80,1.00];[0.60,0.80];[1.00,1.20];[1.20,1.40];[1.60,1.80];[1.80,2.00]","v17"
"2037a8739dd5e9d2f20b97df","[2.00,0.00];[0.60,0.80];[1.00,1.20];[0.40,0.60];[1.40,1.60];[0.80,1.00];[0.20,0.40];[1.20,1.40];[1.80,2.00];[1.60,1.80];[0.00,0.20]","v17"
"6d0ddcf981e59d88fb9f3d50","[1.60,1.80];[1.20,1.40];[0.00,0.20];[0.20,0.40];[0.40,0.60];[0.60,0.80];[1.00,1.20];[1.40,1.60];[2.00,0.00];[1.80,2.00];[0.80,1.00]","v17"
"cdbf6f1c0798ca48609aedba","[0.60,0.80];[0.80,1.00];[0.00,0.20];[1.60,1.80];[2.00,0.00];[1.40,1.60];[1.80,2.00];[1.20,1.40];[0.20,0.40];[0.40,0.60];[1.00,1.20]","v17"
"5cd2fd081ec1c37224e49d55","[0.60,0.80];[1.80,2.00];[1.60,1.80];[0.00,0.20];[0.20,0.40];[2.00,0.00];[1.20,1.40];[0.40,0.60];[0.80,1.00];[1.00,1.20];[1.40,1.60]","v17"
"0d4d75ad718ca8ad9cbc49d7","[0.20,0.40];[1.60,1.80];[1.00,1.20];[0.00,0.20];[0.60,0.80];[1.20,1.40];[1.80,2.00];[0.40,0.60];[1.40,1.60];[2.00,0.00];[0.80,1.00]","v17"
"f97c3b765ea661349d3a3db5","[1.20,1.40];[1.00,1.20];[1.60,1.80];[0.60,0.80];[1.40,1.60];[0.80,1.00];[0.00,0.20];[2.00,0.00];[1.80,2.00];[0.40,0.60];[0.20,0.40]","v17"
"5166fc9da2615a3a953688e9","[0.60,0.80];[0.80,1.00];[0.20,0.40];[1.60,1.80];[1.20,1.40];[1.00,1.20];[1.40,1.60];[1.80,2.00];[0.00,0.20];[2.00,0.00];[0.40,0.60]","v17"
"566024c68f62487f659755f8","[1.80,2.00];[0.60,0.80];[1.20,1.40];[2.00,0.00];[1.40,1.60];[1.60,1.80];[0.20,0.40];[0.00,0.20];[0.40,0.60];[0.80,1.00];[1.00,1.20]","v17"
"d6f2eb15d36cfacfe3a4edde","[0.00,0.20];[1.00,1.20];[0.20,0.40];[1.40,1.60];[2.00,0.00];[1.20,1.40];[0.40,0.60];[0.60,0.80];[1.60,1.80];[1.80,2.00];[0.80,1.00]","v17"
"f732c0f3fbbdd63184361d20","[2.00,0.00];[0.60,0.80];[1.40,1.60];[1.20,1.40];[0.00,0.20];[1.60,1.80];[1.80,2.00];[0.20,0.40];[0.80,1.00];[0.40,0.60];[1.00,1.20]","v17"
"df90b4bd5cef52d345410881","[1.20,1.40];[1.40,1.60];[1.60,1.80];[0.60,0.80];[2.00,0.00];[0.40,0.60];[1.80,2.00];[0.20,0.40];[1.00,1.20];[0.00,0.20];[0.80,1.00]","v17"
"fc23547c812da38ad77f34ab","[0.00,0.20];[1.40,1.60];[0.40,0.60];[1.00,1.20];[1.20,1.40];[2.00,0.00];[0.80,1.00];[0.20,0.40];[1.80,2.00];[1.60,1.80];[0.60,0.80]","v17"
"508cd5bdd440ec123b6d8750","[1.80,2.00];[0.60,0.80];[1.40,1.60];[0.40,0.60];[1.60,1.80];[1.20,1.40];[0.80,1.00];[1.00,1.20];[0.20,0.40];[2.00,0.00];[0.00,0.20]","v17"
"0691763259eedadf2ebbc374","[1.20,1.40];[0.00,0.20];[1.60,1.80];[0.40,0.60];[1.40,1.60];[2.00,0.00];[1.80,2.00];[1.00,1.20];[0.60,0.80];[0.80,1.00];[0.20,0.40]","v17"
"22e4d842ae4ded9d3876b0a3","[1.00,1.20];[2.00,0.00];[0.00,0.20];[1.40,1.60];[0.60,0.80];[1.80,2.00];[1.20,1.40];[1.60,1.80];[0.80,1.00];[0.40,0.60];[0.20,0.40]","v17"
"14a563f9e399522169e6f696","[0.20,0.40];[1.40,1.60];[1.60,1.80];[0.60,0.80];[1.80,2.00];[0.00,0.20];[0.40,0.60];[1.00,1.20];[2.00,0.00];[0.80,1.00];[1.20,1.40]","v17"
"a00bf8d1cb65396ab1fdb35d","[0.00,0.20];[0.40,0.60];[1.60,1.80];[1.00,1.20];[1.40,1.60];[1.20,1.40];[0.20,0.40];[2.00,0.00];[0.60,0.80];[1.80,2.00];[0.80,1.00]","v17"
"d2222f5b39833312196f82ab","[0.00,0.20];[2.00,0.00];[0.40,0.60];[1.40,1.60];[1.80,2.00];[1.00,1.20];[1.20,1.40];[1.60,1.80];[0.80,1.00];[0.20,0.40];[0.60,0.80]","v17"
"84c22ee696a7413e28a5fb58","[1.80,2.00];[0.40,0.60];[1.20,1.40];[1.40,1.60];[0.20,0.40];[0.80,1.00];[0.00,0.20];[2.00,0.00];[1.60,1.80];[1.00,1.20];[0.60,0.80]","v17"
"fe38139aee8c7774a9d50613","[1.80,2.00];[0.40,0.60];[1.20,1.40];[0.00,0.20];[0.20,0.40];[2.00,0.00];[1.60,1.80];[1.40,1.60];[0.60,0.80];[1.00,1.20];[0.80,1.00]","v17"
"da4b1a6c5488ce5b35ab51b9","[0.20,0.40];[0.00,0.20];[0.60,0.80];[1.60,1.80];[1.40,1.60];[1.20,1.40];[2.00,0.00];[1.80,2.00];[1.00,1.20];[0.80,1.00];[0.40,0.60]","v17"
"3d16b20a797663a68f23c819","[1.60,1.80];[0.20,0.40];[0.80,1.00];[2.00,0.00];[0.60,0.80];[1.00,1.20];[1.40,1.60];[1.80,2.00];[0.00,0.20];[0.40,0.60];[1.20,1.40]","v17"
"80d92f046f632c122851b295","[1.00,1.20];[1.40,1.60];[2.00,0.00];[0.40,0.60];[1.80,2.00];[0.60,0.80];[0.00,0.20];[0.20,0.40];[0.80,1.00];[1.60,1.80];[1.20,1.40]","v17"
"818e104648f527601a73ed81","[1.00,1.20];[0.60,0.80];[1.20,1.40];[1.60,1.80];[0.40,0.60];[0.80,1.00];[0.20,0.40];[0.00,0.20];[1.40,1.60];[1.80,2.00];[2.00,0.00]","v17"
"463d30eabebfbb2bd140145a","[2.00,0.00];[1.80,2.00];[1.40,1.60];[1.60,1.80];[0.60,0.80];[0.40,0.60];[0.20,0.40];[0.00,0.20];[1.20,1.40];[0.80,1.00];[1.00,1.20]","v17"
"d9f78f3150196835117d6222","[1.80,2.00];[0.00,0.20];[1.00,1.20];[0.40,0.60];[0.20,0.40];[0.80,1.00];[1.60,1.80];[2.00,0.00];[1.40,1.60];[1.20,1.40];[0.60,0.80]","v17"
"b15328baaf6c5248d87fe42d","[1.00,1.20];[0.80,1.00];[1.20,1.40];[0.20,0.40];[1.40,1.60];[1.60,1.80];[0.00,0.20];[1.80,2.00];[2.00,0.00];[0.40,0.60];[0.60,0.80]","v17"
"90844498c7ef3d295a97a6c3","[1.60,1.80];[0.00,0.20];[0.20,0.40];[0.80,1.00];[2.00,0.00];[1.00,1.20];[0.60,0.80];[1.20,1.40];[1.80,2.00];[1.40,1.60];[0.40,0.60]","v17"
"","[0.40,0.60];[0.00,0.20];[2.00,0.00];[1.00,1.20];[1.40,1.60];[0.60,0.80];[1.20,1.40];[0.20,0.40];[1.80,2.00];[0.80,1.00];[1.60,1.80]","v17"
"","[0.60,0.80];[0.20,0.40];[1.40,1.60];[1.00,1.20];[1.20,1.40];[0.40,0.60];[0.80,1.00];[1.60,1.80];[1.80,2.00];[2.00,0.00];[0.00,0.20]","v17"
"","[1.80,2.00];[0.00,0.20];[1.60,1.80];[0.20,0.40];[0.60,0.80];[1.00,1.20];[2.00,0.00];[1.20,1.40];[0.40,0.60];[1.40,1.60];[0.80,1.00]","v17"
"","[0.80,1.00];[1.60,1.80];[1.80,2.00];[1.00,1.20];[0.40,0.60];[0.00,0.20];[1.40,1.60];[0.60,0.80];[0.20,0.40];[1.20,1.40];[2.00,0.00]","v17"
"","[0.20,0.40];[2.00,0.00];[0.60,0.80];[0.40,0.60];[1.60,1.80];[0.80,1.00];[1.40,1.60];[1.20,1.40];[1.80,2.00];[0.00,0.20];[1.00,1.20]","v17"
"","[1.20,1.40];[2.00,0.00];[1.80,2.00];[0.40,0.60];[1.00,1.20];[0.60,0.80];[1.60,1.80];[1.40,1.60];[0.20,0.40];[0.80,1.00];[0.00,0.20]","v17"
"","[2.00,0.00];[1.60,1.80];[0.60,0.80];[0.00,0.20];[0.20,0.40];[1.20,1.40];[0.80,1.00];[1.40,1.60];[1.80,2.00];[0.40,0.60];[1.00,1.20]","v17"
"","[1.40,1.60];[0.80,1.00];[0.40,0.60];[0.60,0.80];[1.20,1.40];[0.00,0.20];[1.00,1.20];[1.80,2.00];[0.20,0.40];[1.60,1.80];[2.00,0.00]","v17"
"","[0.80,1.00];[0.40,0.60];[0.20,0.40];[1.20,1.40];[0.00,0.20];[1.00,1.20];[1.80,2.00];[1.40,1.60];[1.60,1.80];[0.60,0.80];[2.00,0.00]","v17"
"","[0.80,1.00];[0.20,0.40];[1.60,1.80];[0.60,0.80];[1.40,1.60];[0.40,0.60];[2.00,0.00];[1.80,2.00];[1.00,1.20];[1.20,1.40];[0.00,0.20]","v17"
"","[0.00,0.20];[1.40,1.60];[0.80,1.00];[0.60,0.80];[1.60,1.80];[1.00,1.20];[0.20,0.40];[1.80,2.00];[2.00,0.00];[1.20,1.40];[0.40,0.60]","v17"
"056d2f7c1bb47aea1a431fde","[0.60,0.80];[1.20,1.40];[0.20,0.40];[1.80,2.00];[1.40,1.60];[2.00,0.00];[1.00,1.20];[1.60,1.80];[0.40,0.60];[0.80,1.00];[0.00,0.20]","v17"
"93fa0a00e82f60f8bbfab65f","[1.00,1.20];[0.40,0.60];[1.80,2.00];[1.20,1.40];[0.20,0.40];[0.80,1.00];[1.40,1.60];[1.60,1.80];[2.00,0.00];[0.00,0.20];[0.60,0.80]","v17"
"33892e12c5bb8719625dade0","[1.60,1.80];[1.40,1.60];[0.20,0.40];[1.80,2.00];[1.20,1.40];[0.60,0.80];[0.00,0.20];[2.00,0.00];[0.80,1.00];[0.40,0.60];[1.00,1.20]","v17"
"d3de3ecc0b9f3707659135cc","[1.00,1.20];[1.60,1.80];[1.80,2.00];[2.00,0.00];[0.20,0.40];[0.60,0.80];[1.40,1.60];[0.00,0.20];[0.80,1.00];[1.20,1.40];[0.40,0.60]","v17"
"fcb172b58d57c02a661bfc0d","[0.00,0.20];[1.40,1.60];[0.60,0.80];[0.40,0.60];[1.20,1.40];[1.80,2.00];[1.00,1.20];[0.20,0.40];[1.60,1.80];[2.00,0.00];[0.80,1.00]","v17"
"22056caf33e71a9386fbb297","[0.40,0.60];[1.00,1.20];[0.20,0.40];[2.00,0.00];[1.80,2.00];[0.80,1.00];[1.20,1.40];[0.60,0.80];[1.40,1.60];[0.00,0.20];[1.60,1.80]","v17"
"e7248b68ad481327b1a3e195","[1.60,1.80];[1.80,2.00];[1.40,1.60];[0.00,0.20];[1.20,1.40];[2.00,0.00];[0.60,0.80];[0.80,1.00];[0.40,0.60];[0.20,0.40];[1.00,1.20]","v17"
"0baa4190c130aad20b7a71c2","[2.00,0.00];[0.40,0.60];[1.80,2.00];[0.00,0.20];[0.60,0.80];[1.00,1.20];[1.20,1.40];[1.40,1.60];[1.60,1.80];[0.80,1.00];[0.20,0.40]","v17"
"8524f9c97d9d3ddf96f8a58e","[1.60,1.80];[1.00,1.20];[0.40,0.60];[1.80,2.00];[0.00,0.20];[0.60,0.80];[1.20,1.40];[0.20,0.40];[0.80,1.00];[1.40,1.60];[2.00,0.00]","v17"
"4bd4ab6527f4f1b2b059b14b","[1.40,1.60];[0.20,0.40];[0.40,0.60];[1.00,1.20];[1.60,1.80];[1.20,1.40];[1.80,2.00];[0.60,0.80];[0.80,1.00];[2.00,0.00];[0.00,0.20]","v17"
"122f61b0e5c87b49ba0d3728","[1.00,1.20];[1.20,1.40];[1.80,2.00];[2.00,0.00];[0.00,0.20];[0.60,0.80];[1.60,1.80];[0.40,0.60];[0.20,0.40];[0.80,1.00];[1.40,1.60]","v17"
"ed2979d4c2fce4790c7562ed","[1.00,1.20];[1.20,1.40];[2.00,0.00];[0.80,1.00];[0.20,0.40];[1.40,1.60];[1.80,2.00];[0.60,0.80];[0.00,0.20];[0.40,0.60];[1.60,1.80]","v17"
"45c00761b8b57b16c321162d","[1.20,1.40];[0.60,0.80];[0.80,1.00];[1.80,2.00];[0.00,0.20];[0.20,0.40];[1.00,1.20];[2.00,0.00];[1.40,1.60];[0.40,0.60];[1.60,1.80]","v17"
"ada417d5e9baac4cb94a06b5","[0.20,0.40];[2.00,0.00];[0.60,0.80];[0.40,0.60];[1.60,1.80];[1.20,1.40];[1.40,1.60];[0.00,0.20];[1.00,1.20];[1.80,2.00];[0.80,1.00]","v17"
"612405c649f9b0d53e9aa912","[1.40,1.60];[1.20,1.40];[1.60,1.80];[0.20,0.40];[1.00,1.20];[0.40,0.60];[0.00,0.20];[0.60,0.80];[0.80,1.00];[2.00,0.00];[1.80,2.00]","v17"
"4acebd239195093f3a24c5cf","[1.20,1.40];[0.00,0.20];[0.60,0.80];[0.80,1.00];[0.20,0.40];[1.80,2.00];[1.60,1.80];[2.00,0.00];[0.40,0.60];[1.40,1.60];[1.00,1.20]","v17"
"9afb6f10dadacc6e4becabc3","[0.40,0.60];[1.40,1.60];[0.60,0.80];[0.00,0.20];[2.00,0.00];[1.20,1.40];[0.80,1.00];[1.00,1.20];[1.60,1.80];[0.20,0.40];[1.80,2.00]","v17"
"e8cf3333205a2e375e4a875f","[1.80,2.00];[0.60,0.80];[0.80,1.00];[0.20,0.40];[0.00,0.20];[1.20,1.40];[1.60,1.80];[2.00,0.00];[1.00,1.20];[1.40,1.60];[0.40,0.60]","v17"
"a26bfbc5ac557c33683c3981","[0.20,0.40];[1.60,1.80];[2.00,0.00];[0.60,0.80];[1.00,1.20];[1.40,1.60];[1.80,2.00];[1.20,1.40];[0.80,1.00];[0.00,0.20];[0.40,0.60]","v17"
"b3832a1b3e52b46294cd730a","[2.00,0.00];[0.60,0.80];[1.60,1.80];[0.00,0.20];[1.80,2.00];[0.40,0.60];[0.20,0.40];[1.20,1.40];[1.40,1.60];[1.00,1.20];[0.80,1.00]","v17"
"8211d8df08ac178319f8650a","[2.00,0.00];[0.60,0.80];[1.80,2.00];[0.40,0.60];[1.20,1.40];[0.20,0.40];[1.40,1.60];[1.00,1.20];[0.80,1.00];[1.60,1.80];[0.00,0.20]","v17"
"3d14a5f3a41a252ae88f4c36","[0.00,0.20];[1.00,1.20];[2.00,0.00];[0.80,1.00];[0.40,0.60];[1.40,1.60];[0.20,0.40];[0.60,0.80];[1.60,1.80];[1.80,2.00];[1.20,1.40]","v17"
"4f7b80d4befe1eaece7822c5","[1.00,1.20];[2.00,0.00];[1.80,2.00];[0.20,0.40];[0.00,0.20];[1.60,1.80];[0.80,1.00];[1.20,1.40];[0.40,0.60];[1.40,1.60];[0.60,0.80]","v17"
"97fbbb54b81235e979c2b9f4","[0.80,1.00];[1.80,2.00];[0.20,0.40];[1.20,1.40];[1.00,1.20];[2.00,0.00];[0.60,0.80];[0.00,0.20];[0.40,0.60];[1.60,1.80];[1.40,1.60]","v17"
"d59f527d7a26a82972a91f6a","[1.40,1.60];[1.80,2.00];[1.60,1.80];[2.00,0.00];[1.20,1.40];[0.60,0.80];[0.40,0.60];[1.00,1.20];[0.20,0.40];[0.00,0.20];[0.80,1.00]","v17"
"57a20d98e8cfea472bf3667d","[1.60,1.80];[0.60,0.80];[1.40,1.60];[0.80,1.00];[1.20,1.40];[0.00,0.20];[1.00,1.20];[2.00,0.00];[0.20,0.40];[1.80,2.00];[0.40,0.60]","v17"
"3a6fa723afc4d1aa8b15ee71","[2.00,0.00];[0.40,0.60];[1.60,1.80];[0.80,1.00];[1.40,1.60];[0.20,0.40];[1.80,2.00];[0.60,0.80];[1.20,1.40];[1.00,1.20];[0.00,0.20]","v17"
"14fa96ea527c5401d64ef798","[1.20,1.40];[1.00,1.20];[1.80,2.00];[2.00,0.00];[0.20,0.40];[0.80,1.00];[0.60,0.80];[0.00,0.20];[0.40,0.60];[1.40,1.60];[1.60,1.80]","v17"
"","[1.20,1.40];[1.00,1.20];[0.00,0.20];[0.80,1.00];[1.60,1.80];[1.40,1.60];[0.20,0.40];[0.60,0.80];[1.80,2.00];[2.00,0.00];[0.40,0.60]","v17"
"","[1.60,1.80];[0.40,0.60];[1.00,1.20];[0.00,0.20];[1.40,1.60];[0.60,0.80];[1.20,1.40];[0.20,0.40];[2.00,0.00];[1.80,2.00];[0.80,1.00]","v17"
"","[1.60,1.80];[1.20,1.40];[1.00,1.20];[2.00,0.00];[0.80,1.00];[1.40,1.60];[0.00,0.20];[0.60,0.80];[1.80,2.00];[0.40,0.60];[0.20,0.40]","v17"
"","[0.20,0.40];[0.80,1.00];[1.60,1.80];[1.80,2.00];[2.00,0.00];[1.40,1.60];[0.40,0.60];[1.20,1.40];[0.00,0.20];[0.60,0.80];[1.00,1.20]","v17"
"","[0.20,0.40];[1.80,2.00];[0.80,1.00];[1.40,1.60];[1.60,1.80];[1.20,1.40];[0.40,0.60];[1.00,1.20];[2.00,0.00];[0.00,0.20];[0.60,0.80]","v17"
"bb5f5f3f1026fc2ce5dbca2f","[1.40,1.60];[2.00,0.00];[0.20,0.40];[0.60,0.80];[1.20,1.40];[1.00,1.20];[0.80,1.00];[0.40,0.60];[1.80,2.00];[1.60,1.80];[0.00,0.20]","v17"
"b8999287792d0bc819a1765b","[1.40,1.60];[1.20,1.40];[0.80,1.00];[0.20,0.40];[0.00,0.20];[1.80,2.00];[0.40,0.60];[2.00,0.00];[1.60,1.80];[0.60,0.80];[1.00,1.20]","v17"
"7ef8c098b2f0ba210caa0d41","[0.40,0.60];[1.40,1.60];[1.20,1.40];[0.20,0.40];[0.80,1.00];[0.60,0.80];[1.80,2.00];[2.00,0.00];[1.60,1.80];[0.00,0.20];[1.00,1.20]","v17"
"87e868bb72f43b6644a4507b","[0.40,0.60];[1.60,1.80];[1.00,1.20];[0.80,1.00];[0.20,0.40];[1.40,1.60];[1.80,2.00];[0.00,0.20];[2.00,0.00];[1.20,1.40];[0.60,0.80]","v17"
