"id","round1_combined_array","df"
"6ecb24ca4e0a7cce1a83ac24","[0.00,1.00];[1.00,2.00];[2.00,0.00]","v24"
"19c062537dfa72f4b6d26249","[2.00,0.00];[1.00,2.00];[0.00,1.00]","v24"
"5ee3c71ea2bc0a53a7494a0c","[2.00,0.00];[1.00,2.00];[0.00,1.00]","v24"
"772d592dcb42e3f6448564cd","[2.00,0.00];[1.00,2.00];[0.00,1.00]","v24"
"b179dc2839a238bdb028c283","[2.00,0.00];[0.00,1.00];[1.00,2.00]","v24"
"","[0.00,1.00];[1.00,2.00];[2.00,0.00]","v24"
"","[0.00,1.00];[2.00,0.00];[1.00,2.00]","v24"
"","[2.00,0.00];[1.00,2.00];[0.00,1.00]","v24"
"","[0.00,1.00];[2.00,0.00];[1.00,2.00]","v24"
"504aa26ab2e7ed9a383d9ef4","[0.00,1.00];[2.00,0.00];[1.00,2.00]","v24"
"9eaa3f551a9d478846df1c1f","[0.00,1.00];[1.00,2.00];[2.00,0.00]","v24"
"d7db347c44efd3a3184d69f6","[1.00,2.00];[2.00,0.00];[0.00,1.00]","v24"
"1527047ed19a9ec3a0c6746d","[0.00,1.00];[2.00,0.00];[1.00,2.00]","v24"
"","[2.00,0.00];[1.00,2.00];[0.00,1.00]","v24"
"863a832b37376d9efc5dafba","[2.00,0.00];[1.00,2.00];[0.00,1.00]","v24"
"7e59ecd86fbd3d4d1a07b0c2","[1.00,2.00];[0.00,1.00];[2.00,0.00]","v24"
"84fbecd2584927cbaa2b202f","[1.00,2.00];[0.00,1.00];[2.00,0.00]","v24"
"5dab7e85d91a616179d209fb","[0.00,1.00];[1.00,2.00];[2.00,0.00]","v24"
"fe140d086b24c1b1ef45f03e","[0.00,1.00];[2.00,0.00];[1.00,2.00]","v24"
"4fcbce024a24dc0f7fb42cfa","[2.00,0.00];[1.00,2.00];[0.00,1.00]","v24"
"e22407070e39c17263cf80fb","[1.00,2.00];[0.00,1.00];[2.00,0.00]","v24"
"7be80616c87b89ec3a53c6c0","[2.00,0.00];[1.00,2.00];[0.00,1.00]","v24"
"f23a400c50fc21e612577055","[0.00,1.00];[1.00,2.00];[2.00,0.00]","v24"
"eb83daca3d19fae5fd8fbbb4","[2.00,0.00];[1.00,2.00];[0.00,1.00]","v24"
"9d2b29bd9aea8f60680744f1","[0.00,1.00];[1.00,2.00];[2.00,0.00]","v24"
"c4996f761df1d3e310216bbb","[2.00,0.00];[0.00,1.00];[1.00,2.00]","v24"
"25cacd7f970c2b9eab36bc3f","[2.00,0.00];[1.00,2.00];[0.00,1.00]","v24"
"60c9469095635a5b6d49acfe","[0.00,1.00];[2.00,0.00];[1.00,2.00]","v24"
"40bebe6462929b70deaee84a","[0.00,1.00];[1.00,2.00];[2.00,0.00]","v24"
"","[1.00,2.00];[2.00,0.00];[0.00,1.00]","v24"
"55c7db8dd0328a94189f5449","[1.00,2.00];[0.00,1.00];[2.00,0.00]","v24"
"","[2.00,0.00];[0.00,1.00];[1.00,2.00]","v24"
"","[2.00,0.00];[1.00,2.00];[0.00,1.00]","v24"
"","[1.00,2.00];[2.00,0.00];[0.00,1.00]","v24"
"d841dbbe0f72095b64a597f6","[0.00,1.00];[1.00,2.00];[2.00,0.00]","v24"
"ef16f2c1a8a2daf67410e686","[1.00,2.00];[2.00,0.00];[0.00,1.00]","v24"
"","[2.00,0.00];[0.00,1.00];[1.00,2.00]","v24"
"","[0.00,1.00];[2.00,0.00];[1.00,2.00]","v24"
"31413f7ee6ab66a539252cbc","[1.00,2.00];[0.00,1.00];[2.00,0.00]","v24"
"8069eaa89575edb3870c979d","[0.00,1.00];[1.00,2.00];[2.00,0.00]","v24"
"b3f8db5a6ed47f8118368c0a","[2.00,0.00];[1.00,2.00];[0.00,1.00]","v24"
"6758bb8a50a1e22131d53a74","[1.00,2.00];[0.00,1.00];[2.00,0.00]","v24"
"1be498475b62c3cd7c44d1ef","[2.00,0.00];[1.00,2.00];[0.00,1.00]","v24"
"196e7ee8b668a115d8229e90","[0.00,1.00];[2.00,0.00];[1.00,2.00]","v24"
"be752da7e6c078a4e6ac130d","[1.00,2.00];[0.00,1.00];[2.00,0.00]","v24"
"","[2.00,0.00];[0.00,1.00];[1.00,2.00]","v24"
"1b1bf997b6695f788fc71efe","[0.00,1.00];[2.00,0.00];[1.00,2.00]","v24"
"","[0.00,1.00];[2.00,0.00];[1.00,2.00]","v24"
"","[1.00,2.00];[2.00,0.00];[0.00,1.00]","v24"
"","[1.00,2.00];[2.00,0.00];[0.00,1.00]","v24"
"ff677923c41f14fb58d7c208","[1.00,2.00];[0.00,1.00];[2.00,0.00]","v24"
"","[1.00,2.00];[2.00,0.00];[0.00,1.00]","v24"
"","[2.00,0.00];[1.00,2.00];[0.00,1.00]","v24"
"a4c43117880ef7dbdb61f05c","[2.00,0.00];[1.00,2.00];[0.00,1.00]","v24"
"d847c026e20cf2b06d57623b","[1.00,2.00];[0.00,1.00];[2.00,0.00]","v24"
" 5f2ed19ba38b5b2741c007b","[2.00,0.00];[0.00,1.00];[1.00,2.00]","v24"
"30968e02cd1434a669f86922","[1.00,2.00];[2.00,0.00];[0.00,1.00]","v24"
"15ee16d18e47533536706434","[2.00,0.00];[0.00,1.00];[1.00,2.00]","v24"
"cffaab009c3a67cf1194e84b","[1.00,2.00];[2.00,0.00];[0.00,1.00]","v24"
"ba06ea4765a2ece3048aaf44","[1.00,2.00];[0.00,1.00];[2.00,0.00]","v24"
"4d774c3d9e0dd12ef85b2d3a","[2.00,0.00];[1.00,2.00];[0.00,1.00]","v24"
"271af0ae103ec2084aaff177","[2.00,0.00];[0.00,1.00];[1.00,2.00]","v24"
"8994cb5e40972f1a48ecb36f","[1.00,2.00];[2.00,0.00];[0.00,1.00]","v24"
"15eca02cb42b068abffc2975","[2.00,0.00];[0.00,1.00];[1.00,2.00]","v24"
"b7eb4aff1b354880b6f4994d","[0.00,1.00];[2.00,0.00];[1.00,2.00]","v24"
"9df760c7b5f5508f31450864","[2.00,0.00];[1.00,2.00];[0.00,1.00]","v24"
"88573c93e66954fb1ca4156c","[2.00,0.00];[1.00,2.00];[0.00,1.00]","v24"
"a8b4f02fed3d7bf77c00ca6d","[0.00,1.00];[2.00,0.00];[1.00,2.00]","v24"
"5a63703832448272a603d6bc","[1.00,2.00];[2.00,0.00];[0.00,1.00]","v24"
"9b734299f2d7f8ffe78e7182","[2.00,0.00];[0.00,1.00];[1.00,2.00]","v24"
"6de2b28068fbe26a8b07ddd1","[2.00,0.00];[0.00,1.00];[1.00,2.00]","v24"
"ad75346280c67dfec5331e04","[2.00,0.00];[0.00,1.00];[1.00,2.00]","v24"
"273313bb184d528baf877c65","[1.00,2.00];[2.00,0.00];[0.00,1.00]","v24"
"14a4dbd26975e922726c213a","[2.00,0.00];[0.00,1.00];[1.00,2.00]","v24"
"7bf8baadc2009fcb50e4c7f4","[2.00,0.00];[0.00,1.00];[1.00,2.00]","v24"
"2ac395003d24467387162fa5","[2.00,0.00];[0.00,1.00];[1.00,2.00]","v24"
"3a6d23848c04eededb777bda","[1.00,2.00];[0.00,1.00];[2.00,0.00]","v24"
"79850657a47309c5ad1cc3c1","[1.00,2.00];[2.00,0.00];[0.00,1.00]","v24"
"5b3d998fd45682ebb849e68b","[1.00,2.00];[0.00,1.00];[2.00,0.00]","v24"
"3f8531913f90baa9e349df87","[1.00,2.00];[2.00,0.00];[0.00,1.00]","v24"
"f480a4e825985765740490bd","[0.00,1.00];[1.00,2.00];[2.00,0.00]","v24"
"a76c94cb20a5e1802aec0738","[0.00,1.00];[1.00,2.00];[2.00,0.00]","v24"
"f408a852295ca10a60dc6659","[1.00,2.00];[0.00,1.00];[2.00,0.00]","v24"
"4923f87552728f13f325a88c","[1.00,2.00];[2.00,0.00];[0.00,1.00]","v24"
"cb7f47b53ae8bd232d80d2f8","[0.00,1.00];[1.00,2.00];[2.00,0.00]","v24"
"145e96efea029d6bf7ccb360","[2.00,0.00];[0.00,1.00];[1.00,2.00]","v24"
"2f0105b45ea580e3d16d8754","[2.00,0.00];[0.00,1.00];[1.00,2.00]","v24"
"5707973ee4d948581e0636fb","[0.00,1.00];[2.00,0.00];[1.00,2.00]","v24"
"fcd2ad59cda9522adfe8c3a8","[2.00,0.00];[1.00,2.00];[0.00,1.00]","v24"
"1c3ae1854ba66185223172a7","[0.00,1.00];[1.00,2.00];[2.00,0.00]","v24"
"35427245a24a05a8dbb4e10c","[1.00,2.00];[2.00,0.00];[0.00,1.00]","v24"
"01234e7c9faf50c442d3ee74","[2.00,0.00];[1.00,2.00];[0.00,1.00]","v24"
