id,choiceB,beliefA,beliefB,cond_presentation,cond_beliefs_choice_order,riskTaking,statKnow,regretExAnte,regretExPost,duration,beliefA_below,beliefA_equal,beliefA_above,beliefB_below,beliefB_equal,beliefB_above,short,round,whichFirst,choiceStr,age,sex,student,df
5c5ba186a41579ad56bd8c86,1,1.7,1.56,sampling_noiseless,beliefs_first,4,2,2,2,711,10,1,89,5,2,93,0,1,A,6,28,Male,No,prereg
204a4a8432e4bd1fa47767ea,0,1,1,description_noiseless,choice_first,3,2,5,5,692,49,2,49,49,2,49,0,1,A,1,38,Male,No,prereg
bcdae254127eb2d4da6830cb,0,1,1,description_noiseless,beliefs_first,3,3,5,4,774,45.5,9,45.5,45.5,9,45.5,1,1,B,1,51,Female,No,prereg
c6e8a124869ba778e62ede97,0,1,1,description_noiseless,choice_first,3,2,2,2,470,49,2,49,49,2,49,0,1,A,7,30,Female,No,prereg
575a6a86284e9be75adfa60b,1,0.4,1,description_noiseless,choice_first,2,2,4,4,542,80,12,8,60,10,30,1,1,A,7,24,Male,No,prereg
4da429c79ac821b051c85366,1,1.45,1.6,sampling_noiseless,choice_first,3,4,5,4,1056,48,5,47,20,5,75,1,1,B,6,25,Male,Yes,prereg
7563bc7a37313cf1f6d9f332,0,1.75,1.5,description_noiseless,choice_first,4,2,4,5,593,10,90,0,20,40,40,1,1,A,5,30,Female,No,prereg
54cd68e20155f588ee9c38e7,1,1,1,sampling_noiseless,beliefs_first,3,3,4,5,944,55,5,40,40,5,55,0,1,B,5,39,Female,Yes,prereg
e0d5a469b16f600a5d7476b1,1,1,1.1,description_noiseless,beliefs_first,3,3,4,4,1220,45.5,9,45.5,45.5,9,45.5,1,1,A,6,50,Male,DATA_EXPIRED,prereg
d3d2f8a55f8ef6eeed91aabf,1,0.9,1,sampling_noiseless,choice_first,4,4,3,4,989,35,35,30,25,40,35,0,1,B,6,28,Male,Yes,prereg
19e3014d6d70e1cd9d9e3364,0,1.1,1.2,sampling_noiseless,choice_first,2,2,4,4,633,50,5,45,60,10,30,0,1,B,6,44,Male,No,prereg
07049c7a9d831703e9c6dcb6,1,0.8,1,sampling_noiseless,choice_first,3,5,4,3,866,55,9,36,45,10,45,1,1,B,6,54,Male,No,prereg
40117b5fc9e97c2ed700132e,1,0.9,1.1,sampling_noiseless,choice_first,2,2,2,3,860,0,0,100,0,9,91,1,1,B,6,60,Male,No,prereg
3084e969fc497e53f93d1cd6,1,0.6,0.54,sampling_noiseless,beliefs_first,2,4,4,4,873,60,5,35,58,5,37,0,1,B,2,39,Female,Yes,prereg
f5e0f187549ffd653d0e9408,0,1,1,description_noiseless,beliefs_first,2,3,3,3,887,45,10,45,45,10,45,1,1,A,1,28,Male,No,prereg
327dbf14fc3f276de8ce5503,1,1.75,2,sampling_noiseless,beliefs_first,2,3,3,4,655,70,5,25,40,10,50,1,1,A,6,37,Female,No,prereg
46a83e0d4154c95f0b829398,1,1.08,1.04,sampling_noiseless,beliefs_first,4,3,4,4,781,20,50,30,15,50,35,0,1,B,7,DATA_EXPIRED,Male,No,prereg
7b3570f7f10f898f13dc7b57,0,0.8,1.2,description_noiseless,choice_first,2,3,3,2,1080,40,5,55,55,5,40,0,1,A,1,69,Female,No,prereg
65fd32f6166e5bcab55bcbc5,1,0.7,0.7,sampling_noiseless,choice_first,4,4,4,4,732,80,2,18,80,2,18,1,1,A,5,37,Male,No,prereg
ba4b983885850e0ceb2d4a44,0,1,0.9,description_noiseless,beliefs_first,2,2,4,2,1341,50,2,48,49,2,49,0,1,B,7,61,Female,No,prereg
19804964d6463747354fd078,1,0.8,1,sampling_noiseless,choice_first,4,4,4,4,534,50,5,45,45,5,50,1,1,B,7,34,Male,No,prereg
54dfb750584dec786d1e176e,0,1,0.8,description_noiseless,choice_first,4,3,4,4,686,70,10,20,80,10,10,0,1,A,1,40,Female,DATA_EXPIRED,prereg
e58590ee85b5fb8ebfd1ab37,0,1,1,description_noiseless,beliefs_first,4,2,5,4,1327,48,2,50,50,2,48,0,1,B,3,40,Male,No,prereg
d6ef9ed40ae0488b69df94df,1,1,1,description_noiseless,choice_first,3,1,2,5,580,25,25,50,30,30,40,0,1,A,7,43,Female,No,prereg
dd496c54e8d12ec3bd97298b,0,0.18,0.2,description_noiseless,beliefs_first,3,2,4,4,685,0,0,100,0,0,100,1,1,A,6,52,Male,No,prereg
e7f3a3d346b6dcdf7c5773f6,0,0.5,0.49,description_noiseless,beliefs_first,3,3,5,4,1222,50,1,49,51,1,48,0,1,A,5,51,Male,Yes,prereg
b40b6572251b2aed827797e3,0,1.2,1,description_noiseless,beliefs_first,2,3,4,4,755,20,10,70,25,15,60,1,1,B,6,38,Male,No,prereg
de5ff063a1d9e7e42a551692,0,1.1,1,sampling_noiseless,choice_first,5,3,5,5,802,49,1,50,49,2,49,0,1,A,6,35,Male,No,prereg
31cca81e61f770d3e10f0351,1,0.8,1,description_noiseless,choice_first,5,2,5,5,1600,49,2,49,46,2,52,0,1,A,7,23,Male,Yes,prereg
c56279e291002ca09a4b4e30,1,1.1,1,description_noiseless,choice_first,3,4,3,4,491,45,10,45,45,10,45,1,1,A,5,38,Female,DATA_EXPIRED,prereg
c1c4793b9baf3bff50c457a2,0,1,1.25,description_noiseless,choice_first,3,2,4,3,634,50,20,30,30,20,50,1,1,B,6,33,Male,Yes,prereg
b1baac21b6e4b76d8b6c3f07,1,0.7,0.74,sampling_noiseless,choice_first,3,2,4,4,892,49.5,1,49.5,49.5,1,49.5,0,1,B,5,23,Male,Yes,prereg
7c98478337747c04a485e225,0,1,1.25,description_noiseless,beliefs_first,4,2,5,4,923,49,2,49,40,20,40,1,1,B,6,20,Male,Yes,prereg
8606a7e4601cd0c67521f8ff,0,1,0.5,description_noiseless,beliefs_first,4,2,5,5,544,33,34,33,50,10,40,0,1,A,4,56,Female,DATA_EXPIRED,prereg
2640cc974705e31d77594f73,0,2,2,sampling_noiseless,beliefs_first,2,2,3,3,699,70,10,20,10,20,70,1,1,B,4,33,Female,No,prereg
21c91e3530e9f2a863a00e58,1,1.2,0.8,sampling_noiseless,beliefs_first,4,2,3,2,553,60,10,30,30,10,60,0,1,A,7,33,Male,No,prereg
2f37862f9f58aaf5d3bfca3f,0,1.1,1.1,sampling_noiseless,choice_first,3,4,5,4,679,44,2,54,46,2,52,0,1,B,7,25,Male,Yes,prereg
01d32575b845719f936f929b,0,1,1,description_noiseless,beliefs_first,3,4,5,4,1504,33,34,33,33,34,33,0,1,B,7,59,Male,No,prereg
d38c8a80e7f949a2de85f7d4,1,1,1,description_noiseless,choice_first,1,1,5,5,567,33,34,33,33,34,33,1,1,B,5,41,Female,No,prereg
5a6af92785df6cf8fdbdd59b,0,1.13,1,description_noiseless,beliefs_first,2,2,5,5,1676,30,10,60,25,50,25,1,1,B,7,42,Male,No,prereg
af7a4f35c3e8ef2d5f947aec,1,0.8,0.9,sampling_noiseless,beliefs_first,3,1,5,2,1418,46,0,54,40,0,60,0,1,B,7,41,Female,No,prereg
4bcbda08c2622ab4b63f5640,1,0.7,0.9,sampling_noiseless,beliefs_first,3,2,3,4,388,60,30,10,40,55,5,1,1,A,6,31,Male,No,prereg
83d1204c8019a3d877c34898,1,1.32,1.36,sampling_noiseless,beliefs_first,3,2,4,3,1045,30,10,60,30,10,60,0,1,B,6,32,Female,Yes,prereg
a793c1bf9eff725f199a215a,1,1.3,1.6,sampling_noiseless,beliefs_first,3,3,5,5,684,65,20,15,35,20,45,1,1,B,7,30,Male,No,prereg
272fd7dd609c3f2a594e6989,0,0.8,1,description_noiseless,beliefs_first,3,3,3,4,810,40,20,40,50,10,40,1,1,B,6,30,Male,DATA_EXPIRED,prereg
ee4d2cd97e64c0db057a1403,1,1,1,description_noiseless,choice_first,2,3,5,5,998,45,10,45,45,10,45,1,1,A,3,30,Female,No,prereg
91450a56a8098ebbcc278ec1,0,1,1,description_noiseless,beliefs_first,4,3,5,5,610,10,10,80,33,33,34,0,1,A,5,31,Male,No,prereg
35d4ac9a5b269d9413dfebdf,1,0.8,0.9,sampling_noiseless,choice_first,4,2,4,4,831,99,0,1,80,1,19,0,1,B,7,45,Male,No,prereg
1a7a3d59b080c4a4d1e3dec5,1,2,1,sampling_noiseless,choice_first,3,3,5,5,706,40,20,40,50,5,45,1,1,B,6,28,Female,No,prereg
d66ccc4cb67629b6fe73714e,1,0.8,1.2,sampling_noiseless,choice_first,3,2,4,4,681,70,5,25,60,10,30,1,1,B,4,29,Female,No,prereg
5799e245e04fa72f5778f205,1,0.4,1.2,sampling_noiseless,choice_first,5,4,5,4,776,60,0,40,30,5,65,1,1,A,6,22,Male,Yes,prereg
634b2c3e7b5915d4e76fb5f2,1,1.1,1.5,sampling_noiseless,beliefs_first,3,2,4,3,1188,20,20,60,5,30,65,1,1,A,6,43,Male,No,prereg
46d17f825b121939c9103faf,1,2,1,sampling_noiseless,beliefs_first,3,4,3,4,1916,35,35,30,30,30,40,1,1,B,4,53,Male,No,prereg
efa0915c4eebc80ea47fa924,0,1,1,description_noiseless,choice_first,3,2,3,3,539,45,10,45,55,10,35,1,1,B,4,45,Male,DATA_EXPIRED,prereg
e6cd92629396e191576b4efa,1,1.46,1.5,sampling_noiseless,beliefs_first,3,1,5,4,651,15,38,47,15,38,47,0,1,B,6,23,Male,No,prereg
42347e1eebe5fe6fddfb1498,1,1,2,sampling_noiseless,choice_first,3,1,4,3,540,60,10,30,20,10,70,1,1,A,6,38,Male,No,prereg
5af6c948a51d9f9b6ff31eef,1,0.6,1.4,sampling_noiseless,beliefs_first,3,2,5,5,695,90,10,0,90,10,0,1,1,B,4,23,Female,No,prereg
3f4b415d92eaac6f70fcd4b6,0,0.76,0.8,sampling_noiseless,choice_first,4,2,4,4,553,50,30,20,45,0,55,0,1,A,6,33,Male,DATA_EXPIRED,prereg
79b06a6eb4be89e134b18e62,1,1,0.9,description_noiseless,choice_first,3,1,2,2,662,48,2,50,55,5,40,0,1,A,6,30,Female,No,prereg
cf8088eb5bad87bd64f9f80f,0,1,1,sampling_noiseless,beliefs_first,4,3,4,4,2012,30,20,50,50,20,30,1,1,B,5,33,Male,No,prereg
f88fcf2a8caafb01bdce7e23,1,1,0.88,description_noiseless,beliefs_first,3,1,1,2,1590,46,8,46,36,18,46,1,1,A,6,52,Female,No,prereg
3d52f30c5444e2d873b3a47d,0,1.2,0.8,sampling_noiseless,choice_first,4,2,4,4,637,60,5,35,70,5,25,1,1,B,5,41,Male,No,prereg
7aba6d972068305ee38db8bc,1,0.8,1,sampling_noiseless,choice_first,5,5,5,5,530,60,20,20,10,10,80,0,1,B,7,43,Male,No,prereg
a0a6606a5d475f4d0ddb1c3c,1,1.8,1.2,sampling_noiseless,beliefs_first,3,1,4,5,823,62,3,35,10,3,87,1,1,A,5,46,Female,No,prereg
308da1ed8fae7314cb0f0fe1,1,1,2,sampling_noiseless,choice_first,4,3,4,4,1566,50,30,20,30,30,40,1,1,A,7,50,Male,Yes,prereg
1b0bda4d2767fc7d83274905,1,1,1.25,sampling_noiseless,choice_first,4,3,5,5,841,80,5,15,65,5,30,1,1,B,6,36,Male,No,prereg
8600a82e8e4b00da994415fd,0,1,0.8,description_noiseless,beliefs_first,3,4,2,2,440,10,80,10,80,10,10,0,1,B,6,36,Female,No,prereg
e32f319c2a4a45673b0d71d1,0,0,2,description_noiseless,choice_first,5,4,4,4,370,100,0,0,0,0,100,0,1,A,6,24,Male,DATA_EXPIRED,prereg
43d855930d64e658e938e3da,1,1,1.02,sampling_noiseless,beliefs_first,3,4,3,3,739,10,80,10,45,10,45,0,1,B,7,42,Female,No,prereg
60a9a7cfc80308a85c236ceb,0,0.8,0.75,sampling_noiseless,beliefs_first,4,3,5,5,1369,45,10,45,45,10,45,1,1,A,5,33,Female,DATA_EXPIRED,prereg
79d46bfb9ddd9314f022a2d0,0,0.8,0.8,description_noiseless,choice_first,2,1,4,4,618,50,10,40,50,10,40,1,1,A,4,33,Female,No,prereg
9a91978ae6a4bbe06de8bb3b,1,0.7,0.9,sampling_noiseless,choice_first,2,3,4,3,609,70,10,20,20,10,70,1,1,B,6,19,Male,DATA_EXPIRED,prereg
49505e3df1b6e35981068068,1,0.5,0.54,sampling_noiseless,beliefs_first,4,4,5,5,440,50,2,48,48,2,50,0,1,A,7,23,Male,Yes,prereg
7f9ad6ae3860a564de6669c3,0,0.97,1,description_noiseless,beliefs_first,5,3,5,2,1294,97,3,0,0,97,3,1,1,B,7,41,Female,No,prereg
6de10b95e11e83fdd05b7040,1,0.18,0.95,description_noiseless,beliefs_first,4,4,4,5,1038,91,0,9,36,9,55,1,1,B,7,20,Male,No,prereg
cf63ce04519a2f6b0cde9761,0,1,1,description_noiseless,beliefs_first,3,4,4,3,785,49.05,1.9,49.05,49.05,1.9,49.05,0,1,B,7,27,Male,No,prereg
89a4c3deb9d3f8cc7a666f91,1,0.8,1.2,sampling_noiseless,beliefs_first,4,3,4,4,591,50,0,50,50,0,50,1,1,A,5,24,Male,No,prereg
036c563c9df9263b66945a47,0,1.5,2,sampling_noiseless,beliefs_first,4,3,4,4,2057,20,50,30,30,50,20,1,1,A,5,56,Male,No,prereg
d4a4779dc4c14f4fae8ef416,1,1.04,1,sampling_noiseless,beliefs_first,3,2,4,2,1170,49,1,50,50,1,49,0,1,B,6,33,Male,No,prereg
6bd6092f104fe35758b75774,1,1,1,description_noiseless,beliefs_first,4,1,4,3,743,49,2,49,49,2,49,0,1,A,5,32,Female,Yes,prereg
345a0a359db96960f43f91d1,1,1.1,1.1,description_noiseless,beliefs_first,3,2,2,2,1980,45,9,46,45,9,46,1,1,A,6,58,Male,No,prereg
676aad587dd0afc943cd14a9,0,0.9,0.8,sampling_noiseless,choice_first,4,3,4,4,1140,60,10,30,70,10,20,1,1,A,6,32,Male,No,prereg
298fd661592e4bde31e39a96,1,0.8,0.95,sampling_noiseless,beliefs_first,4,3,4,3,749,60,10,30,50,10,40,1,1,B,6,34,Male,No,prereg
d748c920d54faf8efd7b363c,0,0.98,0.94,sampling_noiseless,beliefs_first,4,2,5,4,916,45,20,35,40,20,40,0,1,B,6,53,Male,No,prereg
e62b58d0ecec9742406dd52f,1,1,1.2,description_noiseless,beliefs_first,5,1,5,5,2230,0,100,0,0,0,100,0,1,A,7,34,Male,No,prereg
6a9418d12336b47f1997f8d0,0,1,1,description_noiseless,choice_first,5,4,2,2,1204,49.02,1.96,49.02,49.02,1.96,49.02,0,1,A,6,27,Male,No,prereg
d9779c00eafe59f862516f67,0,1,0.96,description_noiseless,beliefs_first,3,1,4,4,759,48,4,48,47.5,5,47.5,0,1,A,5,52,Male,No,prereg
d72d4880b6b40b5c6eaba80e,1,1,1,description_noiseless,choice_first,4,3,4,4,616,45,10,45,45,10,45,1,1,B,4,32,Male,No,prereg
17402f438fee8e1938c940b8,1,0.9,1,sampling_noiseless,choice_first,3,2,5,3,765,75,5,20,20,10,70,1,1,B,5,23,Female,DATA_EXPIRED,prereg
82497caf10e29de4fbe94f7a,0,1,0.8,description_noiseless,beliefs_first,4,2,5,3,938,40,10,50,50,10,40,1,1,A,7,56,Male,No,prereg
ad8d55fba34d84426299a3c5,0,0.9,0.9,description_noiseless,choice_first,2,2,4,3,1062,45,10,45,45,10,45,1,1,B,1,33,Female,No,prereg
5ff66a0914f1849837b12c90,1,1.1,1,description_noiseless,beliefs_first,3,2,3,3,629,25,50,25,30,40,30,0,1,B,6,39,Male,No,prereg
b9e731dbea09dc00beb84c4f,1,1,2,sampling_noiseless,beliefs_first,2,1,4,4,618,40,30,30,20,50,30,1,1,B,5,37,Female,DATA_EXPIRED,prereg
5136a806f076a3fc6f435a55,1,1,1.04,sampling_noiseless,beliefs_first,4,3,4,4,1437,63,2,35,60,2,38,0,1,A,7,28,Female,No,prereg
aff0487e9f56c2c40f642ba4,1,0.6,0.8,sampling_noiseless,beliefs_first,3,4,4,5,656,80,10,10,60,10,30,1,1,B,7,36,Female,No,prereg
9cb787ce960d6bac36743962,1,0.5,1,sampling_noiseless,choice_first,2,2,4,4,672,65,5,30,30,5,65,1,1,A,4,33,Male,No,prereg
cac7e7be54af880da85983c3,0,1,0.98,description_noiseless,beliefs_first,4,3,5,5,839,49,2,49,51,2,47,0,1,A,6,26,Male,No,prereg
472e296b56b54f51f28fa451,1,0.02,0.039,sampling_noiseless,choice_first,4,4,4,2,748,98,0,2,98,0,2,0,1,A,3,28,Male,No,prereg
ccf8c9b2c6ea763314413af4,1,0.7,0.75,sampling_noiseless,beliefs_first,4,2,5,3,1212,80,1,19,75,1,24,0,1,B,4,27,Female,DATA_EXPIRED,prereg
6d1f88e25004ef3a6dfb0442,0,1,1,description_noiseless,beliefs_first,4,3,2,4,631,45.5,9,45.5,45.5,9,45.5,1,1,B,4,35,Female,No,prereg
f571dbf38af1d1f6c4b7c66f,0,0.9,0.9,description_noiseless,choice_first,2,2,4,4,1443,45,10,45,40,15,45,0,1,A,5,69,Male,No,prereg
54dcf6ed181883125a852f0f,1,1.1,1,description_noiseless,choice_first,2,1,5,5,1248,10,20,70,15,20,65,1,1,B,4,61,Female,No,prereg
abf414f8ad81ebca66d77f1e,0,2,0,description_noiseless,choice_first,5,1,3,4,1767,0,10,90,0,50,50,1,1,B,7,34,Female,No,prereg
ccfc6990db33ce52eecfb022,0,1,1,description_noiseless,choice_first,4,3,4,3,886,40,30,30,30,40,30,0,1,B,6,36,Male,No,prereg
319ff2ca0648b0c1a8f3dd2b,1,1.1,1,sampling_noiseless,choice_first,5,4,4,5,363,10,10,80,25,10,65,1,1,B,6,38,Male,No,prereg
af0fb9936d816c1b566db2b2,0,1,1,description_noiseless,beliefs_first,3,5,4,5,532,49,2,49,49,2,49,0,1,B,3,39,Female,Yes,prereg
11780692bb4e86a270539325,0,2,1,description_noiseless,choice_first,4,4,4,3,556,60,40,0,60,40,0,1,1,B,6,36,Male,Yes,prereg
dce0c2dbb7bfb031764dce2d,0,1,1,description_noiseless,beliefs_first,4,3,3,2,418,46,46,8,46,46,8,1,1,A,6,36,Male,DATA_EXPIRED,prereg
0933c765a55909386a4522ba,0,2,2,description_noiseless,beliefs_first,5,4,4,4,1530,30,35,35,35,35,30,0,1,A,7,21,Male,No,prereg
758d33fadf8aa4f4e2dcfb1e,1,0.75,1,description_noiseless,choice_first,4,4,5,5,606,33,33,34,33,33,34,1,1,A,7,27,Male,No,prereg
ef77d871fc9d8db3d269aeac,1,0.2,0.3,description_noiseless,choice_first,4,2,5,4,744,70,5,25,60,5,35,0,1,B,5,35,Male,DATA_EXPIRED,prereg
b6db1668d86c040150943cd5,0,0.95,1,sampling_noiseless,choice_first,3,2,4,4,650,60,20,20,50,20,30,0,1,B,4,37,Female,No,prereg
520d12815152e2d4ed129f3c,1,1,1.04,sampling_noiseless,choice_first,2,2,4,4,1247,25,10,65,23,10,67,0,1,B,6,31,Male,DATA_EXPIRED,prereg
be4fa0542b2c7754a166b8a0,0,1.5,1.7,sampling_noiseless,beliefs_first,4,3,3,2,678,20,30,50,30,20,50,0,1,B,5,30,Male,No,prereg
a6a1652403d4ef87e5a94625,1,1,1.25,description_noiseless,choice_first,5,3,5,5,486,25,25,50,25,25,50,1,1,B,7,28,Male,No,prereg
52c049e13ae25030c3269e33,1,1,1.4,sampling_noiseless,choice_first,3,3,2,4,729,35,5,60,25,10,65,1,1,A,6,39,Male,No,prereg
17e52cdb9833bda5f23b4ce5,0,0,2,description_noiseless,choice_first,4,2,3,3,892,20,50,30,20,39,41,1,1,A,5,25,Female,No,prereg
c6264475d2dd8964db157302,1,1.2,1.4,sampling_noiseless,choice_first,4,3,5,5,405,50,5,45,10,30,60,1,1,B,6,34,Male,No,prereg
f00dbce25c14fe24db90fce0,1,1,2,sampling_noiseless,choice_first,4,2,2,2,582,80,10,10,70,5,25,1,1,A,4,30,Female,No,prereg
9c77930b682424a7513af687,1,1,1,sampling_noiseless,choice_first,4,4,4,3,1929,35,30,35,25,35,40,1,1,A,6,49,Male,Yes,prereg
26b404f4d1c227ec04184ca7,1,0.4,0.5,sampling_noiseless,beliefs_first,5,2,4,3,1731,85,5,10,70,5,25,1,1,A,6,30,Male,No,prereg
68b415eb23ec3fd5a1508905,0,1,0.8,description_noiseless,choice_first,4,3,5,4,2049,30,35,35,35,35,30,1,1,B,6,38,Male,DATA_EXPIRED,prereg
2adf9aeac53ce0ab1527d0b3,1,1,1,sampling_noiseless,beliefs_first,1,3,5,3,1397,53,1,46,46,1,53,0,1,A,7,46,Male,No,prereg
64ba0a6c7d2b1072045f779d,0,1,1,sampling_noiseless,choice_first,4,4,3,3,453,40,10,50,45,10,45,0,1,B,7,25,Male,No,prereg
498662dfb2b341b920b6c3ba,0,1,1.5,sampling_noiseless,choice_first,3,2,5,5,488,20,60,20,60,20,20,0,1,A,7,39,Male,DATA_EXPIRED,prereg
